rarity,enhance_level,needed_mana,needed_point,total_point,rankup_level
"1","1","10","150","150","0"
"1","2","10","250","400","0"
"1","3","10","400","800","0"
"2","1","20","150","150","0"
"2","2","20","250","400","0"
"2","3","20","400","800","0"
"2","4","20","500","1300","1"
"3","1","30","800","800","0"
"3","2","30","1000","1800","0"
"3","3","30","1200","3000","0"
"3","4","30","1400","4400","1"
"3","5","30","1600","6000","2"
"4","1","40","800","800","0"
"4","2","40","1000","1800","0"
"4","3","40","1200","3000","0"
"4","4","40","1400","4400","1"
"4","5","40","1600","6000","2"
