id,pct_point_type,pct_point,mission_detail,reward_type_1,reward_id_1,reward_count_1,reward_type_2,reward_id_2,reward_count_2,reward_type_3,reward_id_3,reward_count_3,reward_type_4,reward_id_4,reward_count_4,reward_type_5,reward_id_5,reward_count_5
"1","2","10000","幫忙靜流時獲得 10000pt","12","94002","5000","0","0","0","0","0","0","0","0","0","0","0","0"
"2","2","20000","幫忙靜流時獲得 20000pt","12","94002","10000","0","0","0","0","0","0","0","0","0","0","0","0"
"3","2","30000","幫忙靜流時獲得 30000pt","8","91002","50","2","23001","5","0","0","0","0","0","0","0","0","0"
"4","1","10000","幫忙惠理子時獲得 10000pt","12","94002","5000","0","0","0","0","0","0","0","0","0","0","0","0"
"5","1","20000","幫忙惠理子時獲得 20000pt","12","94002","10000","0","0","0","0","0","0","0","0","0","0","0","0"
"6","1","30000","幫忙惠理子時獲得 30000pt","8","91002","50","2","23001","5","0","0","0","0","0","0","0","0","0"
"7","0","70000","幫忙兩人合計獲得 70000pt","12","94002","15000","0","0","0","0","0","0","0","0","0","0","0","0"
"8","0","80000","幫忙兩人合計獲得 80000pt","12","94002","20000","0","0","0","0","0","0","0","0","0","0","0","0"
"9","0","90000","幫忙兩人合計獲得 90000pt","12","94002","25000","0","0","0","0","0","0","0","0","0","0","0","0"
"10","0","100000","幫忙兩人合計獲得 100000pt","12","94002","30000","0","0","0","0","0","0","0","0","0","0","0","0"
"11","0","110000","幫忙兩人合計獲得 110000pt","12","94002","35000","0","0","0","0","0","0","0","0","0","0","0","0"
"12","0","120000","幫忙兩人合計獲得 120000pt","12","94002","40000","0","0","0","0","0","0","0","0","0","0","0","0"
"13","0","130000","幫忙兩人合計獲得 130000pt","12","94002","45000","0","0","0","0","0","0","0","0","0","0","0","0"
"14","0","150000","幫忙兩人合計獲得 150000pt","12","94002","50000","0","0","0","0","0","0","0","0","0","0","0","0"
"15","0","200000","幫忙兩人合計獲得 200000pt","7","1113","1","8","91002","150","2","23001","10","0","0","0","0","0","0"
