308fdb1825ffd68a626c6b9df89b748940387f05b0d8ebeaa25d8dbbed00cb5a,81254a0bce69b6f2daca802728e5d70cdbbdbd72d0c74b76dae02f8bf3223501,665857fa6bf96947bfad9d20a3ca5b5a79a83a659df605ed37cdae3808725c96,6ad96d7450fb4b52487c4ffcbc59d351251dfbc376898b7335bbdbcf76818f3d,aa6acba6c87c9e39587a4bb1e04114794b4802d79caba673cb1c2eb2b2e55ecc
"1","0","0","0","0"
"2","0","0","0","0"
"3","0","0","0","0"
"4","2","0","0","0"
"5","2","0","0","0"
"6","2","0","0","0"
"7","3","0","0","0"
"8","3","0","0","0"
"9","3","0","0","0"
"10","4","0","0","0"
"11","4","0","0","0"
"12","4","0","0","0"
"13","0","0","0","0"
"14","0","0","0","0"
"15","0","0","0","0"
"16","0","0","2","0"
"17","0","0","2","0"
"18","0","0","2","0"
"19","0","0","3","0"
"20","0","0","3","0"
"21","0","0","3","0"
"22","3","0","0","0"
"23","3","0","0","0"
"24","2","0","0","0"
"25","2","0","0","0"
"26","0","0","2","0"
"27","0","0","2","0"
"28","2","3","0","0"
"29","2","3","0","0"
"30","3","0","2","0"
"31","3","0","2","0"
"32","3","0","3","0"
"33","0","0","3","0"
"34","3","4","0","0"
"35","0","0","0","0"
"36","2","0","2","0"
"37","2","0","2","0"
"38","4","0","3","0"
