981ea293815cc3f92754d829c66c932ff297b582b73c9c2a282aefc0d5590079,2084e65b371a420f55ae3d1d2309f6675bf76060ccf35af0edb9a32e9c6c15af,a9846d76488a48d4a3df71d83ef0c4c399276e6eb1b65187ef5ce430608e3e73,c4c893e4f901f4b5e237a84b7f329ea8e4b1b1f074f557d4d1266a35e212e250,541a011fe485926eb7316b3d1bf8ebb5379af20d31a7c959496f4808a31170cf,bb7d97b37dbe264d050ddc09a2776f7a6ba83bac698996f2a0a9d55d6db591df,621ce71e4f5d236bfbec56eefaa459705588a003869431f7c01b7e1998ff797a,d057b82abf1fce0a598bf1db0b5d6f10d5a3c51faf89f0e7123f40b4826e1a78,4e5557dc6368b60fdb123f05a79e5923324082eb9cffdaf4dceb978c2c02bc63,10757e0bdeb22947797b4f41f44057e362eefeb63bd1c5a0f101b9d44d1753f1
"1","1","10","12000","90001","0","90043","10000","30000","0"
"2","2","20","24000","90002","0","90047","10000","30000","0"
"3","3","20","24000","90002","0","90047","10000","30000","0"
"4","4","20","24000","90002","0","90047","10000","30000","0"
"5","5","20","24000","90002","0","90047","10000","30000","0"
"6","6","20","24000","90002","0","90047","10000","30000","0"
"7","7","20","24000","90002","0","90047","10000","30000","0"
"8","8","20","24000","90002","0","90047","10000","30000","0"
"9","9","20","24000","90002","0","90047","10000","30000","0"
"10","10","20","24000","90002","0","90047","10000","30000","1"
"11","11","40","48000","90003","90011","90051","10000","30000","2"
"12","12","40","48000","90003","90011","90051","10000","30000","3"
"13","13","40","48000","90003","90011","90051","10000","30000","4"
"14","14","40","48000","90003","90011","90051","10000","30000","5"
"15","15","40","48000","90003","90011","90051","10000","30000","6"
"16","16","40","48000","90003","90011","90051","10000","30000","7"
"17","17","40","48000","90003","90011","90051","10000","30000","8"
"18","18","40","48000","90003","90011","90051","10000","30000","9"
"19","19","40","48000","90003","90011","90051","10000","30000","10"
"20","20","40","48000","90003","90011","90051","10000","30000","11"
"21","21","60","72000","90004","90015","90055","10000","30000","12"
"22","22","60","72000","90004","90015","90055","10000","30000","13"
"23","23","60","72000","90004","90015","90055","10000","30000","14"
"24","24","60","72000","90004","90015","90055","10000","30000","15"
"25","25","60","72000","90004","90015","90055","10000","30000","16"
"26","26","60","72000","90004","90015","90055","10000","30000","17"
"27","27","60","72000","90004","90015","90055","10000","30000","18"
"28","28","60","72000","90004","90015","90055","10000","30000","19"
"29","29","60","72000","90004","90015","90055","10000","30000","20"
"30","30","60","72000","90004","90015","90055","10000","30000","21"
"31","31","80","96000","90005","90015","90059","10000","30000","22"
"32","32","80","96000","90005","90015","90059","10000","30000","23"
"33","33","80","96000","90005","90015","90059","10000","30000","24"
"34","34","80","96000","90005","90015","90059","10000","30000","25"
"35","35","80","96000","90005","90015","90059","10000","30000","26"
"36","36","80","96000","90005","90015","90059","10000","30000","27"
"37","37","80","96000","90005","90015","90059","10000","30000","28"
"38","38","80","96000","90005","90015","90059","10000","30000","29"
"39","39","80","96000","90005","90015","90059","10000","30000","30"
"40","40","80","96000","90005","90015","90059","10000","30000","31"
"41","41","120","144000","90005","90017","90063","10000","30000","33"
"42","42","120","144000","90005","90017","90063","10000","30000","35"
"43","43","120","144000","90005","90017","90063","10000","30000","37"
"44","44","120","144000","90005","90017","90063","10000","30000","39"
"45","45","120","144000","90005","90017","90063","10000","30000","41"
"46","46","120","144000","90005","90017","90063","10000","30000","43"
"47","47","120","144000","90005","90017","90063","10000","30000","45"
"48","48","120","144000","90005","90017","90063","10000","30000","47"
"49","49","120","144000","90005","90017","90063","10000","30000","49"
"50","50","120","144000","90005","90017","90063","10000","30000","51"
"51","51","150","180000","90006","90019","90067","10000","30000","53"
"52","52","150","180000","90006","90019","90067","10000","30000","55"
"53","53","150","180000","90006","90019","90067","10000","30000","57"
"54","54","150","180000","90006","90019","90067","10000","30000","59"
"55","55","150","180000","90006","90019","90067","10000","30000","61"
"56","56","150","180000","90006","90019","90067","10000","30000","63"
"57","57","150","180000","90006","90019","90067","10000","30000","65"
"58","58","150","180000","90006","90019","90067","10000","30000","67"
"59","59","150","180000","90006","90019","90067","10000","30000","69"
"60","60","150","180000","90006","90019","90067","10000","30000","71"
"61","61","180","216000","90007","90021","90071","10000","30000","74"
"62","62","180","216000","90007","90021","90071","10000","30000","77"
"63","63","180","216000","90007","90021","90071","10000","30000","80"
"64","64","180","216000","90007","90021","90071","10000","30000","83"
"65","65","180","216000","90007","90021","90071","10000","30000","86"
"66","66","180","216000","90007","90021","90071","10000","30000","89"
"67","67","180","216000","90007","90021","90071","10000","30000","92"
"68","68","180","216000","90007","90021","90071","10000","30000","95"
"69","69","180","216000","90007","90021","90071","10000","30000","98"
"70","70","180","216000","90007","90021","90071","10000","30000","101"
