1903299b1bd54b15e23b5dff7cc20ad6a6d4a78c269c90380ba0446d06bbe6cd,dbd93d4b777d273c5bd01f62706e8b53872a0ab163982fa299b3ff1a97eb7a6b,ed14daf26e9081c55aec9fd3f638a8f6cf527b0258cded75da0d5366634a0dfa,4db5f0488f568c6acd8db6367b4a12671a0b7503e2474d3cfc8f176bf447078d,b5e4c72d4b0af61a1257df361a9317491cb99ba7382c1ad9294013b2b9d766fc,a4b600a06beab5d3a373fd926212f7fdde4ec126dcae37b1ed1b178d41b78a3f,11246b1e2133401b49d27b054498c001ed85630d1d946f9990af7b7545ad675a,c28db2a0242e99a77012ffeb6f2852a8846874cd36fd78abd8945c3a2f4f48f8,c5cff933df879586b3332d39f3cc8242626aeec097933032ead2dc4acfffc6e5
"1","1","10","12000","90001","0","90043","10000","30000"
"2","2","20","24000","90002","0","90047","10000","30000"
"3","3","20","24000","90002","0","90047","10000","30000"
"4","4","20","24000","90002","0","90047","10000","30000"
"5","5","20","24000","90002","0","90047","10000","30000"
"6","6","20","24000","90002","0","90047","10000","30000"
"7","7","20","24000","90002","0","90047","10000","30000"
"8","8","20","24000","90002","0","90047","10000","30000"
"9","9","20","24000","90002","0","90047","10000","30000"
"10","10","20","24000","90002","0","90047","10000","30000"
"11","11","40","48000","90003","90011","90051","10000","30000"
"12","12","40","48000","90003","90011","90051","10000","30000"
"13","13","40","48000","90003","90011","90051","10000","30000"
"14","14","40","48000","90003","90011","90051","10000","30000"
"15","15","40","48000","90003","90011","90051","10000","30000"
"16","16","40","48000","90003","90011","90051","10000","30000"
"17","17","40","48000","90003","90011","90051","10000","30000"
"18","18","40","48000","90003","90011","90051","10000","30000"
"19","19","40","48000","90003","90011","90051","10000","30000"
"20","20","40","48000","90003","90011","90051","10000","30000"
"21","21","60","72000","90004","90015","90055","10000","30000"
"22","22","60","72000","90004","90015","90055","10000","30000"
"23","23","60","72000","90004","90015","90055","10000","30000"
"24","24","60","72000","90004","90015","90055","10000","30000"
"25","25","60","72000","90004","90015","90055","10000","30000"
"26","26","60","72000","90004","90015","90055","10000","30000"
"27","27","60","72000","90004","90015","90055","10000","30000"
"28","28","60","72000","90004","90015","90055","10000","30000"
"29","29","60","72000","90004","90015","90055","10000","30000"
"30","30","60","72000","90004","90015","90055","10000","30000"
"31","31","80","96000","90005","90015","90059","10000","30000"
"32","32","80","96000","90005","90015","90059","10000","30000"
"33","33","80","96000","90005","90015","90059","10000","30000"
"34","34","80","96000","90005","90015","90059","10000","30000"
"35","35","80","96000","90005","90015","90059","10000","30000"
"36","36","80","96000","90005","90015","90059","10000","30000"
"37","37","80","96000","90005","90015","90059","10000","30000"
"38","38","80","96000","90005","90015","90059","10000","30000"
"39","39","80","96000","90005","90015","90059","10000","30000"
"40","40","80","96000","90005","90015","90059","10000","30000"
"41","41","120","144000","90005","90017","90063","10000","30000"
"42","42","120","144000","90005","90017","90063","10000","30000"
"43","43","120","144000","90005","90017","90063","10000","30000"
"44","44","120","144000","90005","90017","90063","10000","30000"
"45","45","120","144000","90005","90017","90063","10000","30000"
"46","46","120","144000","90005","90017","90063","10000","30000"
"47","47","120","144000","90005","90017","90063","10000","30000"
"48","48","120","144000","90005","90017","90063","10000","30000"
"49","49","120","144000","90005","90017","90063","10000","30000"
"50","50","120","144000","90005","90017","90063","10000","30000"
"51","51","150","180000","90006","90019","90067","10000","30000"
"52","52","150","180000","90006","90019","90067","10000","30000"
"53","53","150","180000","90006","90019","90067","10000","30000"
"54","54","150","180000","90006","90019","90067","10000","30000"
"55","55","150","180000","90006","90019","90067","10000","30000"
"56","56","150","180000","90006","90019","90067","10000","30000"
"57","57","150","180000","90006","90019","90067","10000","30000"
"58","58","150","180000","90006","90019","90067","10000","30000"
"59","59","150","180000","90006","90019","90067","10000","30000"
"60","60","150","180000","90006","90019","90067","10000","30000"
"61","61","180","216000","90007","90021","90071","10000","30000"
"62","62","180","216000","90007","90021","90071","10000","30000"
"63","63","180","216000","90007","90021","90071","10000","30000"
"64","64","180","216000","90007","90021","90071","10000","30000"
"65","65","180","216000","90007","90021","90071","10000","30000"
"66","66","180","216000","90007","90021","90071","10000","30000"
"67","67","180","216000","90007","90021","90071","10000","30000"
"68","68","180","216000","90007","90021","90071","10000","30000"
"69","69","180","216000","90007","90021","90071","10000","30000"
"70","70","180","216000","90007","90021","90071","10000","30000"
