1668dc92630f380678d5262e212a8864c52c0dd25f9612fb3d7cf3d9abef5b8d,e84895924fccd3c715dcec5c7fcc7c3d49510975e3706acda727e15041a6df2b,117f2719088a14c013bafc4c2f72a07553260ccb637729e1ce9744d79dcaf9ab,5b9b7bab5fda3f2685579eb941cbb58b3fec4932d84d9a0f9fc40a6d51a90a26,573f2746051469ed995ac91c5c95ff7da2b6358b78587c1068c631b647546625,2ec3bcabf0ccdb2cf60458b043bc1a06c16f958e26b4d6e0ddaa940512064fb9,a12de3f8500f31b7542f24214a77226678ad6e7fb5fa393a1c3ec4912239c616,82b5b623b2b93c70667cdc4ea60b81eccc1fb4080bed5d80be9c6a86eb019e32,9e2b7eb326953972ef7d0762413f2d4a3839cb052f5ce8d76c2cb93f2e103c05,570dc60d56ed9cedb5de0471137702eaca1fdda406f598be844001f5e1d10a72,210301cb7857dc8ef390df35d74cedc3887f94bcfb76a51f16346750555c8928,49a60b4cbc7b4b73a4b1507ebf8ad7803afddaaa25231eb5105544948b3149f2,ef7462e2530992c2a1b09f73c39abf70cb86dbd41693ef1903e376ec03a6606c,4cc5d4d07b31f4119ba2556adeb610ac16d732b1cad3d20cb87ddbc5d127f036,d451f4f11559937d6d0b9ccd91aa221eaa3287f819c0c776b5f6c839e68fd57d,d26bc7dff67dd24b1ea5673b6d6d624ee762dc86f34ed61f3235d64a07396282
"1","2","1","2","3","980","215","-110","455","70","401","301","501","201","101","1008201"
"2","2","1","2","3","515","215","-110","230","70","402","302","502","202","102","1008202"
"3","1","1","2","3","515","215","-110","230","70","403","303","503","203","103","1008203"
"4","1","1","2","3","515","215","-110","230","70","404","304","504","204","104","1008204"
"5","2","1","2","3","787","233","-110","355","78","405","305","505","205","105","1008205"
"6","3","1","2","3","787","233","-110","355","78","406","306","506","206","106","1008206"
"7","3","1","2","3","777","233","-110","345","88","407","307","507","207","107","1008207"
"8","1","1","2","3","777","233","-110","345","88","408","308","508","208","108","1008208"
"9","1","1","2","3","777","233","-110","345","88","409","309","509","209","109","1008209"
"10","3","1","2","3","810","233","-110","355","88","410","310","510","210","110","1008210"
"11","2","1","2","3","777","233","-110","345","88","411","311","511","211","111","1008211"
"12","2","1","2","3","515","215","-110","230","70","412","312","512","212","112","1008212"
"13","1","1","2","3","810","233","-110","355","78","413","313","513","213","113","1008213"
"14","1","1","2","3","515","215","-110","230","70","414","314","514","214","114","1008214"
"15","3","1","2","3","515","215","-110","230","70","415","315","515","215","115","1008215"
"16","2","1","2","3","655","215","-110","275","70","416","316","516","216","116","1008216"
"17","3","1","2","3","515","215","-110","230","70","417","317","517","217","117","1008217"
"18","3","1","2","3","777","233","-110","345","88","418","318","518","218","118","1008218"
