a831c185009239418e7bb0102657670f4e3e67251e64c02fdb1a411b67bcbb78,2969a55cd88aec4d3f106677704a2cac668762396db184d0497c2497befe1d29,3b42a5f4d2b2c8422dc28a26f9b4da1583ccd7f7835cbe70f7c7b13761cb2e57,d526485bf95b558e9ec48903bbaf35acc734146e0971be11984977cdbca1c259,7181cab0cde52a5a8771f71a43563073653f0e0cf2aa0545a8ebb6e822477c5d,f70e500259e3c6b86f55484b6fb30ab90cd735aa62ea15610a95e446b525a699
"1","1","10","150","150","0"
"1","2","10","250","400","0"
"1","3","10","400","800","0"
"2","1","20","150","150","0"
"2","2","20","250","400","0"
"2","3","20","400","800","0"
"2","4","20","500","1300","1"
"3","1","30","800","800","0"
"3","2","30","1000","1800","0"
"3","3","30","1200","3000","0"
"3","4","30","1400","4400","1"
"3","5","30","1600","6000","2"
"4","1","40","800","800","0"
"4","2","40","1000","1800","0"
"4","3","40","1200","3000","0"
"4","4","40","1400","4400","1"
"4","5","40","1600","6000","2"
