2af4dddc502bbf6050e0167552ed812e57f19d62107806a626fcc37649d138dc,b7555accd060119e187701059018f3b4fcfa289ca4f69e064424ed76204e3152,a145d7dcfa99b599b8c67bf6f6b1e7f49619be578aa228ee0112dec512fbad68,cf88f3987820d0d8e2f4bdd3890b17bd612ca6914ed0d4369a1ae6ca995ca5b2,4ae63d61ab968cced525a3e27100e45ee4253ca1bd9db3a019c80eed9ccb0e2f,962da6c26ac066bad9f2d82089295f68f0bdedf1738d4ced3a3548bab7736b2a,96af976376555c7524055f44c2a9b6a7144b862258e285e619645268f20f883c,f971340c8fde268056764f32f0b515e016111605a87e39ffffc699b486e8fa7d,08d28c1d78ca41f333b4881a6dea4fd8844cfeae834e6af58ca65f85111b42f5,1f50dd8286de44f77ca567916eb4596e28565061f97c6274f4ee0a4589e10505
"7001","10062","10062103","0","1","0","0","0","0","ウヅキとリンのメモリー"
"7002","10062","10062107","0","2","0","0","0","0","ニュージェネレーションズのメモリー"
"7003","10062","10062107","0","4","0","0","0","0","ウヅキとミオのメモリー"
"7004","10062","10062111","0","6","0","0","0","0","美食殿のメモリー"
"7005","10062","10062111","0","7","0","0","0","0","リンとミオのメモリー"
"7006","10062","10062111","0","8","0","0","0","0","ニュージェネレーションズのメモリー"
"7007","10062","10062115","0","9","0","0","0","0","ニュージェネレーションズと美食殿のメモリー"
"7008","10062","10062115","0","10","0","0","0","0","美食殿のメモリー"
"7009","10063","10063111","0","14","0","0","0","0","ニュージェネレーションズと美食殿のメモリー"
"7102","10062","10062107","0","3","0","0","0","0","ニュージェネレーションズのメモリー"
"7103","10062","10062107","0","5","0","0","0","0","美食殿のメモリー"
"7104","10062","10062115","0","11","0","0","0","0","ニュージェネレーションズと美食殿のメモリー"
"7105","10063","10063111","0","12","0","0","0","0","ニュージェネレーションズと美食殿のメモリー"
"7106","10063","10063111","0","13","0","0","0","0","ニュージェネレーションズと美食殿のメモリー"
"7201","10062","10062103","0","15","1","7","2405","1",""
