b7903bf29b13ab188c59b745b062fde167902e9bf1a3e99193335c717f70ad99,50d7d0d400f70f76a42271c2275b04943fe50917647f62da9996576fb33056ff
"701000101","150"
"701000102","150"
"701000103","150"
"701000104","150"
"701000105","150"
"701000201","150"
"701000202","150"
"701000203","150"
"701000204","150"
"701000205","150"
"701000301","150"
"701000302","150"
"701000303","150"
"701000304","150"
"701000305","150"
"701000401","150"
"701000402","150"
"701000403","150"
"701000404","150"
"701000405","150"
"701000501","150"
"701000502","150"
"701000503","150"
"701000504","150"
"701000505","150"
