sub_story_id,original_event_id,title,contents_type,condition_quest_id,condition_boss_id,read_condition
"1006401","10064","開会式","4","20036104","0","0"
"1006402","10064","開会式","3","20036104","0","0"
"1006403","10064","徒競走","1","20036104","0","1006402"
"1006404","10064","徒競走","4","20036104","0","1006402"
"1006405","10064","徒競走","2","20036104","0","1006402"
"1006406","10064","騎馬戦","2","20036104","0","1006405"
"1006407","10064","騎馬戦","4","20036104","0","1006405"
"1006408","10064","昼休憩","3","20036106","0","1006406"
"1006409","10064","昼休憩","4","20036106","0","1006406"
"1006410","10064","学術文化出展各種","3","20036106","0","1006408"
"1006411","10064","学術文化出展各種","4","20036106","0","1006408"
"1006412","10064","学術文化出展各種","1","20036106","0","1006408"
"1006413","10064","侍女風給仕喫茶","4","20036108","0","1006410"
"1006414","10064","侍女風給仕喫茶","3","20036108","0","1006410"
"1006415","10064","総合リレー","3","20036113","0","1006414"
"1006416","10064","総合リレー","4","20036113","0","1006414"
"1006417","10064","セレモニーステージ","1","0","2003601","1006415"
"1006418","10064","セレモニーステージ","4","0","2003601","1006415"
"1006419","10064","セレモニーステージ","2","0","2003601","1006415"
"1006420","10064","閉会式","3","0","2003601","1006419"
"1006421","10064","閉会式","4","0","2003601","1006419"
"1006422","10064","コンプリート演出","4","0","2003601","1006420"
