116cb08005c51b5c7d2117af22ea0c8d7a9d5dd9c753bbfced292f5abbc99e32,2928bf8da924d6af310ee5f025da95ba0a09a6340e440f732e562f3097f422bd,78368062b799a8739dda9c162e42d77636ab46e173c4226930947ea92f071e16,e1a374b10e7cf80dca5ecea9652f284b7b14be7c7b3151bd3bf7cc2a5c2a3638,9ec911693a8302a044ce54df38b085f4ad5158dc53943090376bb37c112625a5
"1","0","1","小雞","26999"
"1","0","2","生手","26999"
"1","0","3","魚苗","26999"
"3","0","4","新手賽跑者","26999"
"1","0","5","小嬰兒","26999"
"1","0","6","寶寶","26999"
"1","0","7","小人物","26999"
"1","0","8","無用之人","26999"
"1","0","9","外行人","26999"
"1","27000","10","小魚","33999"
"1","27000","11","新手","33999"
"3","27000","12","愉悅賽跑者","33999"
"1","27000","13","小輩","33999"
"1","27000","14","新人","33999"
"1","27000","15","女孩","33999"
"1","27000","16","期待之星","33999"
"1","27000","17","原石","33999"
"2","27000","18","新希望","33999"
"1","34000","19","探究者","50399"
"1","34000","20","暴徒","50399"
"1","34000","21","天才","50399"
"1","34000","22","奇才","50399"
"1","34000","23","大人物","50399"
"1","34000","24","麒麟兒","50399"
"1","34000","25","希望","50399"
"1","34000","26","新星","50399"
"1","34000","27","逸才","50399"
"1","50400","28","女僕","59999"
"1","50400","29","前輩","59999"
"1","50400","30","中級者","59999"
"3","50400","31","沙灘搶旗者","59999"
"1","50400","32","魚","59999"
"1","50400","33","領袖","59999"
"1","50400","34","主將","59999"
"1","50400","35","獨當一面","59999"
"1","50400","36","半職業","59999"
"1","50400","37","大型新人","59999"
"1","60000","38","流星","69999"
"1","60000","39","老師","69999"
"1","60000","40","海豚","69999"
"1","60000","41","職人","69999"
"1","60000","42","選手","69999"
"1","60000","43","金槍鮪","69999"
"1","60000","44","中等之中","69999"
"2","60000","45","知名人士","69999"
"1","60000","46","異才","69999"
"1","60000","47","精英","69999"
"1","60000","48","高手","69999"
"1","60000","49","行家","69999"
"1","70000","50","虎鯨","83999"
"1","70000","51","名人","83999"
"1","70000","52","魔術師","83999"
"1","70000","53","師傅","83999"
"1","70000","54","潛水艇","83999"
"2","70000","55","短跑選手","83999"
"1","70000","56","名手","83999"
"2","70000","57","王牌賽跑者","83999"
"1","70000","58","職業選手","83999"
"1","70000","59","看板選手","83999"
"1","70000","60","最高權威","83999"
"1","70000","61","教師","83999"
"2","84000","62","速度之星","99999"
"1","84000","63","豪傑","99999"
"1","84000","64","公主","99999"
"1","84000","65","女神","99999"
"1","84000","66","大師","99999"
"2","84000","67","頭號人物","99999"
"1","84000","68","寵兒","99999"
"3","84000","69","狂暴格里芬","99999"
"1","84000","70","飛龍","99999"
"2","84000","71","專家","99999"
"2","84000","72","頂尖賽跑者","99999"
"1","100000","73","飛毛腿","119999"
"1","100000","74","皇后","119999"
"2","100000","75","冠軍","119999"
"2","100000","76","天才賽跑者","119999"
"3","100000","77","紀錄保持人","119999"
"1","100000","78","極致","119999"
"2","100000","79","涅普堤利昂","119999"
"2","100000","80","希德雷克","119999"
"1","100000","81","女傑","119999"
"1","100000","82","革命家","119999"
"2","100000","83","巨星","119999"
"2","120000","84","幻想之星","999999"
"2","120000","85","超級巨星","999999"
"3","120000","86","世界冠軍","999999"
"1","120000","87","傳奇","999999"
"1","120000","88","超人","999999"
"1","120000","89","托爾披頓","999999"
"1","120000","90","加爾基諾司","999999"
"2","120000","91","水之里歐斯","999999"
"1","120000","92","至寶","999999"
"3","120000","93","宗師","999999"
"1","120000","94","英雄","999999"
"1","120000","95","統治天下","999999"
