7536178bbf77c57b330fdda68e2f5a75f6f3ff7c97d30623a161542972fb726d,583044fb597500600a26969e7fe77a1d12c0e67275755775352f02f63a61d439,b1de8f53b13643e900b423a01d5e7eb3448528b37068da6eede2f256e0d9c817,3d4eea8c7ce3f950d7b66e1aa4e89d65155b5ca785f52b1147ca29a4323383d3,429f841491379c57d3491aa402b3a0e941bbffea75b4eac5c4bc4794b8884c62,e2cd44cdc6460241d8e0e867503149f1b55ba2e087f67b97b2175227ba719e47,b1426df4c304a4fcebb22ff49ef3ab28d7185c23d721f0810b8786da0cb03b98,e88371d4f2ee4dcc5851bc74d4b9f155b5c9be42d3e25506996843ac6dd0f92b
"2030/01/01 01:00:00","1","為什麼會發\n生這種事？","0","0","2020/12/18 05:00:00","5023000","1"
"2030/01/01 01:00:00","2","竟然說不出\n日安這句話","0","0","2020/12/18 05:00:00","5023001","2"
"2030/01/01 01:00:00","3","搞砸了！","0","0","2020/12/18 05:00:00","5023002","3"
"2030/01/01 01:00:00","4","優妮是\n這樣的人","0","0","2020/12/19 05:00:00","5023002","4"
"2030/01/01 01:00:00","5","克蘿依是\n這樣的人","0","0","2020/12/19 05:00:00","5023002","5"
"2030/01/01 01:00:00","6","琪愛兒是\n這樣的人","0","0","2020/12/19 05:00:00","5023002","6"
"2030/01/01 01:00:00","7","知性的\n優妮","0","0","2020/12/20 05:00:00","5023003","7"
"2030/01/01 01:00:00","8","溫柔的\n克蘿依","0","0","2020/12/20 05:00:00","5023003","8"
"2030/01/01 01:00:00","9","令人崇拜的\n琪愛兒","0","0","2020/12/20 05:00:00","5023003","9"
"2030/01/01 01:00:00","10","特別講座的\n練習","0","0","2020/12/21 05:00:00","5023003","10"
"2030/01/01 01:00:00","11","終於來了\n特別講座","0","0","2020/12/21 05:00:00","5023004","11"
"2030/01/01 01:00:00","12","真不愧是BB團的團長！","0","0","2020/12/21 05:00:00","5023005","12"
"2030/01/01 01:00:00","13","曼德拉草\n造成大混亂","0","0","2020/12/21 05:00:00","5023006","13"
"2030/01/01 01:00:00","14","最終日","0","0","2020/12/25 16:00:00","5023007","14"
"2030/01/01 01:00:00","15","","1","0","2020/12/25 16:00:00","5023000","0"
"2030/01/01 01:00:00","16","","1","0","2020/12/25 16:00:00","5023000","0"
"2030/01/01 01:00:00","17","","1","0","2020/12/25 16:00:00","5023000","0"
