99d35edab6642616dd293aeb635d0d415a9c6d94b4c16c0120e4373fb54c6814,5dcc866e4204d2189ef78b2d1497527f54fcc78d2de389c4a6d4fb7f69c94928,dfb53ca689dcefed8deb8dea588088e1487434cc84892ce754b6bea2b8d4bedb,73aede8228945b542ce6f0b3f7e1ef4d5f6fdc167c0dd3320ff808529572d2cf
"HP","10000","1","1"
"物理攻擊力","10000","1","2"
"物理防禦力","10000","1","3"
"魔法攻擊力","10000","1","4"
"魔法防禦力","10000","1","5"
"物理暴擊率","10000","1","6"
"魔法暴擊率","10000","1","7"
"迴避率","1","0","8"
"HP吸收","1","0","9"
"HP自動恢復","1","0","10"
"TP自動恢復","1","0","11"
"物理貫通傷害","1","0","12"
"魔法貫通傷害","1","0","13"
"TP上升","1","0","14"
"回復量上升","1","0","15"
"TP消耗減輕","1","0","16"
"命中","1","0","17"
"物理暴擊傷害","100","1","100"
"魔法暴擊傷害","100","1","101"
"物理造成的傷害","100","1","102"
"魔法造成的傷害","100","1","103"
"屬性獎勵","10000","1","104"
