f30daf93d72c7ca6881da6953a8bf592e66fac92ff3aa324f58e7a396f1b2763,aa0337d6cd3ba388e6a963fb0d2872b372e8125eb0542aa74e2294938723bb35,4915b19cf6a36a9219ecb51461e4044516b31a065c53d47b76b8e4a58e550a52,0b4b3c614f8473dc98f53ad444e406320ebb7f7e46dc8ace6e3001cc02d9e035,b3a03d618be8f5eeff2fd57b2cec2ce8810de1d71ee82b6067b1542bb505d90d,e6c81665c03ad37060faf17a0ed4cfd0335a17b55cf7271b8525618cee9119c1,6c88ae496f6e73f1fa7d9d950d7890b87bbb3af914f6e6d4fe0f4c18b41818ea,439f5e74f2959c05c79c1c53d30539bcd81892458419f50fa13db7fc6649ae9d,b294d656d81f947d18fed42b1dd7e4ba12f2775d287dba78e7d4d91f47f78ff1,3486bb3185cb46b44aafe1bf957d9d676937f97b857d55f015249eab41fd61f3,057a2873751e54609e474e676e92a01d96f8191fb29d0d685f2bbe3d17a6e11b,9fff0688b05015654296fa142ca27f9413c04161b0d1d054dc2c4fa035b36d76,3fa7782270f8c3832f448cd9ec01a73d74022c1ee34dedc00e6b716154048184,fe7dfce41f07b726c99ced56c06728c09e8dfcbd1d161f7ccb29b2aebc4725e3,89a4cdfaaa8b28cb304d7b8d9d412dadb23d568ce807c9c4488605ae3b057774,d9ee9be5640f243dc676a79e45fdd27058c038ae5424fc95b173336e192098cb,1c35d68ea452ed08fae725f11200ebe29b1668406423343e1e69acdfd710a835,d04d0301336353625804fba92eea3cb0f47974aab46d2861608630070360dd0b,02d455e88d7f7e9c1eaa9856b5d2a6889f48e439f8b550d197ab72cfacfaa0af
"10","12","32001","140001","94002","4","500000","5","500","90008","1","2","1","4","140000","2","1","2","90005"
"500000","0","32001","25001","0","4","0","10","200","91002","1","1","2","2","140001","12","1","8","94002"
"5","12","32001","140001","94002","4","750000","15","500","90008","2","2","1","4","140000","2","1","2","90005"
"750000","0","32001","25001","0","4","0","20","300","91002","2","1","2","2","140001","12","1","8","94002"
"5","12","32001","140001","94002","4","750000","25","500","90008","2","2","1","4","140000","2","1","2","90005"
"750000","0","32001","25001","0","4","0","30","500","91002","3","1","2","2","140001","12","1","8","94002"
"5","12","32001","140001","94002","4","1000000","35","750","90008","3","2","1","4","140000","2","1","2","90005"
"1000000","0","32001","25001","0","4","0","40","1000","90008","4","1","2","2","140001","12","1","2","94002"
"5","12","32001","140001","94002","4","2000000","45","1250","90008","4","2","1","4","140000","2","1","2","90005"
"2000000","0","32001","25001","0","4","0","50","1500","90008","4","1","2","2","140001","12","1","2","94002"
"10","12","32002","140001","94002","4","500000","5","500","90008","1","2","1","4","140000","2","1","2","90005"
"1","12","32002","140001","94002","2","500000","10","200","91002","1","2","1","4","21951","2","1","8","25001"
"5","12","32002","140001","94002","4","750000","15","700","90008","2","2","1","4","140000","2","1","2","90005"
"750000","0","32002","25001","0","4","0","20","300","91002","2","1","2","2","140001","12","1","8","94002"
"5","12","32002","140001","94002","4","750000","25","700","90008","2","2","1","4","140000","2","1","2","90005"
"750000","0","32002","25001","0","4","0","30","500","91002","3","1","2","2","140001","12","1","8","94002"
"5","12","32002","140001","94002","4","1000000","35","1000","90008","3","2","1","4","140000","2","1","2","90005"
"1000000","0","32002","25001","0","4","0","40","1000","90008","4","1","2","2","140001","12","1","2","94002"
"5","12","32002","140001","94002","4","2000000","45","1250","90008","4","2","1","4","140000","2","1","2","90005"
"2000000","0","32002","25001","0","4","0","50","1500","90008","4","1","2","2","140001","12","1","2","94002"
"10","12","32003","140001","94002","4","500000","5","500","90008","1","2","1","4","140000","2","1","2","90005"
"1","12","32003","140001","94002","2","500000","10","200","91002","1","2","1","4","21951","2","1","8","25001"
"5","12","32003","140001","94002","4","750000","15","700","90008","2","2","1","4","140000","2","1","2","90005"
"750000","0","32003","25001","0","4","0","20","300","91002","2","1","2","2","140001","12","1","8","94002"
"5","12","32003","140001","94002","4","750000","25","700","90008","2","2","1","4","140000","2","1","2","90005"
"750000","0","32003","25001","0","4","0","30","500","91002","3","1","2","2","140001","12","1","8","94002"
"5","12","32003","140001","94002","4","1000000","35","1000","90008","3","2","1","4","140000","2","1","2","90005"
"1000000","0","32003","25001","0","4","0","40","1000","90008","4","1","2","2","140001","12","1","2","94002"
"5","12","32003","140001","94002","4","2000000","45","1250","90008","4","2","1","4","140000","2","1","2","90005"
"2000000","0","32003","25001","0","4","0","50","1500","90008","4","1","2","2","140001","12","1","2","94002"
"10","12","32004","140001","94002","4","500000","5","500","90008","1","2","1","4","140000","2","1","2","90005"
"1","12","32004","140001","94002","2","500000","10","200","91002","1","2","1","4","21951","2","1","8","25001"
"5","12","32004","140001","94002","4","750000","15","700","90008","2","2","1","4","140000","2","1","2","90005"
"750000","0","32004","25001","0","4","0","20","300","91002","2","1","2","2","140001","12","1","8","94002"
"5","12","32004","140001","94002","4","750000","25","700","90008","2","2","1","4","140000","2","1","2","90005"
"750000","0","32004","25001","0","4","0","30","500","91002","3","1","2","2","140001","12","1","8","94002"
"5","12","32004","140001","94002","4","1000000","35","1000","90008","3","2","1","4","140000","2","1","2","90005"
"1000000","0","32004","25001","0","4","0","40","1000","90008","4","1","2","2","140001","12","1","2","94002"
"5","12","32004","140001","94002","4","2000000","45","1250","90008","4","2","1","4","140000","2","1","2","90005"
"2000000","0","32004","25001","0","4","0","50","1500","90008","4","1","2","2","140001","12","1","2","94002"
"10","12","32005","140001","94002","4","500000","5","500","90008","1","2","1","4","140000","2","1","2","90005"
"1","12","32005","140001","94002","2","500000","10","200","91002","1","2","1","4","21951","2","1","8","25001"
"5","12","32005","140001","94002","4","750000","15","700","90008","2","2","1","4","140000","2","1","2","90005"
"750000","0","32005","25001","0","4","0","20","300","91002","2","1","2","2","140001","12","1","8","94002"
"5","12","32005","140001","94002","4","750000","25","700","90008","2","2","1","4","140000","2","1","2","90005"
"750000","0","32005","25001","0","4","0","30","500","91002","3","1","2","2","140001","12","1","8","94002"
"5","12","32005","140001","94002","4","1000000","35","1000","90008","3","2","1","4","140000","2","1","2","90005"
"1000000","0","32005","25001","0","4","0","40","1000","90008","4","1","2","2","140001","12","1","2","94002"
"5","12","32005","140001","94002","4","2000000","45","1250","90008","4","2","1","4","140000","2","1","2","90005"
"2000000","0","32005","25001","0","4","0","50","1500","90008","4","1","2","2","140001","12","1","2","94002"
