f5ce1d278ab535681f746b9e7714415b20f62d0aed0104e74f10505221e6ccf4,f4cbf11ab67c55efa293c4ecaccbdce08423b3d64ee4348c919bc0a0a6171f0a,3310146aa274a1ea5d308db19ff197a51293f132a080544d3f76d71275a6d1db,ee020191dc3d7cc983ce18a50ec75a06684cd77818ccaf6c65e041e8250c63d9,c240abe71f879cb78f6fcc0f9e1a9e079aebf4128dbac85f234141ce42debaf5
"1","111011101","1","0","3"
"1","111021101","1","0","3"
"1","133011101","1","0","3"
"1","133011201","1","0","5"
"1","133020101","1","0","3"
"1","133020201","1","1","3"
"1","133030101","1","0","3"
"2","133030201","1","0","3"
"3","133030301","1","0","3"
"1","133030401","1","1","3"
"2","133030501","1","1","3"
"3","133030601","1","1","3"
"1","133040101","1","0","3"
"1","133040201","1","1","3"
"1","133040301","1","2","3"
"1","133040401","1","3","3"
"1","133051101","1","0","3"
"1","133051201","1","0","5"
"1","134010101","2","0","3"
"3","134010201","2","0","3"
"1","134021101","1","0","3"
"1","134021201","1","0","5"
"1","140010101","2","0","4"
"1","140010201","2","1","1"
"1","140010301","2","0","1"
"3","140020101","1","0","1"
