55ccb409805738dd874b3147697a5f460d0fc765e9c92dd392e117fad64ef0b0,9fa86049743b24515626e33db14cc75274ce6e3e4a47f982bf07a027caa3cad8,eed54820863245e78a632cb137b0fd52527cb5884526a5bc7e87f05453bfb28c,2e9f368c85d79812d1b0cef6947ec776294904bb127b2c3c3faf7851103b0983,8dbb2d69b8e9bbb33b127b1a98c9f0156a79d2639ef53fed271f93a7abe74e36,fdf55ac7b409124ab53fccf3e8058bdf298664f4e7451629ca9a4f4c267d02ba
"92407","朱火深淵","70001","1","2024/11/19 15:59:59","2024/11/15 16:00:00"
"92408","轟流深淵","70002","2","2024/12/09 15:59:59","2024/12/05 16:00:00"
"92409","玄闇深淵","70003","5","2025/01/10 04:59:59","2025/01/05 16:00:00"
"92410","燦爛深淵","70004","4","2025/02/10 04:59:59","2025/02/05 16:00:00"
"92411","朱火深淵","70005","1","2025/03/10 04:59:59","2025/03/05 16:00:00"
"92412","烈風深淵","70006","3","2025/04/10 04:59:59","2025/04/05 16:00:00"
"92413","玄闇深淵","70007","5","2025/05/10 04:59:59","2025/05/05 16:00:00"
"92414","轟流深淵","70008","2","2025/06/10 04:59:59","2025/06/05 16:00:00"
"92415","烈風深淵","70009","3","2025/07/10 04:59:59","2025/07/05 16:00:00"
"92416","燦爛深淵","70010","4","2025/08/10 04:59:59","2025/08/05 16:00:00"
"92417","玄闇深淵","70011","5","2025/09/10 04:59:59","2025/09/05 16:00:00"
"92418","朱火深淵","70012","1","2025/10/15 04:59:59","2025/10/10 16:00:00"
