9b8d37198104295333f13777d4c3323c8c7d6d1a341277f9292db9c18b7fcc7c,a721cefacd4d7ec72103c341562326b3a9c827dfc9e0db3f904a4d1c4443cd1b,eed9dc4acd929673c84129ccc5591bc44f400a98e64f04b86803a21ec6f6fd32,6fc6437ede12e314e7ccc3f0f485d2ee07d211f6d59de84dd1dccd724c638d07,fae089b76e747b23c1ecd78963a8fbef4bed46275c6c53d8caef912f9a2fc48d,196430f0d4582990ee61558f391e76739de1458f21544f3a275ea2959db6a939,fddaed50890063ba3c762873db9efcbe790a05c2c1c33fde6c54f103ce9a513c,1e3a83ba6938c8601516bd6dd5cd810e883dc72290a8887876f893d05c849644,e1686e1d76c297ca0b66764d0adeef0c67bfe179ca1bbb72ac96df807198bc4d,a292e5dd9226e0349ace897d07d0cff857d3f52f6b519b3cb3d7fc0560601c1b,453a94ebf595376b4582121059124f67020ab7cd9999bd4264383a4a52d767e7
"0","12001","1","-250","1","talk_sad","2.2","12","5","30","52"
"0","12002","1","0","1","","0","12","6","1","1"
"0","12003","0","0","0","black","1","12","5","50","29"
"0","12004","1","0","0","","0","12","6","1","1"
"","12005","","","0","","","12","91","",""
"0","12006","1","1","1","","0.2","12","6","1","1"
"0","12007","1","1","0","","0.2","12","6","1","1"
"","12008","-20","2","1","","","12","2","0.3","-250"
"","12009","0","2","0","","","12","2","0.3","0"
"","12010","0","","0.6","","","12","93","",""
"","12011","vo_asb_0121","","vo_asb","","","12","21","0","0"
"0","12012","回想起來，\n我甚至連伴手禮都沒帶……","1","1","0","0","12","11","1","10"
"","12013","","","0","","","12","91","0","0"
"","12014","guts2_talk_shy","","1","","0.2","12","3","","1"
"","12015","vo_asb_0122","","vo_asb","","","12","21","0","0"
"0","12016","下次拜訪的時候必定……！","1","1","0","0","12","11","1","10"
"","12017","","","0","","","12","91","0","0"
"","12018","sad_talk_surprise","","1","","0.2","12","3","","1"
"","12019","vo_asb_0123","","vo_asb","","","12","21","0","0"
