3939bb26a7cbdc06fe8b5b90ef3432b3326427039b5ed0f227909649cfc1ba94,c0960f7016222e182a55b3fcf28bd48bb8330aa2e5f8f9ce2e93fde8c66a982b,38dbcf83e4f6929b472c91a79e453384bd2786208eecf8159b19d74b870388f5
"32025","1","1"
"32046","1","2"
"32048","1","3"
"32016","1","4"
"32060","1","5"
"32078","2","5"
"32031","1","6"
"32007","1","7"
"32050","1","8"
"32033","1","9"
"32058","1","10"
"32075","2","10"
"32042","1","11"
"32021","1","12"
"32023","1","13"
"32027","1","14"
"32049","1","15"
"32011","1","16"
"32045","1","17"
"32030","1","18"
"32013","1","19"
"32040","1","20"
"32018","1","21"
"32028","1","22"
"32043","1","23"
"32017","1","24"
"32010","1","25"
"32036","1","26"
"32004","1","27"
"32020","1","28"
"32059","1","29"
"32076","2","29"
"32014","1","30"
"32038","1","31"
