e41e30ee55887ae92adfce8135d6c0fac0b4a05796bf6a23b9ce64250e9ad924,6f006244f1857f87343f7fbbcb7305bd350cc034814a65fb28bee934a1e53c66,6ebbf469e1931292b0c11552e55061a58d3ff5ddd89a09877464534f224eb162,f351a7694dccaebefcbee56993c838547641fa3acf003c6a2559cf85a1987cfe,34377befb80a20e229384f01bdee5ab4c6ca37a86bb63920c5ba82904cae0789,0a34e32c05757de7a4d7a57dc22fb3e410d25f151064df1490c61399ce654367
"1","211","3001","212","803100263","2146041"
"1","211","3002","212","803100263","2146042"
"1","211","3003","212","803100263","2146043"
"1","211","3004","212","803100263","2146044"
"1","213","3006","212","803100272","2147041"
"1","213","3007","212","803100272","2147042"
"1","202","30011","313","803100253","2145039"
"0","105","30012","302","803100253","2145040"
"1","204","30021","311","803100256","2145069"
"1","205","30022","312","803100256","2145070"
"1","212","30031","310","803100259","2145099"
"0","107","30032","301","803100259","2145100"
"0","110","30041","307","803100262","2146039"
"0","105","30042","302","803100262","2146040"
"1","203","30051","314","803100267","2146081"
"1","205","30061","312","803100269","2147019"
"0","106","30062","303","803100269","2147020"
"1","202","30071","313","803100271","2147039"
"1","212","30072","310","803100271","2147040"
"0","104","300101","100","803100251","2145011"
"0","104","300102","100","803100251","2145012"
"0","105","300103","102","803100251","2145013"
"0","104","300104","100","803100251","2145014"
"0","105","300105","102","803100251","2145015"
"0","106","300106","103","803100251","2145016"
"0","105","300107","102","803100251","2145017"
"0","106","300108","103","803100251","2145018"
"1","204","300109","111","803100251","2145019"
"0","104","300110","100","803100251","2145020"
"0","104","300111","100","803100252","2145021"
"0","105","300112","102","803100252","2145022"
"0","104","300113","100","803100252","2145023"
"0","105","300114","102","803100252","2145024"
"0","106","300115","103","803100252","2145025"
"0","105","300116","102","803100252","2145026"
"0","106","300117","103","803100252","2145027"
"1","204","300118","111","803100252","2145028"
"0","104","300119","100","803100252","2145029"
"0","104","300120","100","803100252","2145030"
"0","105","300121","102","803100253","2145031"
"0","104","300122","100","803100253","2145032"
"0","105","300123","102","803100253","2145033"
"1","208","300124","112","803100253","2145034"
"1","212","300125","110","803100253","2145035"
"0","104","300126","100","803100253","2145036"
"0","105","300127","102","803100253","2145037"
"0","106","300128","103","803100253","2145038"
"0","107","300201","101","803100254","2145041"
"0","107","300202","101","803100254","2145042"
"0","105","300203","102","803100254","2145043"
"0","106","300204","103","803100254","2145044"
"1","202","300205","113","803100254","2145045"
"1","203","300206","114","803100254","2145046"
"0","107","300207","101","803100254","2145047"
"1","202","300208","113","803100254","2145048"
"1","203","300209","114","803100254","2145049"
"0","107","300210","101","803100254","2145050"
"0","107","300211","101","803100255","2145051"
"0","105","300212","102","803100255","2145052"
"0","106","300213","103","803100255","2145053"
"1","202","300214","113","803100255","2145054"
"1","203","300215","114","803100255","2145055"
"0","107","300216","101","803100255","2145056"
"1","202","300217","113","803100255","2145057"
"1","203","300218","114","803100255","2145058"
"0","107","300219","101","803100255","2145059"
"0","107","300220","101","803100255","2145060"
"0","105","300221","102","803100256","2145061"
"0","106","300222","103","803100256","2145062"
"0","107","300223","101","803100256","2145063"
"1","208","300224","112","803100256","2145064"
"1","212","300225","110","803100256","2145065"
"0","105","300226","102","803100256","2145066"
"0","106","300227","103","803100256","2145067"
"0","107","300228","101","803100256","2145068"
"0","104","300301","100","803100257","2145071"
"0","107","300302","101","803100257","2145072"
"0","107","300303","101","803100257","2145073"
"1","202","300304","113","803100257","2145074"
"1","203","300305","114","803100257","2145075"
"0","104","300306","100","803100257","2145076"
"0","107","300307","101","803100257","2145077"
"1","204","300308","111","803100257","2145078"
"1","205","300309","112","803100257","2145079"
"0","104","300310","100","803100257","2145080"
"0","107","300311","101","803100258","2145081"
"0","107","300312","101","803100258","2145082"
"1","202","300313","113","803100258","2145083"
"1","203","300314","114","803100258","2145084"
"0","104","300315","100","803100258","2145085"
"0","107","300316","101","803100258","2145086"
"1","204","300317","111","803100258","2145087"
"1","205","300318","112","803100258","2145088"
"0","104","300319","100","803100258","2145089"
"0","107","300320","101","803100258","2145090"
"0","104","300321","100","803100259","2145091"
"0","107","300322","101","803100259","2145092"
"1","202","300323","113","803100259","2145093"
"1","208","300324","112","803100259","2145094"
"0","104","300325","100","803100259","2145095"
"0","107","300326","101","803100259","2145096"
"1","204","300327","111","803100259","2145097"
"1","205","300328","112","803100259","2145098"
"0","105","300401","102","803100260","2146011"
"0","105","300402","102","803100260","2146012"
"1","202","300403","113","803100260","2146013"
"1","203","300404","114","803100260","2146014"
"0","105","300405","102","803100260","2146015"
"1","202","300406","113","803100260","2146016"
"1","203","300407","114","803100260","2146017"
"0","105","300408","102","803100260","2146018"
"0","105","300409","102","803100260","2146019"
"0","105","300410","102","803100260","2146020"
"0","105","300411","102","803100261","2146021"
"1","202","300412","113","803100261","2146022"
"1","203","300413","114","803100261","2146023"
"0","105","300414","102","803100261","2146024"
"1","202","300415","113","803100261","2146025"
"1","203","300416","114","803100261","2146026"
"0","105","300417","102","803100261","2146027"
