185e20755eca61d7bfd0ea81db579fdc22dd92c9c11c784d3191c9e35adfcc3b,41faa269632b8a66bf5561ea3536bc25373155c37f0240e00613260ad90bbfcb,75c2ce01ebe97b9b4ac00ee9fe692e0f5e77d29bb54932de9c6a633b75e4e218,458042676d13e79d98af16df06e76a6a21733b363db6ba0dc1a9ccf3a88758d3,70e9dc0f89da03a4afda7f6a42b4b8c6855593f4836b1266df9793f8b12b3cf2,ebccd8d624a72a00c67fb5f2f28c3d26145814c240fc1105e4b4e88a3c71a6a9,8ece71231e770d490818df4bf1e9bd9896ea2ca5ebbbccaf10c256f4dfe30dd2,20d5efdf31d966ebd1a918a0999fdcf5d0332d33b33c060c1d448a268b9c0dea,e3a9a5a2395566be76cfde89b0f2eb7529de04431ff5c20b117ac92fdc360f34,5cdde249995dc8d86220719a891ee27e98940cea4b2bff1cb51392071a048066,23d9826736c9eb07dbc70c6eb9e8ae32a506105d2e05ad14426f21ab156c2d2d
"-220","119931","1","1.7","psy_miyako_idle","0","1001","1","100","-200","1"
"-220","1","5","1.7","psy_idle_normal","1","1002","1","100","1000","1"
"-220","2","5","1.7","psy_fairy_idle","0","1003","1","105","-50","1"
"1","11","31","1","","","1004","1","0","0","1"
"","psy_item00_run","3","0.2","","","1005","1","1","","1"
"0","285","2","","","","1006","1","-220","2.5","1"
"","","93","","","","1007","2.5","","","1"
"","psy_item00_idle","3","0.2","","","1008","1","1","","1"
"","","93","","","","1009","0.5","","","1"
"","psy_miyako_talk1","3","0.2","","","1010","119931","1","","1"
"","vo_minigame_1008_drama_0101","21","","","","1011","vo_minigame_1008","0","0","1"
"0","等老奶奶買完東西回來後，\n宮子要給她看\n究極的布丁，\n讓她大吃一驚喲！","11","0","0.5","0","1012","119931","5","1","1"
"","1","93","","","","1013","6","","","1"
"1","psy_miyako_doya_in","3","0.2","","0.2","1014","119931","0","psy_miyako_doya_loop","1"
"","","91","","","","1015","1012","","","1"
"","0","22","","","","1016","0","","","1"
"","psy_fairy_talk","3","0.2","","","1017","2","1","","1"
"","vo_minigame_1008_drama_9901","21","","","","1018","vo_minigame_1008","0","0","1"
"0","啾啾！","11","0","0.5","0","1019","2","3","1","1"
"","","91","","","","1020","0","","","1"
"","psy_fairy_idle","3","0.2","","","1021","2","1","","1"
"","psy_miyako_talk2","3","0.2","","","1022","119931","1","","1"
"","vo_minigame_1008_drama_0102","21","","","","1023","vo_minigame_1008","0","0","1"
"0","你也想幫忙嗎？\n那就去真陽那邊\n帶很多蛋和牛奶回來吧！\n材料越多越好喲！","11","0","0.5","0","1024","119931","3","1","1"
"","1","93","","","","1025","2","","","1"
"","psy_miyako_talk_joy2","3","0.2","","","1026","119931","1","","1"
"","","91","","","","1027","1024","","","1"
"","0","22","","","","1028","0","","","1"
"","psy_miyako_idle","3","0.2","","","1029","119931","1","","1"
"","1","4","","","","1030","2","","","1"
"1","psy_fairy_run_in","3","0.2","","0","1031","2","0","psy_fairy_run","1"
"","","93","","","","1032","1.3","","","1"
"0","1000","2","","","","1033","2","-220","1","1"
"","","93","","","","1034","2","","","1"
"1","psy_miyako_doya_in","3","0.2","","0.2","1035","119931","0","psy_miyako_doya_loop","1"
"","vo_minigame_1008_drama_0103","21","","","","1036","vo_minigame_1008","0","0","1"
"0","你也來幫宮子的忙！\n麻煩的事情全部都\n交給你喲！","11","0","0.5","0","1037","119931","4","1","1"
"","","91","","","","1038","0","","","1"
"","0","22","","","","1039","0","","","1"
"0","11","12","0","0","0","1040","1","1","0","1"
"1","psy_item00_talk_guts","3","0.2","","0.2","1041","1","0","psy_item00_idle_guts","1"
"","","93","","","","1042","2","","","1"
"","psy_miyako_talk_joy2","3","0.2","","","1043","119931","1","","1"
"","vo_minigame_1008_drama_0104","21","","","","1044","vo_minigame_1008","0","0","1"
"0","把所有人都\n變成好吃的布丁喲～♪","11","0","0.5","0","1045","119931","4","1","1"
"","1","93","","","","1046","4","","","1"
