aa3f97fb56b5964cbdab00887fce0e89763a6c13df21493fd36d424f6163e05a,4f6cd30000f37bf48c61f0ff42d56f749a760bcad1c3e3af37eb5dd99daa1078,d14cea864a914b21de48da5e02e33205aba2f149cfb81dcd7f37b37e3e7d4dc3,2b9c6435946b6ee32ca1e6435875829a9ae944f6c21327783bc4971f964d57a9,bcdb1906a1fec039ce76be14d7bdd05cecacca4d79d6b87950668ff2e0eafefd,5a9c185981bf964260fbeac85609baa8c1c3c7a1bffcbdc8ff48d15c52a891d6,788bb16dbdb8bf12471b5438c7e631c1421ca1e1f27cb938188786efacbdc5fc,441fc4e5cb709a3a4bbba0d60298d773665c82a97c18d4871a6367b6fdf734c5,02abc81fe75c52f0b30c42aa63d8dfda06435220cfee1ba4e70199dceba29a17,fc53ca04b102a1d40ba97c501a28b14261d52cc1982ffd2312a4924365ed705f,c09309fcb03e6d9377eefc6c3fc74e7003c87846393d35805a277167a8e9d78c,83080e6162c27547414c58f3d5d4cd9bde0443f6cf354d88faf37f646e51d359,c71369126a0fa084d6b67eeede5abe2d6f5ad010b5f4861a70f83676045e6bcc,f15134a963dca17c5975d1bccd00edcaa96367a7a545fd999760e26fa0192387,37e1fc8e1bf76a1e972fc44083cb9ef4d6812344294731f76a4603285cc6791e,ef14d3d8fe27846459f990cd7470bf970ba1607a6a9998eef9b20fdb660e01d9,4405b2f990afb0b209e5ca2929f355083f7eb0f8b7a158c17e40fd5e9b6dece6,35ee0951bbe90436fe615352100cfec3a62ceefa5261d8a599f0539583e2f602
"1","1001","機械莉瑪來襲！","王都滅亡前倒數　～04/01 23:59","100584","0","0","1","bgm_M220","bgm_M220","1","1001001","500000000000","250000000001","2020/04/01","2020/04/01 07:59:59","480","4004101"
"2","1001","機械莉瑪來襲！","王都滅亡前倒數　～04/01 23:59","100584","0","0","1","bgm_M220","bgm_M220","2","1001002","250000000000","150000000001","2020/04/01 08:00:00","2020/04/01 12:59:59","300","4004102"
"3","1001","機械莉瑪來襲！","王都滅亡前倒數　～04/01 23:59","100584","0","0","1","bgm_M220","bgm_M220","3","1001003","150000000000","50000000001","2020/04/01 13:00:00","2020/04/01 17:59:59","300","4004103"
"4","1001","機械莉瑪來襲！","王都滅亡前倒數　～04/01 23:59","100584","0","0","1","bgm_M220","bgm_M220","1","1001001","50000000000","25000000001","2020/04/01 18:00:00","2020/04/01 19:59:59","120","4004104"
"5","1001","機械莉瑪來襲！","王都滅亡前倒數　～04/01 23:59","100584","0","0","1","bgm_M220","bgm_M220","2","1001002","25000000000","0","2020/04/01 20:00:00","2020/04/01 23:59:59","240","0"
"8","1001","機械莉瑪來襲！","王都滅亡前倒數　～04/01 23:59","100584","0","0","1","bgm_M220","bgm_M220","1","1001004","0","0","2020/04/01","2020/04/01 07:59:59","480","4004109"
"9","1001","機械莉瑪來襲！","王都滅亡前倒數　～04/01 23:59","100584","0","0","1","bgm_M220","bgm_M220","2","1001005","0","0","2020/04/01 08:00:00","2020/04/01 12:59:59","300","0"
"10","1001","機械莉瑪來襲！","王都滅亡前倒數　～04/01 23:59","100584","0","0","1","bgm_M220","bgm_M220","3","1001006","0","0","2020/04/01 13:00:00","2020/04/01 17:59:59","300","0"
"11","1001","機械莉瑪來襲！","王都滅亡前倒數　～04/01 23:59","100584","0","0","1","bgm_M220","bgm_M220","1","1001004","0","0","2020/04/01 18:00:00","2020/04/01 20:59:59","180","0"
"12","1001","機械莉瑪來襲！","王都滅亡前倒數　～04/01 23:59","100584","0","0","1","bgm_M220","bgm_M220","2","1001005","0","0","2020/04/01 21:00:00","2020/04/01 23:59:59","180","0"
"15","1002","巨影復活","蘭德索爾之戰 巨影復活　～04/01 23：59","100584","0","0","1","bgm_M220","bgm_M220","1","1002001","2500000000000","1250000000001","2023/04/01","2023/04/01 07:59:59","480","4004101"
"16","1002","巨影復活","蘭德索爾之戰 巨影復活　～04/01 23：59","100584","0","0","1","bgm_M220","bgm_M220","2","1002002","1250000000000","750000000001","2023/04/01 08:00:00","2023/04/01 12:59:59","300","4004102"
"17","1002","巨影復活","蘭德索爾之戰 巨影復活　～04/01 23：59","100584","0","0","1","bgm_M220","bgm_M220","3","1002003","750000000000","250000000001","2023/04/01 13:00:00","2023/04/01 17:59:59","300","4004103"
"18","1002","巨影復活","蘭德索爾之戰 巨影復活　～04/01 23：59","100584","0","0","1","bgm_M220","bgm_M220","1","1002001","250000000000","125000000001","2023/04/01 18:00:00","2023/04/01 19:59:59","120","4004104"
"19","1002","巨影復活","蘭德索爾之戰 巨影復活　～04/01 23：59","100584","0","0","1","bgm_M220","bgm_M220","2","1002002","125000000000","0","2023/04/01 20:00:00","2023/04/01 23:59:59","240","0"
