2b0d7ab6a83544eae1f8f4040fa7e4d2e144007000e218bce4e344b675d343d2,7f94ea6098f46ed5589d93e2b5582f9bb1b56e97d7b34acf27d3b256f4a73137,1e05e5df3ffb8babd32a6afcaf16b1ca3e75f9aa68d6d657a2a370b8395e3e9a,bb3392387a48e92b277a0eea9ea88356188377a6a307e49e6afb9408d7f5a8a2,c45a0ef8c0b450a57e0a25264bc844811a61e2e3c71dd272d4c2b1a9687ddf1e,f71121e0c11c56fc28329700d3f70b151cecc1fb9ebcbc0ea55fb6085e605e44,dcb22857c857a41dc2ead8c2a91157747630644392ca55784af0a73dd77a7cb4,e8daf8fd1775c1ca67fa1992fbfe5cb5f595101b2879f9e6e944c93dd12f7a9e,86751e4d569875ae80aacd6dbc1d5f00b62f74bfd7afd9dfced3788ba60058b6,cdf5a8f13e8b1613704b1cb5d9472c6f6421b0b45ad9d47fdb4a15c564c614a0,08bd293b5f36c8aea60dcbdaf5b7fd03e08b3d552bb5a5ec8e26b795cb3a75c1
"1","1001","10011","0","1","0","10011105","0","0","pt","2"
"2","1002","10015","0","1","0","10015103","0","1","m","2"
"3","1003","10021","5021700","1","0","10021108","0","0","pt","2"
"4","1004","10027","5027700","1","0","5027007","0","0","pt","3"
"5","1005","10040","5040700","1","0","10040105","0","0","pt","2"
"6","1006","10046","0","1","1","5046006","5046006","0","pt","1"
"7","1007","10072","0","1","3","5072006","5072006","0","pt","3"
"8","1008","10080","5080700","0","3","5080007","5080000","0","pt","3"
"9","1009","0","9004201","0","0","0","0","0","pt","0"
"10","1010","10096","5096700","1","3","5096007","5096007","0","pt","1"
"11","1012","10126","0","1","3","10126107","5126000","0","pt","2"
"12","1013","10142","5142700","1","1","5142007","5142000","0","pt","3"
"13","1014","10156","5156700","0","1","5156007","5156000","0","pt","3"
