e10b4eb58240812ccab8fa9b714245a317170f42e20f1f95fd434b6ad2d5f65c,49f7d532e50955804545e171f9bb7c398cc75661dd272c2376985724499e9705,7823a2a5fc711cd222344cd117aebdf8be2b21a1d36d463ee58648d959c204ad,797c6d60563faafcc7f8fa9859456860c9d895262fe12bfd754f482d6ad2c8d1,109b44c635a82b69463808c402c4b07060ce747dc29098ffef65eedadf63d021,c2b0e5f9aad1b433f58ed660ee5281a3474a355fe4a69430929ca078b88d8907,9b32f2f215c0edd6fd9596b978783d3d5823e6d7d182285a736d488d8006f3bc,edf723160eab50fac5c083232af2be0c9c2c5a75522d38307004a4af0afd2443,7b302394c387815d1a9e8d733e1000de211dce7e22e84ddec506d012c97fc124,2cf452971c2c377d96d35513f30f4677bbf807e15a85fe024680b39518f52898,b071873fdbc7c640ffad6f1a7b5864538be00298f77a57f70d6e87a62a5dc5c3
"1","1.4","1001","100","-216","1","-103","5","1","idle_normal","1"
"13","0","1002","-57","-140","","1","31","1","","13"
"14","0","1003","-57","-140","","1","31","1","","14"
"0","","1004","","","","","91","1","","0"
"top_luis_arm_crossed_in","0.2","1005","0","top_luis_arm_crossed_idle","0","1","3","1","","1"
"0","","1006","","","","","93","1","","4"
"top_luis_approach_in","0.2","1007","0","top_luis_approach_idle","0","1","3","1","","1"
"0","","1008","","","","","93","1","","3.5"
"top_luis_thinking","0.2","1009","1","","","","3","1","","1"
"0","","1010","","","","","93","1","","3.5"
"top_luis_walk_think","0.2","1011","1","","","","3","1","","1"
"-495","","1012","-103","2","","0","2","1","","1"
"0","","1013","","","","","93","1","","2"
"0","","1014","","","","","4","1","","1"
"-216","","1015","-103","2","","0","2","1","","1"
"0","","1016","","","","","93","1","","2"
"top_luis_notice","0","1017","1","","","","3","1","","1"
"0","","1018","","","","","93","1","","1"
"top_luis_walk_jog","0.2","1019","1","","","","3","1","","1"
"-100","","1020","-130","0.5","","0","2","1","","1"
"0","","1021","","","","","93","1","","0.5"
"1","","1022","","","","","4","1","","1"
"top_luis_sit_in","0.2","1023","0","top_luis_sit_idle","0","1","3","1","","1"
"0","","1024","","","","","93","1","","0.1"
"-57","","1025","-140","0.4","","0","2","1","","1"
"0","","1026","","","","","93","1","","1"
"top_luis_experiment_failer_in","0.2","1027","0","","","","3","1","","1"
"0","","1028","","","","","93","1","","2.3"
"top_luis_experiment_failer_mix","0.1","1029","0","","","","3","1","","1"
"0","","1030","","","","","93","1","","2.7"
"1","","1031","","","","","32","1","","13"
"top_luis_experiment_failer_burst","0.1","1032","0","","","","3","1","","1"
"0","","1033","","","","","93","1","","2.7"
"top_luis_experiment_failer_out","0.1","1034","0","","","","3","1","","1"
"0","","1035","","","","","93","1","","1.1"
"top_luis_sit_out","0.2","1036","0","idle_normal","0","1","3","1","","1"
"-100","","1037","-130","0.3","","0","2","1","","1"
"0","","1038","","","","","93","1","","1"
"walk_normal","0.2","1039","0","","","","3","1","","1"
"-216","","1040","-103","1","","0","2","1","","1"
"0","","1041","","","","","93","1","","1"
"idle_normal","0.1","1042","0","","","","3","1","","1"
"0","","1043","","","","","93","1","","0.8"
"0","","1044","","","","","32","1","","13"
"top_luis_arm_crossed_in","0.2","1045","0","top_luis_arm_crossed_idle","0","1","3","1","","1"
"0","","1046","","","","","93","1","","4"
"top_luis_approach_in","0.2","1047","0","top_luis_approach_idle","0","1","3","1","","1"
"0","","1048","","","","","93","1","","3.5"
"top_luis_thinking","0.2","1049","1","","","","3","1","","1"
"0","","1050","","","","","93","1","","3.5"
"top_luis_walk_think","0.2","1051","1","","","","3","1","","1"
"-495","","1052","-103","2","","0","2","1","","1"
"0","","1053","","","","","93","1","","2"
"0","","1054","","","","","4","1","","1"
"-216","","1055","-103","2","","0","2","1","","1"
"0","","1056","","","","","93","1","","2"
"top_luis_notice","0","1057","1","","","","3","1","","1"
"0","","1058","","","","","93","1","","1"
"top_luis_walk_jog","0.2","1059","1","","","","3","1","","1"
"-100","","1060","-130","0.5","","0","2","1","","1"
"0","","1061","","","","","93","1","","0.5"
"1","","1062","","","","","4","1","","1"
"top_luis_sit_in","0.2","1063","0","top_luis_sit_idle","0","1","3","1","","1"
"0","","1064","","","","","93","1","","0.1"
"-57","","1065","-140","0.4","","0","2","1","","1"
"0","","1066","","","","","93","1","","1"
"top_luis_experiment_success_in","0.2","1067","0","","","","3","1","","1"
"0","","1068","","","","","93","1","","2.3"
"top_luis_experiment_success_mix","0.1","1069","0","","","","3","1","","1"
"0","","1070","","","","","93","1","","2.7"
"1","","1071","","","","","32","1","","14"
"top_luis_experiment_success_burst","0.1","1072","0","","","","3","1","","1"
"0","","1073","","","","","93","1","","2.7"
"top_luis_experiment_success_out","0.1","1074","0","","","","3","1","","1"
"0","","1075","","","","","93","1","","1.1"
"top_luis_sit_out","0.2","1076","0","idle_normal","0","1","3","1","","1"
"-100","","1077","-130","0.3","","0","2","1","","1"
"0","","1078","","","","","93","1","","1"
"walk_normal","0.2","1079","0","","","","3","1","","1"
"-216","","1080","-103","1","","0","2","1","","1"
"0","","1081","","","","","93","1","","1"
"idle_normal","0.1","1082","0","","","","3","1","","1"
"0","","1083","","","","","93","1","","0.8"
"0","","1084","","","","","32","1","","14"
"","","1085","0","0","","","101","1","","1005"
"2","1.43","2001","100","400","1","-130","5","2","top_iroha_read","2"
"11","1.4","2002","101","980","1","130","5","2","butterfly","11"
"11","0","2003","400","-130","","1","31","2","","11"
"0","","2004","","","","","91","2","","0"
"top_iroha_read","0.2","2005","1","","","","3","2","","2"
"0","","2006","","","","","93","2","","9"
"1","","2007","","","","","4","2","","11"
"-980","","2008","130","7","","0","2","2","","11"
"0","","2009","","","","","93","2","","2.5"
"top_iroha_read_notice","0.2","2010","0","","","","3","2","","2"
"0","","2011","","","","","93","2","","0.6"
"top_iroha_notice_to_run","0","2012","0","top_iroha_run","0","1","3","2","","2"
"0","","2013","","","","","93","2","","0.4"
"1","","2014","","","","","32","2","","11"
"smokeR","","2015","","","","","37","2","","11"
"-980","","2016","-130","4.2","","0","33","2","","11"
"-980","","2017","-130","4.2","","0","2","2","","2"
"0","","2018","","","","","93","2","","4.2"
"0","","2019","","","","","32","2","","11"
"0","","2020","","","","","93","2","","1"
"0","","2021","","","","","4","2","","11"
"980","","2022","130","7","","0","2","2","","11"
"0","","2023","","","","","93","2","","1.5"
"1","","2024","","","","","32","2","","11"
"smokeL","","2025","","","","","37","2","","11"
"980","","2026","-130","5.964","","0","33","2","","11"
"top_iroha_run_joy","0","2027","1","","","","3","2","","2"
"0","","2028","","","","","4","2","","2"
"980","","2029","-130","5.964","","0","2","2","","2"
"0","","2030","","","","","93","2","","5.964"
"0","","2031","","","","","32","2","","11"
"0","","2032","","","","","93","2","","2"
"top_iroha_walk","0","2033","1","","","","3","2","","2"
"1","","2034","","","","","4","2","","2"
"400","","2035","-130","3","","0","2","2","","2"
"400","","2036","-130","3","","0","33","2","","11"
"0","","2037","","","","","93","2","","3"
"top_iroha_walk_out","0.2","2038","0","idle_normal","0","1","3","2","","2"
"0","","2039","","","","","93","2","","0.4"
"top_iroha_sit_in","0.2","2040","0","","0.2","","3","2","","2"
"0","","2041","","","","","93","2","","4"
"","","2042","","","","","101","2","","2005"
"3","1.38","3001","100","350","1","-130","5","3","top_sono_readPaper","3"
"10","1","3002","475","-18","","1","31","3","","10"
"0","","3003","","","","","91","3","","0"
"top_sono_readPaper","0.2","3004","1","","","","3","3","","3"
"0","","3005","","","","","93","3","","13.6"
"top_sono_sit_out","0.2","3006","0","top_sono_stretch","0","1","3","3","","3"
"0","","3007","","","","","93","3","","3.5"
"top_sono_drink","0.2","3008","1","","","","3","3","","3"
"","","3009","","","","","93","3","","10.5"
"top_sono_sit_in","0.2","3010","0","","","","3","3","","3"
"0","","3011","","","","","93","3","","2.6"
"","","3012","","","","","101","3","","3004"
"2","1.43","4001","101","400","1","-130","5","4","top_iroha_read","2"
"1","1.4","4002","100","-216","1","-103","5","4","top_luis_thinking","1"
"11","1.4","4003","102","980","1","130","5","4","butterfly","11"
"11","0","4004","400","-130","","1","31","4","","11"
"0","","4005","","","","","91","4","","0"
"top_luis_thinking","0.2","4006","1","","","","3","4","","1"
"top_iroha_read","0.2","4007","1","","","","3","4","","2"
"0","","4008","","","","","93","4","","9"
"1","","4009","","","","","4","4","","11"
"-980","","4010","130","7","","0","2","4","","11"
"0","","4011","","","","","93","4","","2.5"
"top_iroha_read_notice","0.2","4012","0","","","","3","4","","2"
"0","","4013","","","","","93","4","","0.6"
"top_iroha_notice_to_run","0","4014","0","top_iroha_run","0","1","3","4","","2"
"0","","4015","","","","","93","4","","0.4"
"1","","4016","","","","","32","4","","11"
"smokeR","","4017","","","","","37","4","","11"
"-980","","4018","-130","4.2","","0","33","4","","11"
"-980","","4019","-130","4.2","","0","2","4","","2"
"0","","4020","","","","","93","4","","1.9"
"top_luis_surprise_in","0.2","4021","0","top_luis_surprise_idle","0","1","3","4","","1"
"0","","4022","","","","","93","4","","2.3"
"0","","4023","","","","","32","4","","11"
"0","","4024","","","","","93","4","","1"
"0","","4025","","","","","4","4","","11"
"980","","4026","130","7","","0","2","4","","11"
"0","","4027","","","","","93","4","","1.5"
"1","","4028","","","","","32","4","","11"
"smokeL","","4029","","","","","37","4","","11"
"980","","4030","-130","5.964","","0","33","4","","11"
"top_iroha_run_joy","0","4031","1","","","","3","4","","2"
"0","","4032","","","","","4","4","","2"
"980","","4033","-130","5.964","","0","2","4","","2"
"0","","4034","","","","","93","4","","2.2"
