a69e8eab58c1603f4e858973cbe6ab5107a9afc75ce8f4cb819d7ecdf8b2d35c,8bd84ca19b2ddd7d2a2d5f6a8e26c6ea74aa9cf1b532e7d3386e05cf088a5f38,be6ff8756ffc7c5f79c6457c8ed90da4e5ab957bfe24c20e5a3c4646264ab1f3
"130011","100101","1"
"130021","100201","1"
"130031","100301","1"
"130041","100401","1"
"130051","100501","1"
"130061","100601","1"
"130071","100701","1"
"130081","100801","1"
"130091","100901","1"
"130101","101001","1"
"130111","101101","1"
"130121","101201","1"
"130131","101301","1"
"130141","101401","1"
"130151","101501","1"
"130161","101601","1"
"130171","101701","1"
"130181","101801","1"
"130201","102001","1"
"130211","102101","1"
"130221","102201","1"
"130231","102301","1"
"130251","102501","1"
"130261","102601","1"
"130271","102701","1"
"130281","102801","1"
"130291","102901","1"
"130301","103001","1"
"130311","103101","1"
"130321","103201","1"
"130331","103301","1"
"130341","103401","1"
"130361","103601","1"
"130371","103701","1"
"130381","103801","1"
"130401","104001","1"
"130421","104201","1"
"130431","104301","1"
"130441","104401","1"
"130451","104501","1"
"130461","104601","1"
"130471","104701","1"
"130481","104801","1"
"130491","104901","1"
"130501","105001","1"
"130511","105101","1"
"130521","105201","1"
"130531","105301","1"
"130541","105401","1"
"130551","105501","1"
"130561","105601","1"
"130571","105701","1"
"130581","105801","1"
"130591","105901","1"
"130601","106001","1"
"130611","106101","1"
"130631","106301","1"
"130641","106401","1"
"130651","106501","1"
"130661","106601","1"
"130681","106801","1"
"130701","107001","1"
"130711","107101","1"
"130751","107501","1"
"130761","107601","1"
"130771","107701","1"
"130781","107801","1"
"130791","107901","1"
"130801","108001","1"
"130811","108101","1"
"130821","108201","1"
"130831","108301","1"
"130841","108401","1"
"130851","108501","1"
"130861","108601","1"
"130871","108701","1"
"130881","108801","1"
"130891","108901","1"
"130901","109001","1"
"130911","109101","1"
"130921","109201","1"
"130931","109301","1"
"130941","109401","1"
"130951","109501","1"
"130961","109601","1"
"130971","109701","1"
"130981","109801","1"
"130991","109901","1"
"131001","110001","1"
"131011","110101","1"
"131031","110301","1"
"131041","110401","1"
"131051","110501","1"
"131061","110601","1"
"131071","110701","1"
"131081","110801","1"
"131091","110901","1"
"131101","111001","1"
"131111","111101","1"
"131121","111201","1"
"131131","111301","1"
"131141","111401","1"
"131151","111501","1"
"131161","111601","1"
"131171","111701","1"
"131181","111801","1"
"131191","111901","1"
"131201","112001","1"
"131211","112101","1"
"131221","112201","1"
"131231","112301","1"
"131241","112401","1"
"131251","112501","1"
"131261","112601","1"
"131271","112701","1"
"131281","112801","1"
"131291","112901","1"
"131301","113001","1"
"131311","113101","1"
"131321","113201","1"
"131331","113301","1"
"131341","113401","1"
"131351","113501","1"
"131361","113601","1"
"131371","113701","1"
"131381","113801","1"
"131391","113901","1"
"131401","114001","1"
"131411","114101","1"
"131421","114201","1"
"131431","114301","1"
"131441","114401","1"
"131451","114501","1"
"131461","114601","1"
"131471","114701","1"
"131501","115001","1"
"131551","115501","1"
"131561","115601","1"
"131571","115701","1"
"131581","115801","1"
"131591","115901","1"
"131601","116001","1"
"131621","116201","1"
"131631","116301","1"
"131641","116401","1"
"131651","116501","1"
"131661","116601","1"
"131671","116701","1"
"131681","116801","1"
"131691","116901","1"
"131701","117001","1"
"131711","117101","1"
"131721","117201","1"
"131731","117301","1"
"131741","117401","1"
"131751","117501","1"
"131761","117601","1"
"131771","117701","1"
"131781","117801","1"
"131791","117901","1"
"131801","118001","1"
"131901","119001","1"
"131911","119101","1"
"131921","119201","1"
"131931","119301","1"
"131991","119901","1"
"132071","120701","1"
"132081","120801","1"
"132091","120901","1"
"132101","121001","1"
"132111","121101","1"
"132121","121201","1"
"132131","121301","1"
"132141","121401","1"
"132151","121501","1"
"132161","121601","1"
"132191","121901","1"
"132201","122001","1"
"132211","122101","1"
"132221","122201","1"
"132231","122301","1"
"138011","180101","1"
"138021","180201","1"
"138031","180301","1"
"138041","180401","1"
"138061","180601","1"
