dfb87b3c47e8bddd5456cbf36e0d1d26a7d3064bbd658cf8c21ecaf7c36be069,0c5cbe337874cb1c6ca77aab205197f800fd3b85b0ded5920b134566d45fe0ad,d97ff249abf19adfb8a1000fa12c9ffb96e2e3871d872c0b54fd7bab6a33e83d
"100101","1","1"
"100201","1","1"
"100301","1","1"
"100401","1","1"
"102101","1","1"
"102201","1","1"
"102501","1","1"
"103401","1","1"
"104001","1","1"
"105001","1","1"
"105201","1","1"
"105801","1","1"
"105901","1","1"
"106001","1","1"
"100601","2","1"
"100701","2","1"
"100801","2","1"
"101301","2","1"
"101601","2","1"
"101701","2","1"
"102001","2","1"
"102301","2","1"
"102701","2","1"
"103101","2","1"
"103301","2","1"
"103801","2","1"
"104201","2","1"
"104501","2","1"
"104601","2","1"
"104801","2","1"
"105101","2","1"
"102601","2","1"
"101501","2","1"
"105401","2","1"
"100501","2","1"
"100901","3","1"
"101001","3","1"
"101101","3","1"
"101201","3","1"
"101801","3","1"
"102801","3","1"
"102901","3","1"
"103001","3","1"
"103201","3","1"
"104301","3","1"
"104901","3","1"
"105301","3","1"
"105701","3","1"
"104701","3","1"
"106301","3","1"
"103601","3","1"
"104401","3","1"
"103701","3","1"
"105601","3","1"
"101401","3","1"
"107101","3","1"
"106101","3","1"
