9a2635a68cfec20345a3b4107af61ab30ddd03e98b592a30a9e02e63a5efadb3,1a47557370fbf8ac3efd8cc1688a3db8f14757770afd0dc282823e27b2e91d0c,1aeba6c79183d9d44d41d9a6a4a895fb16345cac598f43cafa46654be9e696c2,6327ff74fc870cc62e8a8d9c5229162639da5e25d8ed1e77c76a4c00db0b82b5,104d8503a0682151e57a9e7819cf4a39285e0fd864b6c0c8e888b065f09adbd6,5057e66d2d03ca3cccb3ac8ff13f1edf06b5ee3619d283d92a1518c97400583c,f1f8661873b56bdbc9fd5594a870abdc52779ff7b332acc5cc05a1d7b45a29ee,553315d2412718fcdd7a57e11e1fab0707d5015a6619edf7038562365ebe2367
"4","5","3","1","104","111","2","200"
"4","5","3","1","14","211","2","2"
"4","5","3","1","103","311","2","2"
"4","5","3","1","102","411","2","2"
"4","5","3","1","104","511","2","200"
"4","5","3","1","1","611","2","250"
"4","5","3","1","101","711","2","3"
"4","5","3","1","100","811","2","3"
"4","5","3","1","104","911","2","200"
"4","5","3","1","1","1011","2","250"
"4","5","3","1","3","1111","2","250"
"4","5","3","1","5","1112","2","250"
"4","5","3","1","6","1211","2","150"
"4","5","3","1","7","1212","2","150"
"4","5","3","1","104","1311","2","200"
"4","5","3","1","103","1411","2","2"
"4","5","3","1","102","1511","2","2"
"4","5","3","1","1","1611","2","250"
"4","5","3","1","104","1711","2","200"
"4","5","3","1","2","1811","2","500"
"4","5","3","1","4","1812","2","500"
"4","5","3","1","101","1911","2","3"
"4","5","3","1","100","2011","2","3"
"4","5","3","1","104","2111","2","200"
"4","5","3","1","1","2211","2","250"
"4","5","3","1","100","2311","2","3"
"4","5","3","1","101","2411","2","3"
"4","5","3","1","104","2511","2","200"
"4","5","3","1","2","2611","2","500"
"4","5","3","1","4","2612","2","500"
"4","5","3","1","6","2711","2","150"
"4","5","3","1","7","2712","2","150"
"4","5","3","1","2","2811","2","500"
"4","5","3","1","4","2812","2","500"
"4","5","3","1","104","2911","2","200"
"4","5","3","1","3","3011","2","250"
"4","5","3","1","5","3012","2","250"
"4","5","3","1","100","3111","2","3"
"4","5","3","1","101","3211","2","3"
"4","5","3","1","104","3311","2","200"
"4","5","3","1","100","3411","2","2"
"4","5","3","1","104","3511","2","200"
"4","5","3","1","103","3611","2","1"
"4","5","3","1","102","3711","2","1"
"4","5","3","1","2","3811","2","250"
"4","5","3","1","4","3812","2","250"
"4","5","3","1","102","3911","2","1"
"4","5","3","1","104","4011","2","200"
"4","5","3","1","100","4111","2","2"
"4","5","3","1","6","4211","2","150"
"4","5","3","1","7","4212","2","150"
"4","5","3","1","104","4311","2","200"
"4","5","3","1","103","4411","2","1"
"4","5","3","1","104","4511","2","200"
"4","5","3","1","101","4611","2","2"
"4","5","3","1","102","4711","2","1"
"4","5","3","1","104","4811","2","200"
"4","5","3","1","103","4911","2","1"
"4","5","3","1","104","5011","2","200"
"4","5","3","1","101","5111","2","2"
"4","5","3","1","102","5211","2","1"
"4","5","3","1","104","5311","2","200"
"4","5","3","1","6","5411","2","150"
"4","5","3","1","7","5412","2","150"
"4","5","3","1","103","5511","2","1"
"4","5","3","1","104","5611","2","200"
"4","5","3","1","100","5711","2","2"
"4","5","3","1","101","5811","2","2"
"4","5","3","1","103","5911","2","1"
"4","5","3","1","104","6011","2","200"
"4","5","3","1","102","6111","2","1"
"4","5","3","1","2","6211","2","250"
"4","5","3","1","4","6212","2","250"
"4","5","3","1","104","6311","2","200"
"4","5","3","1","103","6411","2","1"
"4","5","3","1","102","6511","2","1"
"4","5","3","1","104","6611","2","200"
"4","5","3","1","6","6711","2","150"
"4","5","3","1","7","6712","2","150"
"4","5","3","1","102","6811","2","1"
"4","5","3","1","104","6911","2","200"
"4","5","3","1","103","7011","2","1"
"4","5","3","1","101","7111","2","2"
"4","5","3","1","100","7211","2","2"
"4","5","3","1","104","7311","2","200"
"4","5","3","1","103","7411","2","1"
"4","5","3","1","102","7511","2","1"
"4","5","3","1","2","7611","2","250"
"4","5","3","1","4","7612","2","250"
"4","5","3","1","104","7711","2","200"
"4","5","3","1","101","7811","2","2"
"4","5","3","1","100","7911","2","2"
"4","5","3","1","104","8011","2","200"
"4","5","3","1","6","8111","2","150"
"4","5","3","1","7","8112","2","150"
"4","5","3","1","101","8211","2","2"
"4","5","3","1","2","8311","2","250"
"4","5","3","1","4","8312","2","250"
"4","5","3","1","103","8411","2","1"
"4","5","3","1","104","8511","2","200"
"4","5","3","1","100","8611","2","2"
"4","5","3","1","102","8711","2","1"
"4","5","3","1","103","8811","2","1"
"4","5","3","1","104","8911","2","200"
"4","5","3","1","102","9011","2","1"
"4","5","3","1","104","9111","2","200"
"4","5","3","1","2","9211","2","250"
"4","5","3","1","4","9212","2","250"
"4","5","3","1","104","9311","2","200"
"4","5","3","1","102","9411","2","1"
"4","5","3","1","103","9511","2","1"
"4","5","3","1","104","9611","2","200"
