2927c81677adb0e4ed80aaebaec4da94a970742ef3f4a0359361562815a077ff,d02c2d36884f3f533822a4c54a7cf18789c6ce0dcc69c84c69ff1d553e57a724,43ee4cd3ce6fcb1014c0f8a9257a2028412bca7efb37f535e178a03895dac413,a520f2cedf35ae941c4759db11ff94b8b99aea3e731c5e2034f72dd92dadd8da,32f4e07fc0cdea9bcc8068a199fb9fdce8a27f2a69214a3d71bf3a099b10275e,06c076b3d5bb6bf26578683d7aa72566b16942e9f5ec39ce2f8162faa0be994f,78674b0f6c7bfb23c072229990f5a01596413ee0f15fd2c877db44888d79232a,3aa259dbbe9fc4c04e099a1df3ebe29b17157bea2ff16a766554ae47bd22dbb9
"111","1","2","3","200","5","104","4"
"211","1","2","3","2","5","14","4"
"311","1","2","3","2","5","103","4"
"411","1","2","3","2","5","102","4"
"511","1","2","3","200","5","104","4"
"611","1","2","3","250","5","1","4"
"711","1","2","3","3","5","101","4"
"811","1","2","3","3","5","100","4"
"911","1","2","3","200","5","104","4"
"1011","1","2","3","250","5","1","4"
"1111","1","2","3","250","5","3","4"
"1112","1","2","3","250","5","5","4"
"1211","1","2","3","150","5","6","4"
"1212","1","2","3","150","5","7","4"
"1311","1","2","3","200","5","104","4"
"1411","1","2","3","2","5","103","4"
"1511","1","2","3","2","5","102","4"
"1611","1","2","3","250","5","1","4"
"1711","1","2","3","200","5","104","4"
"1811","1","2","3","500","5","2","4"
"1812","1","2","3","500","5","4","4"
"1911","1","2","3","3","5","101","4"
"2011","1","2","3","3","5","100","4"
"2111","1","2","3","200","5","104","4"
"2211","1","2","3","250","5","1","4"
"2311","1","2","3","3","5","100","4"
"2411","1","2","3","3","5","101","4"
"2511","1","2","3","200","5","104","4"
"2611","1","2","3","500","5","2","4"
"2612","1","2","3","500","5","4","4"
"2711","1","2","3","150","5","6","4"
"2712","1","2","3","150","5","7","4"
"2811","1","2","3","500","5","2","4"
"2812","1","2","3","500","5","4","4"
"2911","1","2","3","200","5","104","4"
"3011","1","2","3","250","5","3","4"
"3012","1","2","3","250","5","5","4"
"3111","1","2","3","3","5","100","4"
"3211","1","2","3","3","5","101","4"
"3311","1","2","3","200","5","104","4"
"3411","1","2","3","2","5","100","4"
"3511","1","2","3","200","5","104","4"
"3611","1","2","3","1","5","103","4"
"3711","1","2","3","1","5","102","4"
"3811","1","2","3","250","5","2","4"
"3812","1","2","3","250","5","4","4"
"3911","1","2","3","1","5","102","4"
"4011","1","2","3","200","5","104","4"
"4111","1","2","3","2","5","100","4"
"4211","1","2","3","150","5","6","4"
"4212","1","2","3","150","5","7","4"
"4311","1","2","3","200","5","104","4"
"4411","1","2","3","1","5","103","4"
"4511","1","2","3","200","5","104","4"
"4611","1","2","3","2","5","101","4"
"4711","1","2","3","1","5","102","4"
"4811","1","2","3","200","5","104","4"
"4911","1","2","3","1","5","103","4"
"5011","1","2","3","200","5","104","4"
"5111","1","2","3","2","5","101","4"
"5211","1","2","3","1","5","102","4"
"5311","1","2","3","200","5","104","4"
"5411","1","2","3","150","5","6","4"
"5412","1","2","3","150","5","7","4"
"5511","1","2","3","1","5","103","4"
"5611","1","2","3","200","5","104","4"
"5711","1","2","3","2","5","100","4"
"5811","1","2","3","2","5","101","4"
"5911","1","2","3","1","5","103","4"
"6011","1","2","3","200","5","104","4"
"6111","1","2","3","1","5","102","4"
"6211","1","2","3","250","5","2","4"
"6212","1","2","3","250","5","4","4"
"6311","1","2","3","200","5","104","4"
"6411","1","2","3","1","5","103","4"
"6511","1","2","3","1","5","102","4"
"6611","1","2","3","200","5","104","4"
"6711","1","2","3","150","5","6","4"
"6712","1","2","3","150","5","7","4"
"6811","1","2","3","1","5","102","4"
"6911","1","2","3","200","5","104","4"
"7011","1","2","3","1","5","103","4"
"7111","1","2","3","2","5","101","4"
"7211","1","2","3","2","5","100","4"
"7311","1","2","3","200","5","104","4"
"7411","1","2","3","1","5","103","4"
"7511","1","2","3","1","5","102","4"
"7611","1","2","3","250","5","2","4"
"7612","1","2","3","250","5","4","4"
"7711","1","2","3","200","5","104","4"
"7811","1","2","3","2","5","101","4"
"7911","1","2","3","2","5","100","4"
"8011","1","2","3","200","5","104","4"
"8111","1","2","3","150","5","6","4"
"8112","1","2","3","150","5","7","4"
"8211","1","2","3","2","5","101","4"
"8311","1","2","3","250","5","2","4"
"8312","1","2","3","250","5","4","4"
"8411","1","2","3","1","5","103","4"
"8511","1","2","3","200","5","104","4"
"8611","1","2","3","2","5","100","4"
"8711","1","2","3","1","5","102","4"
"8811","1","2","3","1","5","103","4"
"8911","1","2","3","200","5","104","4"
"9011","1","2","3","1","5","102","4"
"9111","1","2","3","200","5","104","4"
"9211","1","2","3","250","5","2","4"
"9212","1","2","3","250","5","4","4"
"9311","1","2","3","200","5","104","4"
"9411","1","2","3","1","5","102","4"
"9511","1","2","3","1","5","103","4"
"9611","1","2","3","200","5","104","4"
