cd5ffca93a15c6ec251ab52d0c6535bd7c03380e82e19655866c2360600b1a05,1d897eaf826a11f5794a3c03f1c47b267f19d451783a72d1acb1f2fb7a31ab00,22d73aa2b52213bc2f27dc2dee10015a390e8f117f0f240af0ed893c88408b03,24cff93a81f2bd12d4d306ae99a8c73e8143383131a49e52e29bb1e72a229ec5,f4762ab1bc7c9d6d17859d4e11854bb53b72b98769a98cb0cd7184c13b2e4c48,a7f056b557f2722b0cbb8a940c157a9948cf0c152d06f073c03515daab52320a,82d43c6e8f87aec8a9d83a5596907b2d357a5ab66661586af36b7ad319d21485,ad29d6705838126edd43b27dbb50d990fd5b0b28790e2dcd19ff5696b0591b25,2d747f1ee97ac7bfdc08d9c28e3c12b67d3958437bffb3baf19c0d3938ae46eb,bcc00e465f9eb446aed1e18357c15e80f01ae2c8ba55daa84c79aaed2f4d8cdc,134837bb37a7610844b2d7f675f00cd8e463f2dc76ae31fa52815bfaf5bb52ce,9cbe5d45b01436bb54cfcea845ac89f745f75cf1163334b4d938a2bdeace26cf,056d6a434611f113c4c8434e18e9255921e2dcf3db1f196abe257a56d5af5c63,3af892349d3d09d5007f03c8d2f56a111b69cd20c12cc79e528843b1a9c1f114
"如果完成任務的話，\n就能夠獲得獎勵哦！\n請加油吧","53003","53","2","0","-416.5","1","2030/01/01 14:59:59","2018/01/31 12:00:00","0","3.414","1","花凜","190801"
"將任務完成，\n並獲得獎勵吧！","53004","53","2","0","-416.5","1","2030/01/01 14:59:59","2018/01/31 12:00:00","0","3.099","2","花凜","190801"
"似乎有能夠\n領取的獎勵了。\n請確認看看","54003","54","2","0","-416.5","1","2030/01/01 14:59:59","2018/01/31 12:00:00","0","2.801","3","花凜","190801"
"能夠領取獎勵了！\n請檢查看看","54004","54","2","0","-416.5","2","2030/01/01 14:59:59","2018/01/31 12:00:00","0","0","4","花凜","190801"
"這裡是公會管理協會！\n如果您持有討伐證的話，\n就能夠交換獎勵哦","55003","55","2","0","-363","1","2030/01/01 14:59:59","2018/01/31 12:00:00","0","5.506","1","花凜","190801"
"辛苦了！\n在這裡，能夠以討伐證\n來換取獎勵哦！","55004","55","1","0","-363","2","2030/01/01 14:59:59","2018/01/31 12:00:00","0","1.216","2","花凜","190801"
"辛苦了\n別忘記使用討伐證\n來進行交換哦！","56003","56","1","0","-363","2","2030/01/01 14:59:59","2018/01/31 12:00:00","0","1.539","3","花凜","190801"
"結束了呢─\n討伐證就是努力的證明！\n拿來換取獎勵吧！","56004","56","1","0","-363","2","2030/01/01 14:59:59","2018/01/31 12:00:00","0","1.875","4","花凜","190801"
"參加活動辛苦了！\n各位活躍的樣子\n我們始終非常感謝","57003","57","1","0","-416.5","1","2030/01/01 14:59:59","2018/01/31 12:00:00","0","0","5","花凜","190801"
"如果完成任務的話，\n就能夠獲得獎勵哦！\n請加油吧","10043001","53","2","0","-416.5","1","2020/10/28 15:59:59","2020/10/19 16:00:00","10043","3.414","1","花凜","190801"
"將任務完成，\n並獲得獎勵吧！","10043002","53","2","0","-416.5","1","2020/10/28 15:59:59","2020/10/19 16:00:00","10043","3.099","2","花凜","190801"
"似乎有能夠\n領取的獎勵了，\n請確認看看。","10043003","54","2","0","-416.5","1","2020/10/28 15:59:59","2020/10/19 16:00:00","10043","2.801","3","花凜","190801"
"能夠領取獎勵了！\n請檢查看看","10043004","54","2","0","-416.5","2","2020/10/28 15:59:59","2020/10/19 16:00:00","10043","0","4","花凜","190801"
"參加活動辛苦了！\n各位活躍的樣子\n我們始終非常感謝","10043005","57","1","0","-416.5","1","2020/10/28 15:59:59","2020/10/19 16:00:00","10043","0","5","花凜","190801"
"","10043101","51","2","0","-285","1","2020/10/28 15:59:59","2020/10/19 16:00:00","10043","6.75","101","鈴奈（夏日）","110001"
"","10043102","51","2","0","-285","2","2020/10/28 15:59:59","2020/10/19 16:00:00","10043","0","201","伊緒（夏日）","110101"
"","10043103","51","3","70","-285","2","2020/10/28 15:59:59","2020/10/19 16:00:00","10043","7.237","301","美咲（夏日）","110201"
"","10043104","51","4","0","-285","6","2020/10/28 15:59:59","2020/10/19 16:00:00","10043","5.017","102","鈴奈（夏日）","110001"
"","10043105","51","1","0","-285","2","2020/10/28 15:59:59","2020/10/19 16:00:00","10043","4.802","202","伊緒（夏日）","110101"
"","10043106","51","3","70","-285","2","2020/10/28 15:59:59","2020/10/19 16:00:00","10043","10.992","302","美咲（夏日）","110201"
"","10043107","51","2","0","-285","2","2020/10/28 15:59:59","2020/10/19 16:00:00","10043","0","103","鈴奈（夏日）","110001"
"","10043108","51","2","0","-285","1","2020/10/28 15:59:59","2020/10/19 16:00:00","10043","3.047","203","伊緒（夏日）","110101"
"","10043109","52","1","0","-285","2","2020/10/28 15:59:59","2020/10/19 16:00:00","10043","7.904","104","鈴奈（夏日）","110001"
"","10043110","52","2","0","-285","1","2020/10/28 15:59:59","2020/10/19 16:00:00","10043","8.81","204","伊緒（夏日）","110101"
"","10043111","52","1","70","-285","2","2020/10/28 15:59:59","2020/10/19 16:00:00","10043","6.65","304","美咲（夏日）","110201"
"","10043112","52","6","0","-285","1","2020/10/28 15:59:59","2020/10/19 16:00:00","10043","9.043","105","鈴奈（夏日）","110001"
"","10043113","52","5","0","-285","2","2020/10/28 15:59:59","2020/10/19 16:00:00","10043","4.995","205","伊緒（夏日）","110101"
"","10043114","52","2","70","-285","1","2020/10/28 15:59:59","2020/10/19 16:00:00","10043","11.657","305","美咲（夏日）","110201"
"","10043115","52","5","0","-285","2","2020/10/28 15:59:59","2020/10/19 16:00:00","10043","7.892","106","鈴奈（夏日）","110001"
"","10043116","52","3","0","-285","2","2020/10/28 15:59:59","2020/10/19 16:00:00","10043","7.635","206","伊緒（夏日）","110101"
"","10043117","52","2","70","-285","1","2020/10/28 15:59:59","2020/10/19 16:00:00","10043","9.858","306","美咲（夏日）","110201"
"如果完成任務的話，\n就能夠獲得獎勵哦！\n請加油吧","10044001","53","2","0","-416.5","1","2020/11/20 15:59:59","2020/11/02 16:00:00","10044","3.414","1","花凜","190801"
"將任務完成，\n並獲得獎勵吧！","10044002","53","2","0","-416.5","1","2020/11/20 15:59:59","2020/11/02 16:00:00","10044","3.099","2","花凜","190801"
"似乎有能夠\n領取的獎勵了，\n請確認看看。","10044003","54","2","0","-416.5","1","2020/11/20 15:59:59","2020/11/02 16:00:00","10044","2.801","3","花凜","190801"
"能夠領取獎勵了！\n請檢查看看","10044004","54","2","0","-416.5","2","2020/11/20 15:59:59","2020/11/02 16:00:00","10044","0","4","花凜","190801"
"參加活動辛苦了！\n各位活躍的樣子\n我們始終非常感謝","10044005","57","1","0","-416.5","1","2020/11/20 15:59:59","2020/11/02 16:00:00","10044","0","5","花凜","190801"
"這裡是公會管理協會！\n如果您持有的討伐證，\n就能夠交換獎勵哦。","10044006","55","2","0","-363","1","2020/11/20 15:59:59","2020/11/02 16:00:00","10044","5.506","1","花凜","190801"
"辛苦了！\n在這裡，能夠以討伐證\n來換取獎勵哦！","10044007","55","1","0","-363","2","2020/11/20 15:59:59","2020/11/02 16:00:00","10044","1.216","2","花凜","190801"
"辛苦了\n別忘記使用討伐證\n來進行交換哦！","10044008","56","1","0","-363","2","2020/11/20 15:59:59","2020/11/02 16:00:00","10044","1.539","3","花凜","190801"
"結束了呢─\n討伐證就是努力的證明！\n拿來換取獎勵吧！","10044009","56","1","0","-363","2","2020/11/20 15:59:59","2020/11/02 16:00:00","10044","1.875","4","花凜","190801"
"","10044102","51","5","8","-285","4","2020/11/20 15:59:59","2020/11/02 16:00:00","10044","14.15","111","流夏（夏日）","113101"
"","10044104","51","2","8","-285","5","2020/11/20 15:59:59","2020/11/02 16:00:00","10044","9.48","211","七七香（夏日）","113301"
"","10044106","51","3","8","-285","3","2020/11/20 15:59:59","2020/11/02 16:00:00","10044","0","311","杏奈（夏日）","113201"
"","10044107","51","2","8","-285","1","2020/11/20 15:59:59","2020/11/02 16:00:00","10044","9.376","102","流夏","105601"
"","10044108","51","2","8","-285","1","2020/11/20 15:59:59","2020/11/02 16:00:00","10044","9.376","112","流夏（夏日）","113101"
"","10044109","51","3","8","-285","3","2020/11/20 15:59:59","2020/11/02 16:00:00","10044","0","202","七七香","101301"
"","10044110","51","3","8","-285","3","2020/11/20 15:59:59","2020/11/02 16:00:00","10044","0","212","七七香（夏日）","113301"
"","10044111","51","1","8","-285","4","2020/11/20 15:59:59","2020/11/02 16:00:00","10044","8.18","302","杏奈","100901"
"","10044112","51","1","8","-285","4","2020/11/20 15:59:59","2020/11/02 16:00:00","10044","8.18","312","杏奈（夏日）","113201"
"","10044113","51","4","8","-285","4","2020/11/20 15:59:59","2020/11/02 16:00:00","10044","0","103","流夏","105601"
"","10044114","51","4","8","-285","4","2020/11/20 15:59:59","2020/11/02 16:00:00","10044","0","113","流夏（夏日）","113101"
"","10044115","51","5","8","-285","4","2020/11/20 15:59:59","2020/11/02 16:00:00","10044","10.33","203","七七香","101301"
"","10044116","51","5","8","-285","4","2020/11/20 15:59:59","2020/11/02 16:00:00","10044","10.33","213","七七香（夏日）","113301"
"","10044117","51","4","8","-285","4","2020/11/20 15:59:59","2020/11/02 16:00:00","10044","0","303","杏奈","100901"
"","10044118","51","4","8","-285","4","2020/11/20 15:59:59","2020/11/02 16:00:00","10044","0","313","杏奈（夏日）","113201"
"","10044119","52","2","8","-285","1","2020/11/20 15:59:59","2020/11/02 16:00:00","10044","8.83","104","流夏","105601"
