d2da11d13e59b4d45a8a06fe7cfa7aca2d3b735e750988af7b0edd74b6e08cb2,977abeb6513e56ea7f9553245093020bba6abd770d92c41d60fce3cfe45d4f7c,516337381c10d52fc65543e666d4e37a63f35c8f59ddf83e5e79121be872de72,4f206b1ed39349de360f37daca21e02a99cbecdd1ce6e06f01c667b8f872d5c0,ec354d4a163dd9e51fe87331b01d0ed00ab3202e6d4d5be9f669a19b58307f34,81c17fbe28e35560f2fe8cde70e3d73868fdd1d85454b953d098651ca47e7ef0,e6bdb62bfe7265e8df9454c1279658dc5b52e2f7e686891dc17dfd8674a7dbad,6175ccc32172e4630984e5874d6fb0ea2b9bb633a2011af98e8cfc41a86ad9b5,5c9596a01fed5a2e743758e71bc818482d1e2f1bb41e4e5e120def08084e2908,cb37eac7ea54e2eeacbe8b08fecc798f6b11f71782037e6a43e0e4ad1b542a05,2e93d57779e5a43891468c837ea88014e7f58945680bce15ced5003efdf991a3,e2e222509b1f7dbfc920d0ec2e1cda8e09f455b8296f6d6b75f01169e90b17d6,cd4a79aac44089825e6c9177ebe072c6309330ab2f61ba2f670360cfe89a6dd4,5c2fb17b8df43f2a84072d3e53e30f9ff519d0f1830adba64f32d1cbcb0de8de
"0","0","2020/07/31 12:00:00","24001","102301","2","10046","太棒了，噗吉！\n這樣就能當\n哥哥他們的榜樣了！","2030/12/17 14:59:59","2","401","24","0","綾音"
"2.21","0","2020/07/31 12:00:00","24002","102301","1","10046","我們贏了！\n有噗吉和我在一起，\n不管來了怎麼樣的球，\n我都會打出全壘打的！","2030/12/17 14:59:59","2","402","24","0","綾音"
"0","0","2020/07/31 12:00:00","24003","102301","2","10046","好耶好耶！\n哥哥你有看見嗎？\n我有好好努力喔！","2030/12/17 14:59:59","2","403","24","0","綾音"
"1.99","0","2020/07/31 12:00:00","24004","192201","2","10046","特訓好像有成果了！\n照著這個步調繼續練習，\n持續進步下去吧！","2030/12/17 14:59:59","1","701","24","0","旭"
"2.21","0","2020/07/31 12:00:00","24005","192201","1","10046","很好，感覺很棒！\n看樣子我應該能夠好好地\n盡到隊長的職責。","2030/12/17 14:59:59","2","702","24","0","旭"
"3.33","0","2020/07/31 12:00:00","24006","192201","2","10046","比賽將近，\n我似乎有抓到感覺了！\n一口氣邁向全國大賽吧！","2030/12/17 14:59:59","1","703","24","0","旭"
"0","0","2020/07/31 12:00:00","24007","192301","2","10046","這點程度輕鬆得很，\n畢竟我們可是\n以全國大賽為目標啊。","2030/12/17 14:59:59","2","801","24","0","社員3"
"2.68","0","2020/07/31 12:00:00","24008","192301","1","10046","我也算是\n沙灘棒球選手啊，\n不管什麼球來了，\n我都會把它打飛到觀眾席去的。","2030/12/17 14:59:59","2","802","24","0","社員3"
"0","0","2020/07/31 12:00:00","24009","192301","2","10046","感覺很不錯，\n這樣比賽時應該也能好好活躍，\n我要大肆表現一番！","2030/12/17 14:59:59","2","803","24","0","社員3"
"0","0","2020/07/31 12:00:00","24010","192501","1","10046","太好了！","2030/12/17 14:59:59","1","501","24","0",""
