576a39272fc37a4df4e1d07c79e3a85e4c20b655440df1d33c68bc0513630d12,bf719e53b3fcf0a7918830cce504eaf147ce60fa1b20bc7cbb839103081c8aa5,75c0adbc31732d613dd63126ca14e0c3b5c988c759050c3b069e1d00c01fbeaf,2bcee003f10a45f806d6d85b2dfe1ce90874212bc917dbaa9fc930dc9b010695,826d1a1472e1f4137c79e20e9e7c1ab4e103e10c3d726dfd45486d2009f62083,db1177cb3cf238984b4e0f3823b35c4fe9b1e3709adc65cf47298b5586d11312,2223d207f5794543fb7e9ff85516171dde22bc6e19bc3d51ba9d5427ec25a22f,831706b87ca5ee4bb0540a1db2890e5738ed90afe7ba435b62464cb68be784c7,18213c49fd08363738a3ab93c75b542a7ec0277089c99ad305f8e016588e98fc,aed014d1699cb80e019d00e2a30306bad1dc5382a29259b8494d6bfcfd5b6c23,44ea3d00d9b9f8722a3e0a1408e0421d21ff9ec942ed4ba8ee723c9e1cc8bb5e,68ed6d5faa8f82b03517db4b6d24306b0d96cbc3e38eb5f82509083bba3ae7f6,5b5100f8c2cf139c14e1b46b8602ade98f0bb073f5166404ae046e792808ad45
"3100101","","","31001_01","","","","","","1","29","",""
"3100101","","","31001_03","","","","","","30","59","",""
"3100101","","","31001_05","","","","","","60","-1","",""
"3100102","31001_01","","31001_01","","","","","","1","29","",""
"3100102","31001_03","","31001_03","","","","","","30","59","",""
"3100102","31001_05","","31001_05","","","","","","60","-1","",""
"3100103","31001_01","","31001_01","","","","","","1","29","31001_01",""
"3100103","31001_03","","31001_03","","","","","","30","59","31001_03",""
"3100103","31001_05","","31001_05","","","","","","60","-1","31001_05",""
"3100104","31001_01","","31001_01","","","","","31001_01","1","29","31001_01",""
"3100104","31001_03","","31001_03","","","","","31001_03","30","59","31001_03",""
"3100104","31001_05","","31001_05","","","","","31001_05","60","-1","31001_05",""
"3100201","61003_02","","61003_01","","","","","","1","29","",""
"3100201","61003_04","","61003_03","","","","","","30","49","",""
"3100201","61003_06","","61003_05","","","","","","50","79","",""
"3100201","61003_08","","61003_07","","","","","","80","99","",""
"3100201","61003_10","","61003_09","","","","","","100","109","",""
"3100201","61003_12","","61003_11","","","","","","110","119","",""
"3100201","61003_14","","61003_13","","","","","","120","129","",""
"3100201","61003_16","","61003_15","","","","","","130","139","",""
"3100201","61003_18","","61003_17","","","","","","140","149","",""
"3100201","61003_20","","61003_19","","","","","","150","159","",""
"3100201","61003_22","","61003_21","","","","","","160","169","",""
"3100201","61003_24","","61003_23","","","","","","170","179","",""
"3100201","61003_26","","61003_25","","","","","","180","189","",""
"3100201","61003_28","","61003_27","","","","","","190","199","",""
"3100201","61003_30","","61003_29","","","","","","200","209","",""
"3100201","61003_32","","61003_31","","","","","","210","219","",""
"3100201","61003_34","","61003_33","","","","","","220","229","",""
"3100201","61003_36","","61003_35","","","","","","230","239","",""
"3100201","61003_38","","61003_37","","","","","","240","249","",""
"3100201","61003_40","","61003_39","","","","","","250","259","",""
"3100201","61003_42","","61003_41","","","","","","260","269","",""
"3100201","61003_44","","61003_43","","","","","","270","279","",""
"3100201","61003_46","","61003_45","","","","","","280","289","",""
"3100201","61003_48","","61003_47","","","","","","290","299","",""
"3100201","61003_50","","61003_49","","","","","","300","309","",""
"3100201","61003_52","","61003_51","","","","","","310","319","",""
"3100201","61003_54","","61003_53","","","","","","320","-1","",""
