cb2fb9e40df25e7482a2860112f52f67fb827bf708aff157d345b01d5fbb3254,0e26e21c09df6b83bf0562c9993b559880cd16c388ff54d7736f72e2191cf118,f6ce4a4c3ababbc724c4960697a65eb938ee6d7cec03027b5ec608c948c67fe6
"130011","1","100101"
"130021","1","100201"
"130031","1","100301"
"130041","1","100401"
"130051","1","100501"
"130061","1","100601"
"130071","1","100701"
"130081","1","100801"
"130091","1","100901"
"130101","1","101001"
"130111","1","101101"
"130121","1","101201"
"130131","1","101301"
"130141","1","101401"
"130151","1","101501"
"130161","1","101601"
"130171","1","101701"
"130181","1","101801"
"130201","1","102001"
"130211","1","102101"
"130221","1","102201"
"130231","1","102301"
"130251","1","102501"
"130261","1","102601"
"130271","1","102701"
"130281","1","102801"
"130291","1","102901"
"130301","1","103001"
"130311","1","103101"
"130321","1","103201"
"130331","1","103301"
"130341","1","103401"
"130361","1","103601"
"130371","1","103701"
"130381","1","103801"
"130401","1","104001"
"130421","1","104201"
"130431","1","104301"
"130441","1","104401"
"130451","1","104501"
"130461","1","104601"
"130471","1","104701"
"130481","1","104801"
"130491","1","104901"
"130501","1","105001"
"130511","1","105101"
"130521","1","105201"
"130531","1","105301"
"130541","1","105401"
"130551","1","105501"
"130561","1","105601"
"130571","1","105701"
"130581","1","105801"
"130591","1","105901"
"130601","1","106001"
"130611","1","106101"
"130631","1","106301"
"130651","1","106501"
"130661","1","106601"
"130701","1","107001"
"130711","1","107101"
"130751","1","107501"
"130761","1","107601"
"130771","1","107701"
"130781","1","107801"
"130791","1","107901"
"130801","1","108001"
"130811","1","108101"
"130821","1","108201"
"130831","1","108301"
"130841","1","108401"
"130851","1","108501"
"130861","1","108601"
"130871","1","108701"
"130881","1","108801"
"130891","1","108901"
"130901","1","109001"
"130911","1","109101"
"130921","1","109201"
"130931","1","109301"
"130941","1","109401"
"130951","1","109501"
"130961","1","109601"
"130971","1","109701"
"130981","1","109801"
"130991","1","109901"
"131001","1","110001"
"131011","1","110101"
"131031","1","110301"
"131041","1","110401"
"131051","1","110501"
"131061","1","110601"
"131071","1","110701"
"131081","1","110801"
"131091","1","110901"
"131101","1","111001"
"131111","1","111101"
"131121","1","111201"
"131131","1","111301"
"131141","1","111401"
"131151","1","111501"
"131161","1","111601"
"131171","1","111701"
"131191","1","111901"
"131201","1","112001"
"131211","1","112101"
"131221","1","112201"
"131231","1","112301"
"131241","1","112401"
"131251","1","112501"
"131261","1","112601"
"131271","1","112701"
"131281","1","112801"
"131291","1","112901"
"131301","1","113001"
"131311","1","113101"
"131321","1","113201"
"131331","1","113301"
"131341","1","113401"
"131351","1","113501"
"131361","1","113601"
"131371","1","113701"
"131381","1","113801"
"131391","1","113901"
"131401","1","114001"
"131411","1","114101"
"131421","1","114201"
"131431","1","114301"
"131441","1","114401"
"131451","1","114501"
"131461","1","114601"
"131471","1","114701"
"131181","1","111801"
"131501","1","115001"
"131551","1","115501"
"131561","1","115601"
"131571","1","115701"
"130641","1","106401"
"131581","1","115801"
"131591","1","115901"
"131601","1","116001"
"138021","1","180201"
"138041","1","180401"
"131621","1","116201"
"131631","1","116301"
"131651","1","116501"
"131661","1","116601"
"131671","1","116701"
"131681","1","116801"
"131691","1","116901"
"131701","1","117001"
"131711","1","117101"
"131721","1","117201"
"131731","1","117301"
"131741","1","117401"
"131751","1","117501"
"131761","1","117601"
"131801","1","118001"
"131771","1","117701"
"131781","1","117801"
"131791","1","117901"
"131901","1","119001"
"131911","1","119101"
"138011","1","180101"
"138061","1","180601"
"131921","1","119201"
"131931","1","119301"
"131991","1","119901"
"132071","1","120701"
"132081","1","120801"
"132091","1","120901"
"132101","1","121001"
"132111","1","121101"
"132121","1","121201"
"131641","1","116401"
"130681","1","106801"
"132131","1","121301"
"132141","1","121401"
"132151","1","121501"
"132161","1","121601"
"132191","1","121901"
"132201","1","122001"
"138031","1","180301"
"132211","1","122101"
"132221","1","122201"
"132231","1","122301"
"132241","1","122401"
"132251","1","122501"
"132261","1","122601"
"132271","1","122701"
"132281","1","122801"
"132291","1","122901"
"132311","1","123101"
"132321","1","123201"
"132331","1","123301"
"132351","1","123501"
"132361","1","123601"
"132371","1","123701"
"132381","1","123801"
"132391","1","123901"
"138051","1","180501"
"132401","1","124001"
"132411","1","124101"
"132421","1","124201"
"138071","1","180701"
"132451","1","124501"
"132461","1","124601"
"132471","1","124701"
"132481","1","124801"
"132491","1","124901"
"132501","1","125001"
"132001","1","120001"
"132511","1","125101"
"132521","1","125201"
"132531","1","125301"
"132541","1","125401"
"132581","1","125801"
"132551","1","125501"
"132561","1","125601"
"132571","1","125701"
"132621","1","126201"
"132631","1","126301"
"132661","1","126601"
"132671","1","126701"
"132681","1","126801"
"132691","1","126901"
"132701","1","127001"
"132711","1","127101"
"132721","1","127201"
"132731","1","127301"
"130772","2","107701"
"130792","2","107901"
"130802","2","108001"
"130162","2","101601"
"130602","2","106001"
"130812","2","108101"
"130822","2","108201"
"130832","2","108301"
"130332","2","103301"
"130582","2","105801"
"130842","2","108401"
"130852","2","108501"
"130862","2","108601"
"130902","2","109001"
"130912","2","109101"
"130492","2","104901"
"130112","2","101101"
"130952","2","109501"
"130962","2","109601"
"130132","2","101301"
"131072","2","110701"
"131002","2","110001"
"131012","2","110101"
"131032","2","110301"
"131042","2","110401"
"131052","2","110501"
"131062","2","110601"
"130252","2","102501"
