1064fabde90baaa93b05562d86f2d964af6c22cc96c6128e04aad2058585bc7a,ff6d6fb72689b38b2067239563beff7c09cf8701c529f295ade2357bf3803a95,b74bd3ce946ec72678876a914ab494a72f972e1beec3c470c1c5760ab2edcfeb,b1feb8db3ceb13d7ab7551700d6e607cba2f32876ead009c901687d08e8e53e2,75198add54f67d5d3b7effe005c003796c82a7c587b01ca8eb9690b35043b985
"1","1","135","300","1"
"2","1","425","-100","1"
"3","2","-100","125","1"
"4","2","375","-415","1"
"5","3","25","-50","1"
"6","3","-25","-300","1"
"7","4","-195","-335","1"
"8","4","105","-415","1"
"9","5","135","-160","1"
"10","6","345","-40","1"
"11","7","-230","90","1"
"12","8","230","-420","1"
"13","9","30","250","1"
"14","10","280","-245","1"
"15","11","-150","-110","1"
