302b1f9f04d2d5957a9722830869beb38d8e420c49abc0b8e06b59e811d12772,2b326c245e981fa1b6f350f60970d29cc5c7872157790c61373e65918c121e5a,1b2baf32ad0571cc876f72c077d758737ac862eb108a4f10425b7b6aaa935f7a,c4eb74fa5e1cd8fd5cc7ab653534369582ede45057ef343ecd93f0df0ec300b6
"1","9040001","11100","0"
"2","9050001","107101","5"
"3","9050001","108101","5"
"4","9050001","108301","5"
"5","9040002","11100","0"
"6","9040003","11100","0"
"7","9010001","91001","0"
"8","9020001","91001","0"
"9","9020001","91002","0"
"10","9040004","11101","0"
"11","9040005","11102","0"
