affb815f911213657aa6e3d4e796c223b84689f8f28512cf74b03fade511ab40,21b66738a956f2cd6c132d44a03ce2a8e5a12421730861b2eafe81bdac5967ff,1666b49b401e6da4c7824741460883d28f5c60863394f77542d248876e4f7d71,d4e0b1dc2591e8403a958bf801a418046a525ea3b3fa5a65a532f3c4f10c2061,f58b79340e1fffdff2de05cc94d7363f676e7d2433741bdd73c309ed168bbf83
"8","91002","1","100","30109001"
"2","20002","2","10","30109001"
"8","91002","3","100","30109002"
"12","94002","4","40000","30109002"
"8","91002","5","300","30109003"
"8","91002","6","500","30109004"
"8","91002","7","500","30109005"
"12","94002","8","1000000","30109005"
"8","91002","9","500","30109006"
"12","94002","10","500000","30109006"
"8","91002","11","600","30110001"
"12","94002","12","200000","30110006"
