51099894ecd2982536ed49557e41a67f03b82054752eaf05b4180632bb7f0d59,0a4c633d0f13d04e29cd8eb1262dfb21f19a5a46c3cd4bbec89c5677b2f57000,4bfef0779dae97ff8fb83142cbab62510943be7f06e5550b5722d12f955ad77d,f0e525480dd72061e4cd12f5171487761934c4c2bbfd49bb7df91795b443861f,461bb92b2f735a02948588e3f6bbfbc956a15b14312a2abfb21e47a7b23d6a86,d2dc12f25a01a7afa4d858b995c8130ac2c86875e41406daf3a6be4994f6ee09,7705e80487616a997ca850382e3d39367d81dbbcf83b85ec3485af36b22533c3
"Lost Princess","角色歌曲\n\n時間 / 01:33\n演唱　 / 貪吃佩可（M‧A‧O）\n　　　可可蘿（伊藤美来）\n　　　凱留（立花理香）\n作詞 / しほり\n作曲 / 田中公平\n編曲 / 根岸貴幸","bgm_M152","bgm_M152","01:33","00:58","1"
"Connecting Happy!!","角色歌曲\n\n時間 / 01:56\n演唱　 / 貪吃佩可（M‧A‧O）\n　　　可可蘿（伊藤美来）\n　　　凱留（立花理香）\n作詞 / 畑亜貴\n作曲 / 高尾奏之介（F.M.F）\n編曲 / 奈良悠樹","bgm_M153","bgm_M153","01:56","01:01","2"
"踏上旅程","主線冒險\n\n時間 / 01:48\n作曲 / 本田晃弘（Cygames）\n編曲 / 伊藤翼","bgm_M61","bgm_M61_juke","01:48","00:00","3"
"穿過森林的風","主線冒險\n\n時間 / 01:35\n作曲 / 本田晃弘（Cygames）\n編曲 / カワイヒデヒロ","bgm_M62","bgm_M62_juke","01:35","00:00","4"
"梅莎路提姆","戰隊競賽\n\n時間 / 01:18\n作曲 / 西木康智\n編曲 / 西木康智","bgm_M90","bgm_M90_juke","01:18","00:00","5"
"初音的禮物大作戰","故事劇情主題曲\n-「Smiley Contrast」編曲-\n\n時間 / 01:02\n作曲 / 渡部チェル\n編曲 / 加藤慶","bgm_M32","bgm_M32_juke","01:02","00:00","6"
"席茲","故事劇情頭目戰\n\n時間 / 02:34\n作曲 / 多田彰文\n編曲 / 多田彰文","bgm_M47","bgm_M47_juke","02:34","00:00","7"
"Smiley Contrast","角色歌曲\n\n時間 / 01:40\n演唱　 / 初音（大橋彩香）\n　　　栞（小清水亜美）\n作詞 / 磯谷佳江\n作曲 / 渡部チェル\n編曲 / 渡部チェル","bgm_M149","bgm_M149","01:40","00:57","8"
"牛頭怪","戰隊競賽\n\n時間 / 00:59\n作曲 / 東大路憲太\n編曲 / 東大路憲太","bgm_M97","bgm_M97_juke","00:59","00:00","9"
"小小甜心大冒險","故事劇情主題曲\n-「小小冒險」編曲-\n\n時間 / 01:00\n作曲 / 池田健仁\n編曲 / 西村真吾","bgm_M98","bgm_M98_juke","01:00","00:00","10"
