a4c21035d315b48e2d91a15203ffbbd46723c0415d0c27b08ca7ab311f133277,75156e2ebc7b3e85f90ed61bddbe2397203908048678d996ac0039c1cd54e316,fb5624807b3556b33aab52b24424de5fa9a0ae7a3712f96181ce47050b7be182,c7b3992aeae97c5343a1334b2842fb197b426ffa1cab2972eaa2616bc1693840,d157342906be49f5ea54e13600bc3baffca63d6b8cfd31b9000edbe1a2cce67d,e744166806b7756857b5c1817f425f7df7026bb2ed9795878e7b687ced090fc6
"vo_caravan_105801_start_001","1","1","vo_caravan","11101","1"
"vo_caravan_105801_start_002","1","1","vo_caravan","11102","1"
"vo_caravan_105901_start_001","2","1","vo_caravan","12101","1"
"vo_caravan_105901_start_002","2","1","vo_caravan","12102","1"
"vo_caravan_106001_start_001","3","1","vo_caravan","13101","1"
"vo_caravan_106001_start_002","3","1","vo_caravan","13102","1"
"vo_caravan_105801_dice_001","1","2","vo_caravan","21101","1"
"vo_caravan_105801_dice_002","1","2","vo_caravan","21102","1"
"vo_caravan_105901_dice_001","2","2","vo_caravan","22101","1"
"vo_caravan_105901_dice_002","2","2","vo_caravan","22102","1"
"vo_caravan_106001_dice_001","3","2","vo_caravan","23101","1"
"vo_caravan_106001_dice_002","3","2","vo_caravan","23102","1"
"vo_caravan_105801_slot_001","1","3","vo_caravan","31101","1"
"vo_caravan_105901_slot_001","2","3","vo_caravan","32101","1"
"vo_caravan_106001_slot_001","3","3","vo_caravan","33101","1"
"vo_caravan_105801_dish_001","1","4","vo_caravan","41101","1"
"vo_caravan_105801_dish_002","1","4","vo_caravan","41102","1"
"vo_caravan_105901_dish_001","2","4","vo_caravan","42101","1"
"vo_caravan_105901_dish_002","2","4","vo_caravan","42102","1"
"se_caravan_food_peko","1","4","se_caravan","42201","2"
"se_caravan_food_coccoro","2","4","se_caravan","42202","2"
"se_caravan_food_kyaru","3","4","se_caravan","42203","2"
"se_caravan_food_onigiri","100","4","se_caravan","42205","2"
"vo_caravan_106001_dish_001","3","4","vo_caravan","43101","1"
"vo_caravan_106001_dish_002","3","4","vo_caravan","43102","1"
"vo_caravan_onigiri_dish_001","100","4","vo_caravan","45101","1"
"vo_caravan_105801_goal_001","0","6","vo_caravan","61101","1"
"vo_caravan_105801_win_001","0","61","vo_caravan","61201","1"
"vo_caravan_105801_lose_001","0","62","vo_caravan","61301","1"
"vo_caravan_105901_goal_001","0","6","vo_caravan","62101","1"
"vo_caravan_105901_win_001","0","61","vo_caravan","62201","1"
"vo_caravan_105901_lose_001","0","62","vo_caravan","62301","1"
"vo_caravan_106001_goal_001","0","6","vo_caravan","63101","1"
"vo_caravan_106001_win_001","0","61","vo_caravan","63201","1"
"vo_caravan_106001_lose_001","0","62","vo_caravan","63301","1"
"vo_caravan_118501_goal_001","0","6","vo_caravan","64101","1"
"vo_caravan_105801_appraise_001","0","7","vo_caravan","71101","1"
"vo_caravan_105901_appraise_001","0","7","vo_caravan","72101","1"
"vo_caravan_106001_appraise_001","0","7","vo_caravan","73101","1"
"vo_caravan_105801_result_001","0","8","vo_caravan","81101","1"
"vo_caravan_105901_result_001","0","8","vo_caravan","82101","1"
"vo_caravan_106001_result_001","0","8","vo_caravan","83101","1"
"vo_caravan_319700_dice_001","11","2","vo_caravan","211101","1"
"vo_caravan_319700_dice_002","11","2","vo_caravan","211102","1"
"vo_caravan_319800_dice_001","12","2","vo_caravan","212101","1"
"vo_caravan_319800_dice_002","12","2","vo_caravan","212102","1"
"vo_caravan_319900_dice_001","13","2","vo_caravan","213101","1"
"vo_caravan_319900_dice_002","13","2","vo_caravan","213102","1"
