1da543f715b151f597be375a9fed3f74b579ee4a31bb5285ea390b200e2ee94d,80e1ef3ea5bf8616b9294d4ccf1c23ff7c34ea242d219bec4b842d73b92dc4b3,ec6b9d3f7dd0f32ad1574e4ca877e338c9e062f8dbe657f6edd62dc57f48e9c8,5ea2ab1e53152ab5a2904962d5ece1c1fc609e22e7d50015384c757bdd72c278,4b2237032e88becd3b9eb1c102dcdcbcdd32f477a6b8501782401a4503d10eae,5a8f705173f8afd57f975b7ef0d1ded04cf7a9dd5b95368f0e4cb16edf38d3eb,4d46a6bf4f85b669c55a00756241534e5dd850007b1b5a61fbcd088ad0a87bb1,041c3845be4aac8ab7ae8e1ac823059bb8632bcf6d22d24bea6ff6308e2ae141,859c5bda9e902eb409b6391dc48b0039d46bd35afe623ab96b40da7129b09559,b6b2b9c83175af20424a1e64bd6a1b107cd52d5adcf82a30a7418478fa5c64e3,829dfbc9b0efce1016360f16f623299f36a04435c1a946f6ea36df8a88c37ba0
"1","1","-421","101","11010001","110931","nyx_idle_normal","1.35","110","0","-209.3"
"1","1","121.8","101","11010002","104831","nyx_idle_normal","1.35","110","0","-182.5"
"1","1","227.7","101","11010003","104631","nyx_idle_normal","1.35","110","0","-182.5"
"1","1","340.3","101","11010004","103231","nyx_talk_normal","1.35","110","1","-182.5"
"1","1","449.6","101","11010005","103431","nyx_idle_normal","1.35","110","1","-182.5"
"2","5","-421","101","11010006","2","NoItem","1.35","120","0","-209.3"
"1","31","0","101","11010007","1","","1","0","","1"
"15","31","0","101","11010008","3","","0","-300","","1"
"15","31","0","101","11010009","4","","0","-300","","1.5"
"bgm_M347","25","","101","11010010","bgm_M347","","","","",""
"2","93","","101","11010011","","","","","",""
"2","3","nyx_101_chieru_loop","101","11010012","nyx_101_chieru_01","","0.2","0","","1"
"110931","3","nyx_101_chieru_loop","101","11010013","nyx_101_chieru_01","","0.2","0","","1"
"110931","11","","101","11010014","切嚕～♪\n一開始總而言之\n要有衝擊性！","","","10","",""
"0.4","93","","101","11010015","","","","","",""
"3","32","","101","11010016","0","","","","",""
"3","32","","101","11010017","1","","","","",""
"11010014","91","","101","11010018","","","","","",""
"110931","11","","101","11010019","我要當個用強而有力\n的第一聲切嚕緊抓住\n評審員的心的孩子","","","10","",""
"1","93","","101","11010020","","","","","",""
"103231","3","","101","11010021","nyx_idle_joy1","","0.2","1","",""
"104631","3","","101","11010022","nyx_cmn_05","","0.2","1","",""
"11010019","91","","101","11010023","","","","","",""
"2","3","nyx_101_chieru_loop","101","11010024","nyx_101_chieru_01","","0.2","0","","1"
"110931","3","nyx_101_chieru_loop","101","11010025","nyx_101_chieru_01","","0.2","0","","1"
"110931","11","","101","11010026","切嚕～♪\n不對，還可以更好……\n切～☆嚕～！","","","7","",""
"0.4","93","","101","11010027","","","","","",""
"3","32","","101","11010028","0","","","","",""
"3","32","","101","11010029","1","","","","",""
"0.6","93","","101","11010030","","","","","",""
"103431","3","","101","11010031","nyx_talk_bitter","","0.2","1","",""
"104631","3","","101","11010032","nyx_cmn_04","","0.2","1","",""
"2","93","","101","11010033","","","","","",""
"2","3","nyx_101_chieru_loop","101","11010034","nyx_101_chieru_02","","0.2","0","","1"
"110931","3","nyx_101_chieru_loop","101","11010035","nyx_101_chieru_02","","0.2","0","","1"
"0.4","93","","101","11010036","","","","","",""
"3","32","","101","11010037","0","","","","",""
"4","32","","101","11010038","1","","","","",""
"11010026","91","","101","11010039","","","","","",""
"103431","3","","101","11010040","nyx_idle_bitter","","0.2","1","",""
"104831","3","","101","11010041","nyx_talk_sad","","0.2","1","",""
"104831","11","","101","11010042","吶，那個……\n妳們有沒有聽到\n走廊傳來的聲音？","","","10","",""
"0","91","","101","11010043","","","","","",""
"110931","4","","101","11010044","1","","","","",""
