2b6a4a6b86302c7aa1533ff8e237f8c9a0022cee99230d2ee383e7f23f312844,05053cf633b9f08abddc66ea254bce47fd29bb41d349b306a5ca890cf5418829,0fc36fbe233f22c41c2f4eb4a75db12725539b779688199de5ecec76a7492bb0,1279ddb9ffdf21dbd516b886b697cfbcac03d2388c4d5ec7efa6610976c86ec4,cddd665059bbf67ebc3a98fa5e7cafb51d9fc71dad63a06cf3395dab5889859e,c57401bdfa03433746c03fab481a57c5ca99750fd5f6fbc1967b068b791d7aac,126786dcb97d7c9d8ff63d16e523eb3f35f9ec3abb99a6d63d9bc4c562d8a8b7,4a915e74a60ef1556c9b7f97033d09e7f33e3dc924bd3c504498259d6b73bc6b,c6d10e0e2026d1427a74e168466b4ea4a206488de975158fdb6ef00e9ae169c4,de66a4595defe065ee397db8477c4456290aa7a07e05627abe493383aa0b2799,3b0ad5b9d274b3670ca92cede361b6462916ff0f86940bb4b32ce2aff926ded4,75e7c1e8735b1c2d50d3a9c84ff12d5da2f165997f13ac26fd36de89ef972dd2
"11000000","可從全目標角色中選擇1位成為夥伴。","0","0","99999999","1","0","0","1","0","0","全目標的自選印記"
"11000999","可從公主祭典的角色中選擇1位成為夥伴。","0","0","3600","1","0","999","1","0","0","公主祭典的自選印記"
"11001000","可從攻擊者職階的角色中選擇1位成為夥伴。","0","1","2800","1","0","0","1","0","0","攻擊者職階的自選印記"
"11002000","可從破防者職階的角色中選擇1位成為夥伴。","0","2","2800","1","0","0","1","0","0","破防者職階的自選印記"
"11003000","可從增益者職階的角色中選擇1位成為夥伴。","0","3","2800","1","0","0","1","0","0","增益者職階的自選印記"
"11004000","可從減益者職階的角色中選擇1位成為夥伴。","0","4","2800","1","0","0","1","0","0","減益者職階的自選印記"
"11005000","可從增幅者職階的角色中選擇1位成為夥伴。","0","5","2800","1","0","0","1","0","0","增幅者職階的自選印記"
"11006000","可從治療者職階的角色中選擇1位成為夥伴。","0","6","2800","1","0","0","1","0","0","治療者職階的自選印記"
"11007000","可從掩護者職階的角色中選擇1位成為夥伴。","0","7","2800","1","0","0","1","0","0","掩護者職階的自選印記"
"11008000","可從妨礙者職階的角色中選擇1位成為夥伴。","0","8","2800","1","0","0","1","0","0","妨礙者職階的自選印記"
"13000001","可從【美食殿堂】的角色中選擇3位成為夥伴。","0","0","99999999","3","1","0","1","0","1","【美食殿堂】的自選印記"
"13000002","可從【破曉之星】的角色中選擇3位成為夥伴。","0","0","99999999","3","1","0","1","0","2","【破曉之星】的自選印記"
"13000003","可從【拉比林斯】的角色中選擇3位成為夥伴。","0","0","99999999","3","1","0","1","0","3","【拉比林斯】的自選印記"
"13000004","可從【慈樂之音】的角色中選擇3位成為夥伴。","0","0","99999999","3","1","0","1","0","4","【慈樂之音】的自選印記"
"13000007","可從【惡魔偽王國軍】的角色中選擇3位成為夥伴。","0","0","99999999","3","1","0","1","0","7","【惡魔偽王國軍】的自選印記"
"13000008","可從【王宮騎士團】的角色中選擇3位成為夥伴。","0","0","99999999","3","1","0","1","0","8","【王宮騎士團】的自選印記"
"13000009","可從【咲戀育幼院】的角色中選擇3位成為夥伴。","0","0","99999999","3","1","0","1","0","9","【咲戀育幼院】的自選印記"
"13000011","可從【伊麗莎白牧場】的角色中選擇3位成為夥伴。","0","0","99999999","3","1","0","1","0","11","【伊麗莎白牧場】的自選印記"
"13000012","可從【墨丘利財團】的角色中選擇3位成為夥伴。","0","0","99999999","3","1","0","1","0","12","【墨丘利財團】的自選印記"
"13000013","可從【暮光流星群】的角色中選擇3位成為夥伴。","0","0","99999999","3","1","0","1","0","13","【暮光流星群】的自選印記"
"21000000","","0","0","99999999","1","0","0","2","0","0","戰鬥獎勵隨機印記"
"31000000","可從全目標角色中隨機獲得1位夥伴。","0","0","99999999","1","0","0","3","0","0","全目標的隨機印記"
"31000999","可從公主祭典的角色中隨機獲得1位夥伴。","0","0","1800","1","0","999","3","0","0","公主祭典的隨機印記"
"31001000","可從攻擊者職階的角色中隨機獲得1位夥伴。","0","1","1200","1","0","0","3","0","0","攻擊者職階的隨機印記"
"31002000","可從破防者職階的角色中隨機獲得1位夥伴。","0","2","1200","1","0","0","3","0","0","破防者職階的隨機印記"
"31003000","可從增益者職階的角色中隨機獲得1位夥伴。","0","3","1200","1","0","0","3","0","0","增益者職階的隨機印記"
"31004000","可從減益者職階的角色中隨機獲得1位夥伴。","0","4","1200","1","0","0","3","0","0","減益者職階的隨機印記"
"31005000","可從增幅者職階的角色中隨機獲得1位夥伴。","0","5","1200","1","0","0","3","0","0","增幅者職階的隨機印記"
"31006000","可從治療者職階的角色中隨機獲得1位夥伴。","0","6","1200","1","0","0","3","0","0","治療者職階的隨機印記"
"31007000","可從掩護者職階的角色中隨機獲得1位夥伴。","0","7","1200","1","0","0","3","0","0","掩護者職階的隨機印記"
