48f7e9116d3d868b06def2d1eccb5e28b51dbf1e1b1c528604db97311da7781f,e2c38e3fa53bfecbd948c11fdb160e70001b31af216d5b6f5637de97c8dc3b58,7d5546a6b6ceb114e13a788ceebac041786883779bc72c5ef902dd6dc45228c4,cef68e8d642722de602bf11080f87bb0254db1310a6541c55b8fe6bb6040d5a0,3d32a8dc15bdbc2ee4c529076cfad83b831e07960fa3347a2f9f94d505ff9f95,7fb220a60f1c5522869d248ae1ad6dcb680765730419bd0008108210c77b32f0,2988a7116e9303b83ec09f1ec8b5dcc6793258eea66e477e75192ea6253a1fa8,f2bc8ec5bd0724671fcc80a37c319282cbda58dd98bd2d335e4757a0ad98bf2a,a25ebe340079243b91af5d527e07a8261163743c7d59250ea9280dec6a255349,d98b512a2cfaf5f965455115787fd0118f8863044b24b6f2917f3e6a3c55ab45,50938701e1334700afcc48a4251db30d90111fb1ebfc1f90d8323f655b386b0a,2b0612d9d053d02afc9f210c7333fb5a1deccccac9e5720c195687dbc4d717fa,73bc36878235317d12770408b008c00b9a38d4c07ba6664a0241d1f98057de08,6d3de20fed0c9e97a84da3be87d8b65354b76bc76dec00586a3351e28313a0b5
"7","0","100","10142","100","10.85","2024/08/01 16:00:00","0","惠理子","1","2030/12/17 14:59:59","24","恭喜你們，訓練成功。\n在該誇獎時，好好地誇獎，\n也是教官的職責。還是說，\n你們比較喜歡被痛罵呢？嘻嘻。","129901"
"2","0","101","10142","101","11.15","2024/08/01 16:00:00","0","惠理子","1","2030/12/17 14:59:59","24","就算是嚴苛的訓練，結束後回顧，\n還是會覺得時光稍縱即逝呢。\n坦白說，我甚至鬧得不夠盡興……\n沒事，沒什麼。嘻嘻。","129901"
"5","0","102","10142","102","6.4","2024/08/01 16:00:00","0","惠理子","7","2030/12/17 14:59:59","24","將擋住去路的可恨礙事者全部擊垮，\n漂亮地抵達終點……！\n簡直就是象徵我與那位大人的\n人生路途……","129901"
"3","0","103","10142","103","0","2024/08/01 16:00:00","0","惠理子","3","2030/12/17 14:59:59","24","這結果太令人失望了。\n但是，還有挽回的機會。\n為了擺脫垃圾蟲的地位，\n你們下次要拚死努力。聽到了嗎？","129901"
"8","0","104","10142","104","2.43","2024/08/01 16:00:00","0","惠理子","2","2030/12/17 14:59:59","24","嘻嘻……啊，您毋須擔心，\n我只是在思考要給予\n留下這種難看成績的傢伙們\n什麼樣的處罰才適合……嘻嘻嘻。","129901"
"3","0","105","10142","105","9.08","2024/08/01 16:00:00","0","惠理子","4","2030/12/17 14:59:59","24","要是我沒能以教官的身分得到認可，\n就會讓那位大人感到失望……\n唯獨這件事絕對不能發生，\n你們也很清楚吧？","129901"
"6","0","106","10142","106","0","2024/08/01 16:00:00","0","惠理子","6","2030/12/17 14:59:59","24","雖然這結果不算差，\n但要是這點程度就感到滿足，\n那可傷腦筋了。身為惠理子班的一員，\n你們還得以更高的境界為目標才行。","129901"
"8","0","107","10142","107","10.6","2024/08/01 16:00:00","0","惠理子","3","2030/12/17 14:59:59","24","接受我的指導，卻交出這種結果……\n我得更認真思考才行呢。\n思考如要讓你們時刻不敢懈怠，\n需要什麼樣的管教……嘻嘻。","129901"
"4","0","108","10142","108","7.54","2024/08/01 16:00:00","0","惠理子","6","2030/12/17 14:59:59","24","要因完成訓練而獎勵，\n還是因沒能完全發揮實力而懲罰……\n這樣的結果該如何處置各位，\n讓我有些傷腦筋呢。","129901"
"7","0","109","10142","109","11.5","2024/08/01 16:00:00","0","惠理子","2","2030/12/17 14:59:59","24","剛才的奮戰英姿值得誇讚。\n這也是你們的努力，\n與我這位優秀教官的教育結果。\n是吧？嘻嘻嘻……","129901"
"1","0","110","10142","110","8.83","2024/08/01 16:00:00","0","惠理子","2","2030/12/17 14:59:59","24","能夠一路挺進到此地，你們及格了。\n不過要是想以更高的境界為目標……\n我就陪你們進行\n更進一步的訓練吧。","129901"
"2","0","111","10142","111","6.68","2024/08/01 16:00:00","0","惠理子","1","2030/12/17 14:59:59","24","曾不成氣候又不靠譜的你們，\n已經有了令人刮目相看的成長。\n原來如此……這份心情，\n就是身為教官的榮幸吧。","129901"
"2","0","112","10142","112","8.8","2024/08/01 16:00:00","0","惠理子","6","2030/12/17 14:59:59","24","沒想到你們能發揮出\n遠超我所預期的力量……真令人吃驚。\n你們已經不是垃圾蟲了，\n作為獨當一面的騎士，引以為傲吧。","129901"
