100968a720be9ed38d52d978871b1ad00dd15d24732a71bd58615f05e2400c26,cd13bde8a9cfe39fd6e61053c539a585c8174ebad74f911692963ed328fcc707,f5e6b209c43c67b6b45f4e49b9500c42fb69aeb7e03519574d5aa7d7afa6eed5,7a19db8afad87a0e4cc107e42b697629142cee76b29bb9a43e46c23c3b9bc676,55123b125372bd7c7c80cb42f4dd438481ac582886d186e16281d242fa2bb1b1,99c02525eb4e62cf8d39da81ca6470d553af57fe7d270cf158905af944e43dcc,57350195adc3f3e215fb89d3908bfdd23f3e1d3cca520feb851f51fbdf79d895,fff09555d4f9893522104f3327c0693e08139aa80895af7a257a929265858018,96f5875a6336f223cc248d28454f36f5efdf8fbe7f6818b835d9de39e133491a,5045484b10b17bae432486e2ed6d78fce7f31ea4c12ad34590ce53862ee83d45
"0","","1010001","vo_10011600_0101","2","0","1","1","0","vo_10011600"
"0","　從明天開始","1010002","0","1","8","2","1","0","0"
"1.625","","1010003","0","4","0","3","1","1","0"
"0","就要入學聖德蕾莎女學院了！","1010004","0","1","10","4","1","0","0"
"4","","1010005","0","4","0","5","1","1","0"
"0","","1010006","vo_10011600_0102","2","0","6","1","0","vo_10011600"
"0","　為什麼","1010007","0","1","8","7","1","0","0"
"1.375","","1010008","0","4","0","8","1","1","0"
"0","事情會變成這個樣子呢？\n","1010009","0","1","9","9","1","0","0"
"3.33333333333333","","1010010","0","4","0","10","1","1","0"
"0","","1010011","vo_10011600_0103","2","0","11","1","0","vo_10011600"
"0","雖然美里老師","1010012","0","1","8","12","1","0","0"
"1.75","","1010013","0","4","0","13","1","1","0"
"0","說我一定沒問題的……","1010014","0","1","10","14","1","0","0"
"3","","1010015","0","4","0","15","1","1","0"
"0","但是我一定辦不到啊～！\n","1010016","0","1","8","16","1","0","0"
"3.875","","1010017","0","4","0","17","1","1","0"
"0","","1010018","vo_10011600_0104","2","0","18","1","0","vo_10011600"
"0","可是。","1010019","0","1","8","19","1","0","0"
"2.375","","1010020","0","4","0","20","1","1","0"
"0","可是……","1010021","0","1","8","21","1","0","0"
"2.5","","1010022","0","4","0","22","1","1","0"
"0","","1010023","vo_10011600_0105","2","0","23","1","0","vo_10011600"
"0","可是、","1010024","0","1","8","24","1","0","0"
"1.375","","1010025","0","4","0","25","1","1","0"
"0","如果、","1010026","0","1","8","26","1","0","0"
"1.5","","1010027","0","4","0","27","1","1","0"
"0","我可以在聖德蕾莎女學院好好努力。\n\n","1010028","0","1","8","28","1","0","0"
"4.875","","1010029","0","4","0","29","1","1","0"
"0","","1010030","vo_10011600_0106","2","0","30","1","0","vo_10011600"
"0","……是不是就能","1010031","0","1","6","31","1","0","0"
"1.58333333333333","","1010032","0","4","0","32","1","1","0"
"0","交到朋友呢？","1010033","0","1","8","33","1","0","0"
"1.75","","1010034","0","4","0","34","1","1","0"
