2c7af940e855714c5549fdac7f3f1d39975953c2a18a71e089a831e483af7252,afd54bc32483f486bb5a647b2a30200a1b673cd8cce4790e2c5502cf7da07718,54e89759ec64e4b77167c1e641366cc255df3219d000a9dccbb998c69ee13570,2deb0221ad6ccd4a9411397b8303b53c41fb85020a98d8434fec4bd7231d6e7f,a110b43272b210eea3fd0ae7f64e19b371b47a890ec7c806c8c3a6469789f860,2c8aeb95712d56d5309f4f71c6553437bc2133781051dc8ce1e45506aca1c165,b3e526ecf62f9aa93af0aa8eae1e20bd83ac11c03eafbad2c29efe48e1ec9a32,b6cc943b937bf6514cecbe7b21f1d89bead9e1724681ae29cfecdbb9a7d49c05,fd21222d5f99f38755e7926b461275d55f2dd0431d21d78e2877104d1f840a4c,a33464937aa91e18adf99a4d2f77d905b2ff8aee95c7bf7335b731d38418806a,7e5815999f499db9fb25f843a1443b90a94f95cae8276fb1df3ac356318e7432,2d70db5b7eedae08294bbc06200e6cf0a4b932222ade1af041cfd1270b21e4c6,40a93cbe9cc104932ea4577f7a28af75fd62dc635258c5956cb7f2b43c506903,e603e2919f7a8c0739921d60f4882e2bbfc1d4c9eee303b47c3967a61ec81b4f,ceb886868a1bae969f15473cf28a31250910ed61739a9e9e70e131676ffc0a2e
"3200101","2015/04/01 15:00:00","0","0","603","0","1004110","32001001","登頂1次特殊地下城","2030/04/01 14:59:59","80001","32001","1","1","1st Round Clear！"
"3200102","2015/04/01 15:00:00","0","0","603","0","1004110","32001002","登頂2次特殊地下城","2030/04/01 14:59:59","80001","32001","2","1","2nd Round Clear！"
"3200103","2015/04/01 15:00:00","0","0","603","0","1004110","32001003","登頂3次特殊地下城","2030/04/01 14:59:59","80001","32001","3","1","3rd Round Clear！"
"3200104","2015/04/01 15:00:00","0","0","603","0","1004110","32001004","登頂4次特殊地下城","2030/04/01 14:59:59","80001","32001","4","1","4th Round Clear！"
"3200105","2015/04/01 15:00:00","0","0","603","0","1004110","32001005","登頂5次特殊地下城","2030/04/01 14:59:59","80001","32001","5","1","CONQUEST！"
"3200201","2015/04/01 15:00:00","0","0","603","0","1004110","32001001","登頂1次特殊地下城","2030/04/01 14:59:59","80001","32002","1","1","1st Round Clear！"
"3200202","2015/04/01 15:00:00","0","0","603","0","1004110","32001002","登頂2次特殊地下城","2030/04/01 14:59:59","80001","32002","2","1","2nd Round Clear！"
"3200203","2015/04/01 15:00:00","0","0","603","0","1004110","32001003","登頂3次特殊地下城","2030/04/01 14:59:59","80001","32002","3","1","3rd Round Clear！"
"3200204","2015/04/01 15:00:00","0","0","603","0","1004110","32001004","登頂4次特殊地下城","2030/04/01 14:59:59","80001","32002","4","1","4th Round Clear！"
"3200205","2015/04/01 15:00:00","0","0","603","0","1004110","32001005","登頂5次特殊地下城","2030/04/01 14:59:59","80001","32002","5","1","CONQUEST！"
"3200301","2015/04/01 15:00:00","0","0","603","0","1004110","32001001","登頂1次特殊地下城","2030/04/01 14:59:59","80001","32003","1","1","1st Round Clear！"
"3200302","2015/04/01 15:00:00","0","0","603","0","1004110","32001002","登頂2次特殊地下城","2030/04/01 14:59:59","80001","32003","2","1","2nd Round Clear！"
"3200303","2015/04/01 15:00:00","0","0","603","0","1004110","32001003","登頂3次特殊地下城","2030/04/01 14:59:59","80001","32003","3","1","3rd Round Clear！"
"3200304","2015/04/01 15:00:00","0","0","603","0","1004110","32001004","登頂4次特殊地下城","2030/04/01 14:59:59","80001","32003","4","1","4th Round Clear！"
