743bb82ffdd98d6efb48d8fda9c07c8b7d439bcd0156b66c341c647e1d9aa16a,0d98893efb29a936507ed304b67963626640162cb7592dd30caa96e0e3231dde,f93c2c8f71866aa8af73ffb8dcc10b417ae95c5231008553bb3d8de687b481f1,b76451269a12d9aa6c864e0de3acc83553ff03e4646dc09b6cad02a5b924c50f,4aecc85d7f976edf5136cd86989bfac1616e805ec1b317cd104f8690c7f29de2,d193d16f0930bfa904d108754dcd27ec3e58ab717fba3be03131ec65488036eb,e676769ce9d9ba76957089f12cff51f04808e4fc7e2d9fb3fbda5b56757a1d53
"924070100","924070105","924070101","924070103","924070102","924070104","2407001"
"924070200","924070205","924070201","924070203","924070202","924070204","2407002"
"924070300","924070305","924070301","924070303","924070302","924070304","2407003"
"924071100","0","924071101","0","0","0","2407004"
"924071200","0","924071201","0","0","0","2407005"
"924071300","0","924071301","0","0","0","2407006"
"924071400","0","924071401","0","0","0","2407007"
"924072100","0","924072101","0","0","0","2407008"
"924072200","0","924072201","0","0","0","2407009"
"924072300","0","924072301","0","0","0","2407010"
"924072400","0","924072401","0","0","0","2407011"
"924073100","0","924073101","0","0","0","2407012"
"924073200","0","924073201","0","0","0","2407013"
"924073300","0","924073301","0","0","0","2407014"
"924073400","0","924073401","0","0","0","2407015"
"924080100","924080105","924080101","924080103","924080102","924080104","2408001"
"924080200","924080205","924080201","924080203","924080202","924080204","2408002"
"924080300","924080305","924080301","924080303","924080302","924080304","2408003"
"924081100","0","924081101","0","0","0","2408004"
"924081200","0","924081201","0","0","0","2408005"
"924081300","0","924081301","0","0","0","2408006"
"924081400","0","924081401","0","0","0","2408007"
"924082100","0","924082101","0","0","0","2408008"
"924082200","0","924082201","0","0","0","2408009"
"924082300","0","924082301","0","0","0","2408010"
"924082400","0","924082401","0","0","0","2408011"
"924083100","0","924083101","0","0","0","2408012"
"924083200","0","924083201","0","0","0","2408013"
"924083300","0","924083301","0","0","0","2408014"
"924083400","0","924083401","0","0","0","2408015"
"924090100","924090105","924090101","924090103","924090102","924090104","2409001"
"924090200","924090205","924090201","924090203","924090202","924090204","2409002"
"924090300","924090305","924090301","924090303","924090302","924090304","2409003"
"924091100","0","924091101","0","0","0","2409004"
"924091200","0","924091201","0","0","0","2409005"
"924091300","0","924091301","0","0","0","2409006"
"924091400","0","924091401","0","0","0","2409007"
"924092100","0","924092101","0","0","0","2409008"
"924092200","0","924092201","0","0","0","2409009"
"924092300","0","924092301","0","0","0","2409010"
"924092400","0","924092401","0","0","0","2409011"
"924093100","0","924093101","0","0","0","2409012"
"924093200","0","924093201","0","0","0","2409013"
"924093300","0","924093301","0","0","0","2409014"
"924093400","0","924093401","0","0","0","2409015"
"924100100","924100105","924100101","924100103","924100102","924100104","2410001"
"924100200","924100205","924100201","924100203","924100202","924100204","2410002"
"924100300","924100305","924100301","924100303","924100302","924100304","2410003"
"924101100","0","924101101","0","0","0","2410004"
"924101200","0","924101201","0","0","0","2410005"
"924101300","0","924101301","0","0","0","2410006"
"924101400","0","924101401","0","0","0","2410007"
"924102100","0","924102101","0","0","0","2410008"
"924102200","0","924102201","0","0","0","2410009"
"924102300","0","924102301","0","0","0","2410010"
"924102400","0","924102401","0","0","0","2410011"
"924103100","0","924103101","0","0","0","2410012"
"924103200","0","924103201","0","0","0","2410013"
"924103300","0","924103301","0","0","0","2410014"
"924103400","0","924103401","0","0","0","2410015"
"924110100","924110105","924110101","924110103","924110102","924110104","2411001"
"924110200","924110205","924110201","924110203","924110202","924110204","2411002"
"924110300","924110305","924110301","924110303","924110302","924110304","2411003"
"924111100","0","924111101","0","0","0","2411004"
"924111200","0","924111201","0","0","0","2411005"
"924111300","0","924111301","0","0","0","2411006"
"924111400","0","924111401","0","0","0","2411007"
"924112100","0","924112101","0","0","0","2411008"
"924112200","0","924112201","0","0","0","2411009"
"924112300","0","924112301","0","0","0","2411010"
"924112400","0","924112401","0","0","0","2411011"
"924113100","0","924113101","0","0","0","2411012"
"924113200","0","924113201","0","0","0","2411013"
"924113300","0","924113301","0","0","0","2411014"
"924113400","0","924113401","0","0","0","2411015"
