e3af6fbac82780bcd5e61a024ac7f998b7eb26d03ab4d60f8c13a5e131776700,1e8bd16c27013e90898560a59468fcf8bd1fc786619f5d33ef897c3489f31a06,9354ffdab610b4f31ef0c9371ea056bf003815ab8557ec1d3c26f9060c98f06a,21f5c042b16b86424cc67a0de5fead4a723f725a2abd1b6cedbb6f22c67a8d83,a469f43a837b65f20c24348cf1ab6a5b7359bd138d722a6f6c8421c4026ec4c4,55b5b7e255d18105ab591643cce9d9968c3777149feaff51aa0722440ab60d5a,7a81be9117e677ee950f50e25bf2b75d107d4e24627b42d9de8412b13db0b417,fc0d35957b43c66c37b237ed2a1f40476771164d67d9c69271dc1cdf78a892cb
"110001","111","0","1","完成石像鬼（EASY）","70000","90110001","110001"
"110002","112","0","1","完成石像鬼（NORMAL）","70000","90110002","110001"
"110003","113","0","1","完成石像鬼（HARD）","70000","90110003","110001"
"110004","114","0","1","完成石像鬼（VERY HARD）","70000","90110004","110001"
"110005","115","0","1","完成石像鬼（EXTREME）","70000","90110005","110001"
"120001","121","0","1","完成法師石像鬼（EASY）","70000","90120001","110001"
"120002","122","0","1","完成法師石像鬼（NORMAL）","70000","90120002","110001"
"120003","123","0","1","完成法師石像鬼（HARD）","70000","90120003","110001"
"120004","124","0","1","完成法師石像鬼（VERY HARD）","70000","90120004","110001"
"120005","125","0","1","完成法師石像鬼（EXTREME）","70000","90120005","110001"
"130001","131","0","1","完成守衛石像鬼（EASY）","70000","90130001","110001"
"130002","132","0","1","完成守衛石像鬼（NORMAL）","70000","90130002","110001"
"130003","133","0","1","完成守衛石像鬼（HARD）","70000","90130003","110001"
"130004","134","0","1","完成守衛石像鬼（VERY HARD）","70000","90130004","110001"
"130005","135","0","1","完成守衛石像鬼（EXTREME）","70000","90130005","110001"
"140001","141","0","1","完成石像鬼‧炸裂（EASY）","70000","90140001","110001"
"140002","142","0","1","完成石像鬼‧炸裂（NORMAL）","70000","90140002","110001"
"140003","143","0","1","完成石像鬼‧炸裂（HARD）","70000","90140003","110001"
"140004","144","0","1","完成石像鬼‧炸裂（VERY HARD）","70000","90140004","110001"
"140005","145","0","1","完成石像鬼‧炸裂（EXTREME）","70000","90140005","110001"
"150001","151","0","1","完成石像鬼‧魔幻（EASY）","70000","90150001","110001"
"150002","152","0","1","完成石像鬼‧魔幻（NORMAL）","70000","90150002","110001"
"150003","153","0","1","完成石像鬼‧魔幻（HARD）","70000","90150003","110001"
"150004","154","0","1","完成石像鬼‧魔幻（VERY HARD）","70000","90150004","110001"
"150005","155","0","1","完成石像鬼‧魔幻（EXTREME）","70000","90150005","110001"
