cc16f76a4da2eeb98714bf7d5929e1b0d9dd9c0377165311e171d831b34ca924,a13b8f0baa47314ecd68e81d3fc4cfc0be62b778773bdb70984fc4dcaf09dfb2,9eea74f5e28ba76bf9c0e1b2edf305b2b88cc3b0feb5b09ccc19b54a9719b8a6,be4191f8e0722cfe7727f0829125d1813c1d73545e07141ad759b979504ad720,dedfdf4235d19a9ec63baeab3bc69727b8c5486eff88d6cc00d1bb9e31281435,535b6620ceb964968edddc515498e7a60e7e61e527b61d675f332cc15a497191,7552ac9ad0fe313de14c6dba753773e32d8076033e54ce3f27f296f5a1ad63cd,22ffc1788db675160dcd79b6742f73e59cc8067e8e34169fd7c055e406fdc51f,3336c5c3082b46fc88c88214429ece6ff6dabefcd1d81a4c87fbb86200bd97c6,fbefe347bb15138c03f6a0a6b12abfda9d37eb12790c429cd18eb8e080b4e402,95e1705bcd5aed8ef49617637d9f54b4200f421b16c72f7006bc7ef06cf5376b,4d1cb3f304c8ee87f4f812df11cb4ed5c99c6244018a15b53f1203bb793093ca,9b8e08390db333940df9a5671ce7e5e442d2b5ea8699742f70777019af6ed17b,3f605d27500ef27c3cadcf90f67d5d27e535652f3ee20a66d5a24e14ec67d28d
"190801","2018/01/31 12:00:00","2030/01/01 14:59:59","1","1","-416.5","53","2","花凜","0","53003","0","如果完成任務的話，\n就能夠獲得獎勵哦！\n請加油吧","3.414"
"190801","2018/01/31 12:00:00","2030/01/01 14:59:59","2","1","-416.5","53","2","花凜","0","53004","0","將任務完成，\n並獲得獎勵吧！","3.099"
"190801","2018/01/31 12:00:00","2030/01/01 14:59:59","3","1","-416.5","54","2","花凜","0","54003","0","似乎有能夠\n領取的獎勵了。\n請確認看看","2.801"
"190801","2018/01/31 12:00:00","2030/01/01 14:59:59","4","2","-416.5","54","2","花凜","0","54004","0","能夠領取獎勵了！\n請檢查看看","0"
"190801","2018/01/31 12:00:00","2030/01/01 14:59:59","1","1","-363","55","2","花凜","0","55003","0","這裡是公會管理協會！\n如果您持有討伐證的話，\n就能夠交換獎勵哦","5.506"
"190801","2018/01/31 12:00:00","2030/01/01 14:59:59","2","2","-363","55","1","花凜","0","55004","0","辛苦了！\n在這裡，能夠以討伐證\n來換取獎勵哦！","1.216"
"190801","2018/01/31 12:00:00","2030/01/01 14:59:59","3","2","-363","56","1","花凜","0","56003","0","辛苦了\n別忘記使用討伐證\n來進行交換哦！","1.539"
"190801","2018/01/31 12:00:00","2030/01/01 14:59:59","4","2","-363","56","1","花凜","0","56004","0","結束了呢─\n討伐證就是努力的證明！\n拿來換取獎勵吧！","1.875"
"190801","2018/01/31 12:00:00","2030/01/01 14:59:59","5","1","-416.5","57","1","花凜","0","57003","0","參加活動辛苦了！\n各位活躍的樣子\n我們始終非常感謝","0"
"190801","2020/10/19 16:00:00","2020/10/28 15:59:59","1","1","-416.5","53","2","花凜","10043","10043001","0","如果完成任務的話，\n就能夠獲得獎勵哦！\n請加油吧","3.414"
"190801","2020/10/19 16:00:00","2020/10/28 15:59:59","2","1","-416.5","53","2","花凜","10043","10043002","0","將任務完成，\n並獲得獎勵吧！","3.099"
"190801","2020/10/19 16:00:00","2020/10/28 15:59:59","3","1","-416.5","54","2","花凜","10043","10043003","0","似乎有能夠\n領取的獎勵了，\n請確認看看。","2.801"
"190801","2020/10/19 16:00:00","2020/10/28 15:59:59","4","2","-416.5","54","2","花凜","10043","10043004","0","能夠領取獎勵了！\n請檢查看看","0"
"190801","2020/10/19 16:00:00","2020/10/28 15:59:59","5","1","-416.5","57","1","花凜","10043","10043005","0","參加活動辛苦了！\n各位活躍的樣子\n我們始終非常感謝","0"
"110001","2020/10/19 16:00:00","2020/10/28 15:59:59","101","1","-285","51","2","鈴奈（夏日）","10043","10043101","0","","6.75"
"110101","2020/10/19 16:00:00","2020/10/28 15:59:59","201","2","-285","51","2","伊緒（夏日）","10043","10043102","0","","0"
"110201","2020/10/19 16:00:00","2020/10/28 15:59:59","301","2","-285","51","3","美咲（夏日）","10043","10043103","70","","7.237"
"110001","2020/10/19 16:00:00","2020/10/28 15:59:59","102","6","-285","51","4","鈴奈（夏日）","10043","10043104","0","","5.017"
"110101","2020/10/19 16:00:00","2020/10/28 15:59:59","202","2","-285","51","1","伊緒（夏日）","10043","10043105","0","","4.802"
"110201","2020/10/19 16:00:00","2020/10/28 15:59:59","302","2","-285","51","3","美咲（夏日）","10043","10043106","70","","10.992"
"110001","2020/10/19 16:00:00","2020/10/28 15:59:59","103","2","-285","51","2","鈴奈（夏日）","10043","10043107","0","","0"
"110101","2020/10/19 16:00:00","2020/10/28 15:59:59","203","1","-285","51","2","伊緒（夏日）","10043","10043108","0","","3.047"
"110001","2020/10/19 16:00:00","2020/10/28 15:59:59","104","2","-285","52","1","鈴奈（夏日）","10043","10043109","0","","7.904"
"110101","2020/10/19 16:00:00","2020/10/28 15:59:59","204","1","-285","52","2","伊緒（夏日）","10043","10043110","0","","8.81"
"110201","2020/10/19 16:00:00","2020/10/28 15:59:59","304","2","-285","52","1","美咲（夏日）","10043","10043111","70","","6.65"
"110001","2020/10/19 16:00:00","2020/10/28 15:59:59","105","1","-285","52","6","鈴奈（夏日）","10043","10043112","0","","9.043"
"110101","2020/10/19 16:00:00","2020/10/28 15:59:59","205","2","-285","52","5","伊緒（夏日）","10043","10043113","0","","4.995"
"110201","2020/10/19 16:00:00","2020/10/28 15:59:59","305","1","-285","52","2","美咲（夏日）","10043","10043114","70","","11.657"
"110001","2020/10/19 16:00:00","2020/10/28 15:59:59","106","2","-285","52","5","鈴奈（夏日）","10043","10043115","0","","7.892"
"110101","2020/10/19 16:00:00","2020/10/28 15:59:59","206","2","-285","52","3","伊緒（夏日）","10043","10043116","0","","7.635"
"110201","2020/10/19 16:00:00","2020/10/28 15:59:59","306","1","-285","52","2","美咲（夏日）","10043","10043117","70","","9.858"
"190801","2020/11/02 16:00:00","2020/11/20 15:59:59","1","1","-416.5","53","2","花凜","10044","10044001","0","如果完成任務的話，\n就能夠獲得獎勵哦！\n請加油吧","3.414"
"190801","2020/11/02 16:00:00","2020/11/20 15:59:59","2","1","-416.5","53","2","花凜","10044","10044002","0","將任務完成，\n並獲得獎勵吧！","3.099"
"190801","2020/11/02 16:00:00","2020/11/20 15:59:59","3","1","-416.5","54","2","花凜","10044","10044003","0","似乎有能夠\n領取的獎勵了，\n請確認看看。","2.801"
"190801","2020/11/02 16:00:00","2020/11/20 15:59:59","4","2","-416.5","54","2","花凜","10044","10044004","0","能夠領取獎勵了！\n請檢查看看","0"
"190801","2020/11/02 16:00:00","2020/11/20 15:59:59","5","1","-416.5","57","1","花凜","10044","10044005","0","參加活動辛苦了！\n各位活躍的樣子\n我們始終非常感謝","0"
"190801","2020/11/02 16:00:00","2020/11/20 15:59:59","1","1","-363","55","2","花凜","10044","10044006","0","這裡是公會管理協會！\n如果您持有的討伐證，\n就能夠交換獎勵哦。","5.506"
"190801","2020/11/02 16:00:00","2020/11/20 15:59:59","2","2","-363","55","1","花凜","10044","10044007","0","辛苦了！\n在這裡，能夠以討伐證\n來換取獎勵哦！","1.216"
"190801","2020/11/02 16:00:00","2020/11/20 15:59:59","3","2","-363","56","1","花凜","10044","10044008","0","辛苦了\n別忘記使用討伐證\n來進行交換哦！","1.539"
"190801","2020/11/02 16:00:00","2020/11/20 15:59:59","4","2","-363","56","1","花凜","10044","10044009","0","結束了呢─\n討伐證就是努力的證明！\n拿來換取獎勵吧！","1.875"
"113101","2020/11/02 16:00:00","2020/11/20 15:59:59","111","4","-285","51","5","流夏（夏日）","10044","10044102","8","","14.15"
"113301","2020/11/02 16:00:00","2020/11/20 15:59:59","211","5","-285","51","2","七七香（夏日）","10044","10044104","8","","9.48"
"113201","2020/11/02 16:00:00","2020/11/20 15:59:59","311","3","-285","51","3","杏奈（夏日）","10044","10044106","8","","0"
"105601","2020/11/02 16:00:00","2020/11/20 15:59:59","102","1","-285","51","2","流夏","10044","10044107","8","","9.376"
"113101","2020/11/02 16:00:00","2020/11/20 15:59:59","112","1","-285","51","2","流夏（夏日）","10044","10044108","8","","9.376"
"101301","2020/11/02 16:00:00","2020/11/20 15:59:59","202","3","-285","51","3","七七香","10044","10044109","8","","0"
"113301","2020/11/02 16:00:00","2020/11/20 15:59:59","212","3","-285","51","3","七七香（夏日）","10044","10044110","8","","0"
"100901","2020/11/02 16:00:00","2020/11/20 15:59:59","302","4","-285","51","1","杏奈","10044","10044111","8","","8.18"
"113201","2020/11/02 16:00:00","2020/11/20 15:59:59","312","4","-285","51","1","杏奈（夏日）","10044","10044112","8","","8.18"
"105601","2020/11/02 16:00:00","2020/11/20 15:59:59","103","4","-285","51","4","流夏","10044","10044113","8","","0"
"113101","2020/11/02 16:00:00","2020/11/20 15:59:59","113","4","-285","51","4","流夏（夏日）","10044","10044114","8","","0"
"101301","2020/11/02 16:00:00","2020/11/20 15:59:59","203","4","-285","51","5","七七香","10044","10044115","8","","10.33"
"113301","2020/11/02 16:00:00","2020/11/20 15:59:59","213","4","-285","51","5","七七香（夏日）","10044","10044116","8","","10.33"
"100901","2020/11/02 16:00:00","2020/11/20 15:59:59","303","4","-285","51","4","杏奈","10044","10044117","8","","0"
"113201","2020/11/02 16:00:00","2020/11/20 15:59:59","313","4","-285","51","4","杏奈（夏日）","10044","10044118","8","","0"
"105601","2020/11/02 16:00:00","2020/11/20 15:59:59","104","1","-285","52","2","流夏","10044","10044119","8","","8.83"
"113101","2020/11/02 16:00:00","2020/11/20 15:59:59","114","1","-285","52","2","流夏（夏日）","10044","10044120","8","","8.83"
"101301","2020/11/02 16:00:00","2020/11/20 15:59:59","204","4","-285","52","4","七七香","10044","10044121","8","","0"
"113301","2020/11/02 16:00:00","2020/11/20 15:59:59","214","4","-285","52","4","七七香（夏日）","10044","10044122","8","","0"
"100901","2020/11/02 16:00:00","2020/11/20 15:59:59","304","1","-285","52","2","杏奈","10044","10044123","8","","4.73"
"113201","2020/11/02 16:00:00","2020/11/20 15:59:59","314","1","-285","52","2","杏奈（夏日）","10044","10044124","8","","4.73"
"105601","2020/11/02 16:00:00","2020/11/20 15:59:59","105","1","-285","52","2","流夏","10044","10044125","8","","9.68"
"113101","2020/11/02 16:00:00","2020/11/20 15:59:59","115","1","-285","52","2","流夏（夏日）","10044","10044126","8","","9.68"
"101301","2020/11/02 16:00:00","2020/11/20 15:59:59","205","1","-285","52","2","七七香","10044","10044127","8","","6.15"
"113301","2020/11/02 16:00:00","2020/11/20 15:59:59","215","1","-285","52","2","七七香（夏日）","10044","10044128","8","","6.15"
"100901","2020/11/02 16:00:00","2020/11/20 15:59:59","305","1","-285","52","2","杏奈","10044","10044129","8","","13.22"
"113201","2020/11/02 16:00:00","2020/11/20 15:59:59","315","1","-285","52","2","杏奈（夏日）","10044","10044130","8","","13.22"
"105601","2020/11/02 16:00:00","2020/11/20 15:59:59","106","2","-285","52","2","流夏","10044","10044131","8","","0"
"113101","2020/11/02 16:00:00","2020/11/20 15:59:59","116","2","-285","52","2","流夏（夏日）","10044","10044132","8","","0"
"101301","2020/11/02 16:00:00","2020/11/20 15:59:59","206","1","-285","52","2","七七香","10044","10044133","8","","4.85"
"113301","2020/11/02 16:00:00","2020/11/20 15:59:59","216","1","-285","52","2","七七香（夏日）","10044","10044134","8","","4.85"
"100901","2020/11/02 16:00:00","2020/11/20 15:59:59","306","1","-285","52","2","杏奈","10044","10044135","8","","4.92"
"113201","2020/11/02 16:00:00","2020/11/20 15:59:59","316","1","-285","52","2","杏奈（夏日）","10044","10044136","8","","4.92"
"190801","2020/11/17 12:00:00","2020/11/27 15:59:59","1","1","-416.5","53","2","花凜","10045","10045001","0","如果完成任務的話，\n就能夠獲得獎勵哦！\n請加油吧","3.414"
"190801","2020/11/17 12:00:00","2020/11/27 15:59:59","2","1","-416.5","53","2","花凜","10045","10045002","0","將任務完成，\n並獲得獎勵吧！","3.099"
"190801","2020/11/17 12:00:00","2020/11/27 15:59:59","3","1","-416.5","54","2","花凜","10045","10045003","0","似乎有能夠\n領取的獎勵了，\n請確認看看。","2.801"
"190801","2020/11/17 12:00:00","2020/11/27 15:59:59","4","2","-416.5","54","2","花凜","10045","10045004","0","能夠領取獎勵了！\n請檢查看看","0"
"190801","2020/11/17 12:00:00","2020/11/27 15:59:59","5","1","-416.5","57","1","花凜","10045","10045005","0","參加活動辛苦了！\n各位活躍的樣子\n我們始終非常感謝","0"
"190801","2020/11/17 12:00:00","2020/11/27 15:59:59","1","1","-363","55","2","花凜","10045","10045006","0","這裡是公會管理協會！\n如果您持有的討伐證，\n就能夠交換獎勵哦。","5.506"
