1aadda3db1fd40ee060426a98c7e0c3df8e6ce709c1633a6999d8bfa7332d9d7,00c6de8aaeb4703390c25e16d899bbe79d70531d25d7c8091ef17eebfc85ae9f,1a6b27c49cec455e9cc7cca984b42fc2edf8281dae261cede87c0485bc76c944,ed5b7786982cb7d2ad9167f3b6bbb76bdb50f00097006b5532973d708ef9fe70,da2e6b69a7e986807e3a03c45bb8f57f2b18a13885396ae231ec600784f4523b,797c611417b5c6731f0a81102dcfcf081715b5c76374e3a9d247749c807e6011,3d0293c7eaff173c359c96effd8bd7b63cc047e91d8b4d43c94b2e8db9506318
"1","0","50","0","1","9999999","50"
"2","0","80","0","2","9999999","20"
"3","0","30","0","3","2000","70"
"4","30","40","0","3","5000","30"
"5","40","40","20","3","10000","0"
"6","40","30","30","3","15000","0"
"7","40","25","35","3","20000","0"
"8","40","20","40","3","25000","0"
"9","40","15","45","3","30000","0"
"10","40","10","50","3","35000","0"
"11","35","10","55","3","40000","0"
"12","35","5","60","3","45000","0"
"13","30","5","65","3","50000","0"
"14","30","0","70","3","55000","0"
"15","25","0","75","3","60000","0"
"16","20","0","80","3","65000","0"
"17","15","0","85","3","70000","0"
"18","10","0","90","3","75000","0"
"19","5","0","95","3","80000","0"
"20","0","0","100","3","9999999","0"
