dc2a68bc5b335c644e39094bdbc45db9fe64e099d0227cbde252fb9ef4b19160,8faa64290caf40f9b88ee278e0478da1fe2d158b0ab9b68f07aed6b574a47fbe,18ea1958d9a86eb549c181bb702329e253df8ed02f88901efdb2f6f1544d43b3,46fca5892e349bfcf85a2042ec1e41c61ab62044be06d67b03aefc1480876b09,0e037206f7f240dfcedb28befc17fcef435d7eec9b617bce9f1725f8afa425d9,89f61cba92afaed2e3263221b1118c4df41d5df0e7d2d9cbc76baaf0217255e6,d8525239213dc5475fcf88d710ebcf6a258cf51dacfe593fa8a3e389b6f091d5
"0","","10008111","10008101","1","1","0"
"0","","10008115","10008112","2","1","0"
"0","","10008103","10008101","3","3","0"
"0","","10008115","10008105","4","3","0"
"0","","150","10008112","5","4","0"
"0","","10028111","10028101","6","1","0"
"0","","10028115","10028112","7","1","0"
"0","","10028103","10028101","8","3","0"
"0","","10028115","10028105","9","3","0"
"0","","150","10028112","10","4","0"
"20012107","","20012104","20012104","11","11","0"
"20012109","","20012108","20012108","12","11","0"
"20012114","","20012110","20012110","13","11","0"
"20012115","","20012115","20012115","14","11","0"
"0","","120","20012110","15","4","0"
"0","","20008111","20008101","16","1","0"
"0","","20008115","20008112","17","1","0"
"0","","20008103","20008101","18","3","0"
"0","","20008115","20008105","19","3","0"
"0","","150","20008112","20","4","0"
