a5132be11301819a84b6f644d656a6e0cbce667ecdb76572fe27fe27d3448b69,6013da6f5961ff9b37c8f46421e62c2b2d342c272073a210d45cd8ee34ac6463,dd8fdfc8dcd9ebedd643cf7c52634d4053b36fbee048c75359f1c205597187d9,454a87147916e671fe0057c12d8364d661d48c89f35b75612658a5abb071603c,6c5112c72a8c407f7ea259c6ae73933964ae0410d2d43c21aeec7a24f5090989,8d29d428d0cbe3864334cb2c1b7ee2809f2e7fc1d23d9aaa3001494c3aabaa3d,052b9b830e77e6a20d0d3a9b6780b86139084470b396fe0de1447c5a9b5ca89b
"vo_minigame_1004","呵呵呵，這樣一來就能報復嘉夜夜和老大了！","vo_minigame_1004_top_1_000","10001","1","1000101","2"
"vo_minigame_1004","接龍之戰，我要找哥哥幫忙。","vo_minigame_1004_top_1_003","10002","1","1000201","2"
"vo_minigame_1004","打手就是不管別人怎樣找碴都來者不拒！看我的！","vo_minigame_1004_top_1_004","10003","2","1000301","1"
"vo_minigame_1004","用石板進行接龍嗎……祈梨那人想的活動真有趣呢。","vo_minigame_1004_top_1_005","10004","2","1000401","1"
"vo_minigame_1004","管它是接龍還是什麼，就給他們回馬槍吧！","vo_minigame_1004_top_1_006","10005","2","1000501","1"
"vo_minigame_1004","咕麼……（我、肚子餓了）","vo_minigame_1004_top_1_007","10006","3","1000601","2"
"vo_minigame_1004","咕麼麼麼麼（接龍真有趣）","vo_minigame_1004_top_1_008","10007","3","1000701","2"
"vo_minigame_1004","咕麼麼麼麼！（祈梨 是好人）","vo_minigame_1004_top_1_009","10008","3","1000801","2"
"vo_minigame_1004","就算對手是嘉夜夜，我也不會手下留情。","vo_minigame_1004_top_2_010","10009","1","1000901","2"
"vo_minigame_1004","好極了！要比的話就要認真的比哦。","vo_minigame_1004_top_2_011","10009","2","1000902","1"
"vo_minigame_1004","嘉夜夜，要道歉就趁現在。","vo_minigame_1004_top_2_012","10010","1","1001001","2"
"vo_minigame_1004","祈梨才是，妳要偷哭的話就趁現在吧？","vo_minigame_1004_top_2_013","10010","2","1001002","1"
"vo_minigame_1004","嘉夜夜，今後可是知性的時代哦？","vo_minigame_1004_top_2_014","10011","1","1001101","2"
"vo_minigame_1004","慢著！不要把我說得像笨蛋一樣！！","vo_minigame_1004_top_2_015","10011","2","1001102","1"
"vo_minigame_1004","來，讓妳見識一下我們的力量！","vo_minigame_1004_top_2_016","10012","1","1001201","1"
"vo_minigame_1004","咕麼！（交給我！）","vo_minigame_1004_top_2_017","10012","3","1001202","2"
"vo_minigame_1004","乖乖，很好，做得好的話，就給你巧克力！","vo_minigame_1004_top_2_018","10013","1","1001301","1"
"vo_minigame_1004","咕麼！（我 喜歡巧克力）","vo_minigame_1004_top_2_019","10013","3","1001302","2"
"vo_minigame_1004","喏，祈梨……妳是不是已經迷失當時的目的了？","vo_minigame_1004_top_2_023","10014","2","1001401","1"
"vo_minigame_1004","我當然記得，就是要打倒嘉夜夜，證明我們的智慧。","vo_minigame_1004_top_2_024","10014","1","1001402","2"
"vo_minigame_1004","就算對手是祈梨，我也不會把勝利讓給妳的！","vo_minigame_1004_top_2_025","10015","2","1001501","1"
"vo_minigame_1004","正合我意，我可不會手下留情哦！","vo_minigame_1004_top_2_026","10015","1","1001502","2"
"vo_minigame_1004","嘿，妳還滿行的嘛！","vo_minigame_1004_top_2_027","10016","2","1001601","1"
"vo_minigame_1004","嘉夜夜也比我想像的還厲害呢！","vo_minigame_1004_top_2_028","10016","1","1001602","2"
"vo_minigame_1004","喂～似龍生物？","vo_minigame_1004_top_2_029","10017","2","1001701","1"
"vo_minigame_1004","咕麼！？（噫！）","vo_minigame_1004_top_2_030","10017","3","1001702","2"
"vo_minigame_1004","哎呀，那時真是不好意思啊哈哈哈！","vo_minigame_1004_top_2_031","10018","2","1001801","1"
"vo_minigame_1004","咕麼麼麼……（嘉夜夜 好可怕）","vo_minigame_1004_top_2_032","10018","3","1001802","2"
"vo_minigame_1004","你啊……還真是一臉呆樣呢。","vo_minigame_1004_top_2_033","10019","2","1001901","1"
"vo_minigame_1004","咕麼……（妳還 敢說我）","vo_minigame_1004_top_2_034","10019","3","1001902","2"
"vo_minigame_1004","咕麼……（肚子餓了 想要巧克力）","vo_minigame_1004_top_2_044","10020","3","1002001","2"
"vo_minigame_1004","怎麼了？睏了嗎？","vo_minigame_1004_top_2_045","10020","2","1002002","1"
"vo_minigame_1004","咕麼麼（這傢伙……好危險）","vo_minigame_1004_top_2_046","10021","3","1002101","2"
"vo_minigame_1004","嗯？　怎麼了？想當我的小弟嗎？","vo_minigame_1004_top_2_047","10021","2","1002102","1"
"vo_minigame_1004","咕麼……（嘉夜夜是 肌肉笨蛋）","vo_minigame_1004_top_2_048","10022","3","1002201","2"
"vo_minigame_1004","喂，你現在在想沒禮貌的事吧？","vo_minigame_1004_top_2_049","10022","2","1002202","1"
"vo_minigame_1004","欸，這個要持續到什麼時候？","vo_minigame_1004_top_3_058","10023","2","1002301","1"
"vo_minigame_1004","到嘉夜夜投降為止！","vo_minigame_1004_top_3_059","10023","1","1002302","2"
"vo_minigame_1004","咕麼麼！（給我投降！）","vo_minigame_1004_top_3_060","10023","3","1002303","2"
"vo_minigame_1004","咕麼！（祈梨 我想要巧克力）","vo_minigame_1004_top_3_065","10024","3","1002401","2"
