19ef4f9e8d52dd3812c52def6d0b8878465bf9fd27f7d191af590239cb274081,2f4cee17dd5023e55e1f4d5dfaab3d3e5006784d8b2da44652931ede6647e0af,607777c5869004b2ecce5da8216b01443525a4de3a35afeacee4de9b1e0a9abc,420febfab5aa7b8374c783d2b188d83112df5544406c3543d9050eb37e949343,9cd00451be28049175ea62e4249c736d340a54f5d4ce244ac5f2687e38387753,7e42c751fcd8511233a46a64aa69174797a3856a1b2546bf78baf7d0136c71d4
"1","10","1","500","10","2"
"1","20","1","500","10","3"
"1","30","1","500","10","4"
"1","40","1","500","10","5"
"1","50","1","500","10","6"
"1","60","1","500","10","7"
"1","70","1","500","10","8"
"1","80","1","500","10","9"
"1","90","1","500","10","10"
"1","105","1","500","15","11"
"1","120","1","500","15","12"
"1","135","1","500","15","13"
"1","150","1","500","15","14"
"1","165","1","500","15","15"
"1","180","1","500","15","16"
"1","195","1","500","15","17"
"1","210","1","500","15","18"
"1","225","1","500","15","19"
"1","240","1","500","15","20"
"1","265","1","500","25","21"
"1","290","1","500","25","22"
"1","315","1","500","25","23"
"1","340","1","500","25","24"
"1","365","1","500","25","25"
"1","390","1","500","25","26"
"1","415","1","500","25","27"
"1","440","1","500","25","28"
"1","465","1","500","25","29"
"1","490","1","500","25","30"
"2","530","1","500","40","31"
"2","570","1","500","40","32"
"2","610","1","500","40","33"
"2","650","1","500","40","34"
"2","690","1","500","40","35"
"2","730","1","500","40","36"
"2","770","1","500","40","37"
"2","810","1","500","40","38"
"2","850","1","500","40","39"
"2","890","1","500","40","40"
"2","940","1","500","50","41"
"2","990","1","500","50","42"
"2","1040","1","500","50","43"
"2","1090","1","500","50","44"
"2","1140","1","500","50","45"
"2","1190","1","500","50","46"
"2","1240","1","500","50","47"
"2","1290","1","500","50","48"
"2","1340","1","500","50","49"
"2","1390","1","500","50","50"
"3","1450","1","500","60","51"
"3","1510","1","500","60","52"
"3","1570","1","500","60","53"
"3","1630","1","500","60","54"
"3","1690","1","500","60","55"
"3","1750","1","500","60","56"
"3","1810","1","500","60","57"
"3","1870","1","500","60","58"
"3","1930","1","500","60","59"
"3","1990","1","500","60","60"
"3","2065","1","600","75","61"
"3","2140","1","600","75","62"
"3","2215","1","600","75","63"
"3","2290","1","600","75","64"
"3","2365","1","600","75","65"
"3","2440","1","600","75","66"
"3","2515","1","600","75","67"
"3","2590","1","600","75","68"
"3","2665","1","600","75","69"
"3","2740","1","600","75","70"
"4","2840","1","600","100","71"
"4","2940","1","600","100","72"
"4","3040","1","600","100","73"
"4","3140","1","600","100","74"
"4","3240","1","600","100","75"
"4","3340","1","600","100","76"
"4","3440","1","600","100","77"
"4","3540","1","600","100","78"
"4","3640","1","600","100","79"
"4","3740","1","600","100","80"
"4","3865","1","600","125","81"
"4","3990","1","600","125","82"
"4","4115","1","600","125","83"
"4","4240","1","600","125","84"
