74441c84f868c13d380a15096658607c29e85621d6f48239394db7b1cef24dbc,cd4d6de44b19aacee6456bc0809e52f4474765fb5b0c0a6cd616d29d7bcdd8b2,2bf50ef8eaf3d96479ece0f457dee47b77c025dbbbdcace87c0f1b9fd84b6f13,af57aeb38383eb3ddf0198669f85677290e4a983af15256eec2cc5063570ec4a,d90491a143b35c4f8a1bc2a4e680e9e3fe8c7ee18f6f45c83db0c0cc42488b37,4c4f5a20931f89899daa5b764bce2e65d0464aac74edce3253d4cc48550dbfa8,3ec2ec4c02f6e8200418f912a498b0d6249c04fd7d8e4ad2702d9d4be9e2fa1c,035cafdce54eea16e481e4be42d6b07ad411bf6047bc27a0a1a75d8477e93c42,619ba26965041454b23d92fb1d2ca3d91e3a78d3f0f9075de27bb3d91e0404c9,0c52ecfd2853d47cef1800b1b5d97a984ca35cf71c1245241a3541247cad7d0e,269f73ac9c30a17a49ea1566b2d0379e1bab8d1bd9027381e6a5e5e23533efb9
"31","25013","91002","2","283001001","8","2","25021","8","10","1"
"31","25013","91002","2","283001002","8","2","25021","8","10","2"
"32","25013","91002","2","283001003","8","2","25021","8","10","3"
"32","25013","91002","2","283001004","8","2","25021","8","10","4"
"33","25013","91002","2","283001005","8","2","25021","8","10","5"
"33","25013","91002","2","283001006","8","2","25021","9","10","6"
"34","25013","91002","2","283001007","8","2","25021","9","10","7"
"35","25013","91002","2","283001008","8","2","25021","9","10","8"
"35","25013","91002","2","283001009","8","2","25021","9","10","9"
"37","25013","91002","2","283001010","8","2","25021","10","30","10"
"41","25013","91002","2","283001011","8","2","25021","10","10","11"
"43","25013","91002","2","283001012","8","2","25021","11","10","12"
"46","25013","91002","2","283001013","8","2","25021","11","10","13"
"48","25013","91002","2","283001014","8","2","25021","12","10","14"
"50","25013","91002","2","283001015","8","2","25021","12","10","15"
"53","25013","91002","2","283001016","8","2","25021","13","10","16"
"55","25013","91002","2","283001017","8","2","25021","14","10","17"
"58","25013","91002","2","283001018","8","2","25021","14","10","18"
"60","25013","91002","2","283001019","8","2","25021","15","10","19"
"62","25013","91002","2","283001020","8","2","25021","15","30","20"
"68","25013","91002","2","283001021","8","2","25021","16","10","21"
"70","25013","91002","2","283001022","8","2","25021","16","10","22"
"72","25013","91002","2","283001023","8","2","25021","16","10","23"
"75","25013","91002","2","283001024","8","2","25021","17","10","24"
"77","25013","91002","2","283001025","8","2","25021","18","10","25"
"79","25013","91002","2","283001026","8","2","25021","18","10","26"
"82","25013","91002","2","283001027","8","2","25021","19","10","27"
"84","25013","91002","2","283001028","8","2","25021","19","10","28"
"86","25013","91002","2","283001029","8","2","25021","19","10","29"
"89","25013","91002","2","283001030","8","2","25021","20","30","30"
"94","25013","91002","2","283001031","8","2","25021","20","10","31"
"96","25013","91002","2","283001032","8","2","25021","21","10","32"
"99","25013","91002","2","283001033","8","2","25021","21","10","33"
"101","25013","91002","2","283001034","8","2","25021","22","10","34"
"103","25013","91002","2","283001035","8","2","25021","22","10","35"
"106","25013","91002","2","283001036","8","2","25021","23","10","36"
"108","25013","91002","2","283001037","8","2","25021","23","10","37"
"111","25013","91002","2","283001038","8","2","25021","24","10","38"
"113","25013","91002","2","283001039","8","2","25021","25","10","39"
"115","25013","91002","2","283001040","8","2","25021","25","30","40"
"121","25013","91002","2","283001041","8","2","25021","26","10","41"
"123","25013","91002","2","283001042","8","2","25021","27","10","42"
"125","25013","91002","2","283001043","8","2","25021","28","10","43"
"128","25013","91002","2","283001044","8","2","25021","28","10","44"
"130","25013","91002","2","283001045","8","2","25021","29","10","45"
"132","25013","91002","2","283001046","8","2","25021","30","10","46"
"135","25013","91002","2","283001047","8","2","25021","30","10","47"
"137","25013","91002","2","283001048","8","2","25021","31","10","48"
"139","25013","91002","2","283001049","8","2","25021","31","10","49"
"142","25013","91002","2","283001050","8","2","25021","31","30","50"
"144","25013","91002","2","283001051","8","2","25021","32","10","51"
"146","25013","91002","2","283001052","8","2","25021","32","10","52"
"149","25013","91002","2","283001053","8","2","25021","32","10","53"
"152","25013","91002","2","283001054","8","2","25021","33","10","54"
"155","25013","91002","2","283001055","8","2","25021","33","10","55"
"157","25013","91002","2","283001056","8","2","25021","33","10","56"
"160","25013","91002","2","283001057","8","2","25021","34","10","57"
"163","25013","91002","2","283001058","8","2","25021","34","10","58"
"166","25013","91002","2","283001059","8","2","25021","34","10","59"
"169","25013","91002","2","283001060","8","2","25021","35","30","60"
"171","25013","91002","2","283001061","8","2","25021","35","10","61"
"174","25013","91002","2","283001062","8","2","25021","35","10","62"
"177","25013","91002","2","283001063","8","2","25021","36","10","63"
"180","25013","91002","2","283001064","8","2","25021","36","10","64"
"182","25013","91002","2","283001065","8","2","25021","36","10","65"
"185","25013","91002","2","283001066","8","2","25021","37","10","66"
"187","25013","91002","2","283001067","8","2","25021","37","10","67"
"190","25013","91002","2","283001068","8","2","25021","37","10","68"
"193","25013","91002","2","283001069","8","2","25021","38","10","69"
"196","25013","91002","2","283001070","8","2","25021","38","30","70"
"200","25013","91002","2","283001071","8","2","25021","39","10","71"
"204","25013","91002","2","283001072","8","2","25021","39","10","72"
"208","25013","91002","2","283001073","8","2","25021","40","10","73"
"212","25013","91002","2","283001074","8","2","25021","40","10","74"
"216","25013","91002","2","283001075","8","2","25021","41","10","75"
"220","25013","91002","2","283001076","8","2","25021","41","10","76"
"224","25013","91002","2","283001077","8","2","25021","42","10","77"
"228","25013","91002","2","283001078","8","2","25021","42","10","78"
"232","25013","91002","2","283001079","8","2","25021","43","10","79"
"236","25013","91002","2","283001080","8","2","25021","43","30","80"
"240","25013","91002","2","283001081","8","2","25021","44","10","81"
"244","25013","91002","2","283001082","8","2","25021","44","10","82"
"248","25013","91002","2","283001083","8","2","25021","45","10","83"
"252","25013","91002","2","283001084","8","2","25021","45","10","84"
"256","25013","91002","2","283001085","8","2","25021","46","10","85"
"260","25013","91002","2","283001086","8","2","25021","46","10","86"
"264","25013","91002","2","283001087","8","2","25021","47","10","87"
"268","25013","91002","2","283001088","8","2","25021","47","10","88"
"272","25013","91002","2","283001089","8","2","25021","48","10","89"
"276","25013","91002","2","283001090","8","2","25021","48","30","90"
"280","25013","91002","2","283001091","8","2","25021","49","10","91"
"284","25013","91002","2","283001092","8","2","25021","49","10","92"
"288","25013","91002","2","283001093","8","2","25021","50","10","93"
"292","25013","91002","2","283001094","8","2","25021","50","10","94"
"296","25013","91002","2","283001095","8","2","25021","51","10","95"
"300","25013","91002","2","283001096","8","2","25021","51","10","96"
"304","25013","91002","2","283001097","8","2","25021","52","10","97"
"308","25013","91002","2","283001098","8","2","25021","52","10","98"
"312","25013","91002","2","283001099","8","2","25021","53","10","99"
"316","25013","91002","2","283001100","8","2","25021","53","30","100"
