6ba95d95593b195746f3135e38f9d2e5ab0971cdf422ba011428dc575d118686,ee2a78e27b00df0f97b85c941cbaee802b672785bb51d1737579b4edde0c1c01,9dc5f0385dd9c4b314f0c3b6d6068db615e26e66a5f70520ab980ec3dc2ee25b,d6fb1eda551fc3285565016690ff31acdeef9d3d34acab57addaa1e79b8ebd46,21b6903b70e5984049801e0e215b4012dff2bad68489a80ca499c7aa0734e14a,06c9f222fbe78bcffe3d14886e4beee86858415c411b91daf469017dea336bb5,945f015ccd95b5ec066110930ffdb9995261edb301527c689a83d9c7b16b2a60,0e164d8097439d606510666e0232562ab1f71387fe95458af63140f72417d540,8bbcca69014e2c44ce022dccb0adda99cdb543b76d85849f911337e52c808a8e,32bbab0e58df49f1ccc255124f7159de316df526ff2f765672f4772a8bc61b9d,8031798c6a1001398cbfb711ffbba61a0bbdfdca32d9538f1fbe6bda2c944daa
"1","1004601","2020/12/04 16:00:00","5046601","也可以從額外劇情中\n查看特別的劇情。","活動特別章節","2020/12/18 11:59:59","5046601","前往劇情","活動「美里的夏日聲援！　追夢的盛夏棒球隊」的\n特別章節已解放。","10046"
"2","1004801","2020/12/31 16:00:00","5048","也可以從額外劇情中\n查看特別的劇情。","活動特別章節","2021/01/14 15:59:59","0","前往劇情","閱讀完活動「Happy‧Change‧Angels」的\n終幕後，即會解放特別的章節。","10048"
"3","1004802","2020/12/31 16:00:00","5048","也可以從額外劇情中\n查看特別的劇情。","活動特別章節","2021/01/14 15:59:59","0","前往劇情","活動「Happy‧Change‧Angels」中\n拉菲寄了信給你！","10048"
"4","1005601","2021/05/18 16:00:00","5056","也可以從額外劇情中\n查看特別的劇情。","活動特別章節","2021/05/31 15:59:59","5056601","前往劇情","活動「新春美食家公主！ 賭上關鍵一擲的少女們」\n的特別章節已解放。","10056"
"3","1006101","2021/07/05 16:00:00","5061","可以從額外劇情中\n查看特別的劇情。","活動特別章節","2021/07/19 15:59:59","5061601","前往劇情","活動「灰姑娘課程　璀璨的日子有著蘋果\n的滋味」的特別章節已解放。","10061"
"5","1006102","2021/07/19 16:00:00","10061","","活動特別章節","2021/07/23 15:59:59","5061602","前往劇情","活動「灰姑娘課程　璀璨的日子有著蘋果\n的滋味」的特別章節已解放。","10061"
"3","1006103","2021/07/23 16:00:00","5061","可以從額外劇情中\n查看特別的劇情。","活動特別章節","2021/07/31 15:59:59","5061601","前往劇情","活動「灰姑娘課程　璀璨的日子有著蘋果\n的滋味」的特別章節已解放。","10061"
"6","1006601","2021/09/01 16:00:00","1004","若要閱覽，必須在「大家的遊戲桌」\n購買「大激戰！龍人們的接龍競賽」後，\n遊玩EXTRA關卡","小遊戲 劇情解放","2021/09/30 15:59:59","5027704","前往劇情","小遊戲「大激戰！龍人們的接龍競賽」後\n解放了新的劇情","10066"
"5","1007001","2021/11/15 16:00:00","10070","可從「暑假圖畫日記」的封面進行切換，\n查看批改留言。","追加來自伊緒的留言","2021/11/19 15:59:59","5070601","前往活動","「暑假圖畫日記」中\n已追加伊緒老師的批改留言。","10070"
"1","1007301","2021/12/17 16:00:00","5046601","也可以從額外劇情中\n查看特別的劇情。","活動特別章節","2021/12/31 15:59:59","5046601","前往劇情","活動「美里的夏日聲援！　追夢的盛夏棒球隊」的\n特別章節已解放。","10073"
