12dc7f8a0ac861b09763780a2ade3919e14f79bcfc6291f5fee4e1b814fab17b,082fe93f7cf0f2ae266669ee52c954a5c4211acd730cd6d2cf43e471482b073a,0a801767c3259333ccb209c7714cf64773f6acda6a70602357219f106531a941,112fdf77278b88f2cb02e582c60e11bc99cdc844d12c67bbfd72eb81f3066b71,076c27f8434cf9bfc5b20f2bf15481cdaa8194b62ebe2b059f354318997fda19,c0b579e5d452b20cd8e8b206096828a30ed871f07ef9c213760efb2effcad293,df94efc3a1097e62f4be529e0608ef9af5eefc8af210bd30eaddd153fdf64e26,b058ebfcd3a9cdd875101ff009d1a8acb8ba12ca3a420b7d667895dbb9e93284,2b15b254332842094f2ddd9409a0a94f4732bc427d9def80b12d432a213cdb7e,d40ffa57e23a6d062171626008fcfe049920ea65a117fab9b28974b279844eca,10116d378ac183ee518beb01da30bb8da7846c9b919b639943b26dd807f23675,43be309bbcb84d2381b32c3260d5379b7a2a384d35a426182269d8eb6a1d4334
"100980101","1","0","0","1009801","0","0","4","0","1","0","0.8"
"100980102","0","0","0","1009801","0","0","2","vo_lsv","2","vo_lsv_0101","0"
"100980103","0","1","0","1009801","300","2","1","0","3","0","0"
"100980104","1","0","0","1009801","0","0","4","0","4","0","2.3"
"100980105","0","2","0","1009801","280","2","1","0","5","0","0"
"100980106","1","0","0","1009801","0","0","4","0","6","0","3"
"100980107","0","0","0","1009801","0","0","2","vo_lsv","7","vo_lsv_0102","0"
"100980108","0","3","0","1009801","300","2.05","1","0","8","0","0"
"100980109","1","0","0","1009801","0","0","4","0","9","0","2.05"
"100980110","0","4","0","1009801","327","1.8","1","0","10","0","0"
"100980111","1","0","0","1009801","0","0","4","0","11","0","2.8"
"100980112","0","0","0","1009801","0","0","2","vo_lsv","12","vo_lsv_0103","0"
"100980113","0","5","0","1009801","300","2.3","1","0","13","0","0"
"100980114","1","0","0","1009801","0","0","4","0","14","0","2.5"
"100980115","0","6","0","1009801","275","1.9","1","0","15","0","0"
"100980116","1","0","0","1009801","0","0","4","0","16","0","2.9"
"100980117","0","0","0","1009801","0","0","2","vo_lsv","17","vo_lsv_0104","0"
"100980118","0","7","0","1009801","300","2.7","1","0","18","0","0"
"100980119","1","0","0","1009801","0","0","4","0","19","0","2.9"
"100980120","0","8","0","1009801","310","2.3","1","0","20","0","0"
"100980121","1","0","0","1009801","0","0","4","0","21","0","2.3"
"100980122","0","9","0","1009801","250","1.8","1","0","22","0","0"
"100980123","1","0","0","1009801","0","0","4","0","23","0","2.8"
"100980124","0","0","0","1009801","0","0","2","vo_lsv","24","vo_lsv_0105","0"
"100980125","0","10","0","1009801","320","2.5","1","0","25","0","0"
"100980126","1","0","0","1009801","0","0","4","0","26","0","2.5"
"100980127","0","11","15","1009801","165","0.7","1","0","27","0","0"
"100980201","1","0","0","1009802","0","0","4","0","1","0","0.8"
"100980202","0","0","0","1009802","0","0","2","vo_lsv","2","vo_lsv_0201","0"
"100980203","0","1","0","1009802","300","1.51","1","0","3","0","0"
"100980204","1","0","0","1009802","0","0","4","0","4","0","1.51"
"100980205","0","1","300","1009802","300","1.5","1","0","5","0","0"
"100980206","1","0","0","1009802","0","0","4","0","6","0","2.5"
"100980207","0","0","0","1009802","0","0","2","vo_lsv","7","vo_lsv_0202","0"
"100980208","0","2","0","1009802","300","1.8","1","0","8","0","0"
"100980209","1","0","0","1009802","0","0","4","0","9","0","1.8"
"100980210","0","3","0","1009802","300","1.1","1","0","10","0","0"
"100980211","1","0","0","1009802","0","0","4","0","11","0","2.1"
"100980212","0","0","0","1009802","0","0","2","vo_lsv","12","vo_lsv_0203","0"
"100980213","0","4","0","1009802","300","1.95","1","0","13","0","0"
"100980214","1","0","0","1009802","0","0","4","0","14","0","1.95"
"100980215","0","5","0","1009802","310","2.05","1","0","15","0","0"
"100980216","1","0","0","1009802","0","0","4","0","16","0","2.05"
"100980217","0","5","310","1009802","310","0.8","1","0","17","0","0"
"100980218","1","0","0","1009802","0","0","4","0","18","0","1.8"
"100980219","0","0","0","1009802","0","0","2","vo_lsv","19","vo_lsv_0204","0"
"100980220","0","6","0","1009802","300","1.7","1","0","20","0","0"
"100980221","1","0","0","1009802","0","0","4","0","21","0","2.1"
"100980222","0","7","0","1009802","327","2.3","1","0","22","0","0"
"100980223","1","0","0","1009802","0","0","4","0","23","0","3.3"
"100980224","0","0","0","1009802","0","0","2","vo_lsv","24","vo_lsv_0205","0"
"100980225","0","8","0","1009802","300","1.83","1","0","25","0","0"
"100980226","1","0","0","1009802","0","0","4","0","26","0","2.4"
"100980227","0","9","0","1009802","300","1.7","1","0","27","0","0"
"100980228","1","0","0","1009802","0","0","4","0","28","0","2.1"
"100980229","0","10","0","1009802","210","1.1","1","0","29","0","0"
"100980230","1","0","0","1009802","0","0","4","0","30","0","0.5"
"100980301","1","0","0","1009803","0","0","4","0","1","0","0.8"
"100980302","0","0","0","1009803","0","0","2","vo_lsv","2","vo_lsv_0301","0"
"100980303","0","1","0","1009803","141","1.87","1","0","3","0","0"
"100980304","1","0","0","1009803","0","0","4","0","4","0","2"
"100980305","0","1","141","1009803","300","0.561","1","0","5","0","0"
"100980306","1","0","0","1009803","0","0","4","0","6","0","1.561"
"100980307","0","0","0","1009803","0","0","2","vo_lsv","7","vo_lsv_0302","0"
"100980308","0","2","0","1009803","320","1.3","1","0","8","0","0"
"100980309","1","0","0","1009803","0","0","4","0","9","0","1.3"
"100980310","0","3","0","1009803","227","1.2","1","0","10","0","0"
"100980311","1","0","0","1009803","0","0","4","0","11","0","2.2"
"100980312","0","0","0","1009803","0","0","2","vo_lsv","12","vo_lsv_0303","0"
"100980313","0","4","0","1009803","280","2.1","1","0","13","0","0"
"100980314","1","0","0","1009803","0","0","4","0","14","0","2.1"
"100980315","0","5","0","1009803","280","1.2","1","0","15","0","0"
"100980316","1","0","0","1009803","0","0","4","0","16","0","2.2"
"100980317","0","0","0","1009803","0","0","2","vo_lsv","17","vo_lsv_0304","0"
"100980318","0","6","0","1009803","350","1.305","1","0","18","0","0"
"100980319","1","0","0","1009803","0","0","4","0","19","0","1.305"
"100980320","0","6","350","1009803","350","2.181","1","0","20","0","0"
"100980321","1","0","0","1009803","0","0","4","0","21","0","2.781"
"100980322","0","7","0","1009803","350","1.32","1","0","22","0","0"
"100980323","1","0","0","1009803","0","0","4","0","23","0","2.32"
"100980324","0","0","0","1009803","0","0","2","vo_lsv","24","vo_lsv_0305","0"
"100980325","0","8","0","1009803","350","2.453","1","0","25","0","0"
"100980326","1","0","0","1009803","0","0","4","0","26","0","2.453"
"100980327","0","9","0","1009803","350","1.547","1","0","27","0","0"
"100980328","1","0","0","1009803","0","0","4","0","28","0","2.547"
"100980329","0","0","0","1009803","0","0","2","vo_lsv","29","vo_lsv_0306","0"
"100980330","0","10","0","1009803","350","1.95","1","0","30","0","0"
"100980331","1","0","0","1009803","0","0","4","0","31","0","2.95"
"100980332","0","0","0","1009803","0","0","2","vo_lsv","32","vo_lsv_0307","0"
"100980333","0","11","0","1009803","240","1.39","1","0","33","0","0"
"100980401","1","0","0","1009804","0","0","4","0","1","0","0.8"
"100980402","0","0","0","1009804","0","0","2","vo_lsv","2","vo_lsv_0401","0"
"100980403","0","1","0","1009804","300","1.2","1","0","3","0","0"
"100980404","1","0","0","1009804","0","0","4","0","4","0","1.2"
"100980405","0","2","0","1009804","300","1.8","1","0","5","0","0"
"100980406","1","0","0","1009804","0","0","4","0","6","0","2.8"
"100980407","0","0","0","1009804","0","0","2","vo_lsv","7","vo_lsv_0402","0"
"100980408","0","3","0","1009804","355","2.35","1","0","8","0","0"
"100980409","1","0","0","1009804","0","0","4","0","9","0","3.35"
"100980410","0","0","0","1009804","0","0","2","vo_lsv","10","vo_lsv_0403","0"
"100980411","0","4","0","1009804","300","1.669","1","0","11","0","0"
"100980412","1","0","0","1009804","0","0","4","0","12","0","2.1"
"100980413","0","5","0","1009804","230","1.7","1","0","13","0","0"
"100980414","1","0","0","1009804","0","0","4","0","14","0","2"
"100980415","0","6","0","1009804","230","1.35","1","0","15","0","0"
"100980416","1","0","0","1009804","0","0","4","0","16","0","2.85"
"100980417","0","0","0","1009804","0","0","2","vo_lsv","17","vo_lsv_0404","0"
"100980418","0","7","0","1009804","327","1.51","1","0","18","0","0"
"100980419","1","0","0","1009804","0","0","4","0","19","0","1.61"
"100980420","0","7","327","1009804","327","1.29","1","0","20","0","0"
"100980421","1","0","0","1009804","0","0","4","0","21","0","1.949"
"100980422","0","8","0","1009804","300","1.925","1","0","22","0","0"
"100980501","1","0","0","1009805","0","0","4","0","1","0","0.8"
"100980502","0","0","0","1009805","0","0","2","vo_lsv","2","vo_lsv_0501","0"
"100980503","0","1","0","1009805","300","2.115","1","0","3","0","0"
"100980504","1","0","0","1009805","0","0","4","0","4","0","3.115"
"100980505","0","0","0","1009805","0","0","2","vo_lsv","5","vo_lsv_0502","0"
"100980506","0","2","0","1009805","310","1.743","1","0","6","0","0"
"100980507","1","0","0","1009805","0","0","4","0","7","0","2.743"
"100980508","0","0","0","1009805","0","0","2","vo_lsv","8","vo_lsv_0503","0"
"100980509","0","3","0","1009805","300","1.86","1","0","9","0","0"
"100980510","1","0","0","1009805","0","0","4","0","10","0","2.26"
"100980511","0","4","0","1009805","350","1.667","1","0","11","0","0"
"100980512","1","0","0","1009805","0","0","4","0","12","0","2.324"
"100980513","0","5","0","1009805","310","2.168","1","0","13","0","0"
"100980514","1","0","0","1009805","0","0","4","0","14","0","3.168"
"100980515","0","0","0","1009805","0","0","2","vo_lsv","15","vo_lsv_0504","0"
"100980516","0","6","0","1009805","300","1.752","1","0","16","0","0"
"100980517","1","0","0","1009805","0","0","4","0","17","0","2.276"
"100980518","0","7","0","1009805","300","1.43","1","0","18","0","0"
"100980519","1","0","0","1009805","0","0","4","0","19","0","1.43"
"100980520","0","7","300","1009805","300","0.749","1","0","20","0","0"
"100980521","1","0","0","1009805","0","0","4","0","21","0","1.749"
"100980522","0","0","0","1009805","0","0","2","vo_lsv","22","vo_lsv_0505","0"
"100980523","0","8","0","1009805","300","0.65","1","0","23","0","0"
"100980524","1","0","0","1009805","0","0","4","0","24","0","0.65"
"100980525","0","8","300","1009805","300","1.753","1","0","25","0","0"
"100980526","1","0","0","1009805","0","0","4","0","26","0","1.753"
"100980527","0","9","0","1009805","300","0.929","1","0","27","0","0"
"100980528","1","0","0","1009805","0","0","4","0","28","0","1.929"
"100980529","0","0","0","1009805","0","0","2","vo_lsv","29","vo_lsv_0506","0"
