0dc0d216cf175f48da61c243033f72b987ec983cf1b490b9b04b7ce5134851d5,5f206bfb93da6a7c97384df8bf9b25bfbc12ef8a52346a5ee43f41ad389d67df,e9b879a1c9275960a0ed2c6393fc7c459981531f87ae2d62ecaf8535eb307d0d,4e2d1e31c8d6f64ea6898d0d258fa78edd897e1f50ae695ebda8c33468d3b509,9fcf764386df7b100827d340554995c84b54e7a2371e5d85767f287a0e1a367f,8958f0e7c2575ed683cb252c50346d1d888c17342161b8b30411840bef46e73d,e3cebe2604cf79273cd568bf37f1bf2c24ab07894f88bd26f6f70d36efef09ec,6567cae8fdc9cd2304f89ee41c8c1446456f124ff0e8ce70050b5665100b6ee3,00f0cc70c96f6f425e17f06dc4dcaf8f699bc436a35afe4f0a26c2ce678e22a5,346ec34b3a0e5487f166edbdc30880154ac5f6c36af2d0572cf163fd19b0a98f,8491bfe04345378294d90f8acbd29e20f09ed44997425fb36477f706c96ecf7b,36b6b180c6786b413a805a60e78c6d0b282bb82a7b4ba80e68fd35e8d4182eae
"0","1","1009801","0.8","0","0","0","0","4","1","100980101","0"
"0","2","1009801","0","vo_lsv_0101","vo_lsv","0","0","2","0","100980102","0"
"2","3","1009801","0","0","0","1","0","1","0","100980103","300"
"0","4","1009801","2.3","0","0","0","0","4","1","100980104","0"
"2","5","1009801","0","0","0","2","0","1","0","100980105","280"
"0","6","1009801","3","0","0","0","0","4","1","100980106","0"
"0","7","1009801","0","vo_lsv_0102","vo_lsv","0","0","2","0","100980107","0"
"2.05","8","1009801","0","0","0","3","0","1","0","100980108","300"
"0","9","1009801","2.05","0","0","0","0","4","1","100980109","0"
"1.8","10","1009801","0","0","0","4","0","1","0","100980110","327"
"0","11","1009801","2.8","0","0","0","0","4","1","100980111","0"
"0","12","1009801","0","vo_lsv_0103","vo_lsv","0","0","2","0","100980112","0"
"2.3","13","1009801","0","0","0","5","0","1","0","100980113","300"
"0","14","1009801","2.5","0","0","0","0","4","1","100980114","0"
"1.9","15","1009801","0","0","0","6","0","1","0","100980115","275"
"0","16","1009801","2.9","0","0","0","0","4","1","100980116","0"
"0","17","1009801","0","vo_lsv_0104","vo_lsv","0","0","2","0","100980117","0"
"2.7","18","1009801","0","0","0","7","0","1","0","100980118","300"
"0","19","1009801","2.9","0","0","0","0","4","1","100980119","0"
"2.3","20","1009801","0","0","0","8","0","1","0","100980120","310"
"0","21","1009801","2.3","0","0","0","0","4","1","100980121","0"
"1.8","22","1009801","0","0","0","9","0","1","0","100980122","250"
"0","23","1009801","2.8","0","0","0","0","4","1","100980123","0"
"0","24","1009801","0","vo_lsv_0105","vo_lsv","0","0","2","0","100980124","0"
"2.5","25","1009801","0","0","0","10","0","1","0","100980125","320"
"0","26","1009801","2.5","0","0","0","0","4","1","100980126","0"
"0.7","27","1009801","0","0","0","11","15","1","0","100980127","165"
"0","1","1009802","0.8","0","0","0","0","4","1","100980201","0"
"0","2","1009802","0","vo_lsv_0201","vo_lsv","0","0","2","0","100980202","0"
"1.51","3","1009802","0","0","0","1","0","1","0","100980203","300"
"0","4","1009802","1.51","0","0","0","0","4","1","100980204","0"
"1.5","5","1009802","0","0","0","1","300","1","0","100980205","300"
"0","6","1009802","2.5","0","0","0","0","4","1","100980206","0"
"0","7","1009802","0","vo_lsv_0202","vo_lsv","0","0","2","0","100980207","0"
"1.8","8","1009802","0","0","0","2","0","1","0","100980208","300"
"0","9","1009802","1.8","0","0","0","0","4","1","100980209","0"
"1.1","10","1009802","0","0","0","3","0","1","0","100980210","300"
"0","11","1009802","2.1","0","0","0","0","4","1","100980211","0"
"0","12","1009802","0","vo_lsv_0203","vo_lsv","0","0","2","0","100980212","0"
"1.95","13","1009802","0","0","0","4","0","1","0","100980213","300"
"0","14","1009802","1.95","0","0","0","0","4","1","100980214","0"
"2.05","15","1009802","0","0","0","5","0","1","0","100980215","310"
"0","16","1009802","2.05","0","0","0","0","4","1","100980216","0"
"0.8","17","1009802","0","0","0","5","310","1","0","100980217","310"
"0","18","1009802","1.8","0","0","0","0","4","1","100980218","0"
"0","19","1009802","0","vo_lsv_0204","vo_lsv","0","0","2","0","100980219","0"
"1.7","20","1009802","0","0","0","6","0","1","0","100980220","300"
"0","21","1009802","2.1","0","0","0","0","4","1","100980221","0"
"2.3","22","1009802","0","0","0","7","0","1","0","100980222","327"
"0","23","1009802","3.3","0","0","0","0","4","1","100980223","0"
