8ad0caf068f702efe3f46eefee007d095a4b0de5ac279b28127fbe8ad4f5e9ec,4e0f7a16b4009d48f5be6f61c9d3bf4b1f1560690c979f6d33d84ed96aa6fb77,3bd68a4b9047a29cc70e558103d85e9f66a60b4e74f98a9bd30b10df4e25137a,3ca9df59171e668f577119f077aafcd64072669c874bc659c192d73316b35eb2,a800b7dfdc25b464ced337efb0435e1444f1ac96f9256d14d5b0424e5dca92e5,4a71086678e98313159e382d445bac9466b0ff4c67b7d6a54dcdbaafe6739313,720b0ee6ee6640d961be8059d71cf80642dcb8be494f59bfc5ccd207d466c89c,3c43a088934c64236860fade2755700cbcf3254e3ebeaf4da7fd279fd8f5d420,77bfb6f0661783184da95347cb2a2b9589e813d059cda036c3fbbddadaf86af8,b46c01dafdb7433ba964fdc3b696a86230327e55dfa5c88f8e0ce2fa951e834d,0fa0dea3381b79792d30977799af0edf5902d4c768c53c5734919e76682da2bf
"1","64","1","1.65","1","1010001","-175","pkb_idle_normal","1","100","113511"
"1","","","0.2","113511","1010002","","","3","1","pkb_talk_wish"
"1","0","","","vo_minigame_1006","1010003","","","21","0","vo_minigame_1006_top_101"
"1","0","0","0","113511","1010004","0","0","11","8","今天也和老師\n一起努力加油吧～"
"1","","","","0","1010005","","","91","",""
"1","","","0.2","113511","1010006","","","3","1","pkb_idle_normal"
"2","64","1","1.65","1","1020001","-175","pkb_idle_normal","1","100","113511"
"2","","","0.2","113511","1020002","","","3","1","pkb_talk_wish"
"2","0","","","vo_minigame_1006","1020003","","","21","0","vo_minigame_1006_top_102"
"2","0","0","0","113511","1020004","0","0.5","11","6","老師很相信\n大家的實力喔～！\n要加油喲～♪"
"2","","","","6","1020005","","","93","",""
"2","pkb_idle_normal","","0.2","113511","1020006","1","","3","0","pkb_talk_fun"
"2","","","","1020004","1020007","","","91","",""
"2","","","0.2","113511","1020008","","","3","1","pkb_idle_normal"
"3","64","1","1.65","1","1030001","-175","pkb_idle_normal","1","100","113511"
"3","pkb_idle_normal","0.2","0.2","113511","1030002","1","","3","0","pkb_smile"
"3","0","","","vo_minigame_1006","1030003","","","21","0","vo_minigame_1006_top_103"
"3","0","0","0","113511","1030004","0","0","11","6","要小心別受傷喔，\n不可以勉強自己～♪"
"3","","","","2","1030005","","","93","",""
"3","","","0.2","113511","1030006","","","3","1","pkb_talk_wish"
"3","","","","1030004","1030007","","","91","",""
"3","","","0.2","113511","1030008","","","3","1","pkb_idle_normal"
"4","64","1","57","3","1040001","-155","pkb_idle_normal_l","5","100","3"
"4","pkb_idle_arm_crossed_l","0.2","0.2","3","1040002","1","","3","0","pkb_talk_arm_crossed_l"
"4","0","","","vo_minigame_1006","1040003","","","21","0","vo_minigame_1006_top_601"
"4","0","","0","3","1040004","0","0","11","8","今天的練習\n我也不會手下留情的！\n好好跟上我吧！"
"4","","","","0","1040005","","","91","",""
"4","","","0.2","3","1040006","","","3","1","pkb_idle_normal_l"
"5","64","1","57","3","1050001","-155","pkb_idle_normal_l","5","100","3"
"5","pkb_idle_arm_crossed_l","0.2","0.2","3","1050002","1","","3","0","pkb_talk_arm_crossed_l"
"5","0","","","vo_minigame_1006","1050003","","","21","0","vo_minigame_1006_top_602"
"5","0","","0","3","1050004","0","0","11","8","很好！\n提起幹勁\n開始練習吧──！"
"5","","","","2","1050005","","","93","",""
"5","pkb_idle_normal_l","0.2","0.2","3","1050006","1","","3","0","pkb_talk_handsup_l"
"5","","","","1050004","1050007","","","91","",""
"5","","","0.2","3","1050008","","","3","1","pkb_idle_normal_l"
"6","64","1","57","3","1060001","-155","pkb_idle_normal_l","5","100","3"
"6","pkb_idle_arm_crossed_l","0.2","0.2","3","1060002","1","","3","0","pkb_talk_arm_crossed_l"
"6","0","","","vo_minigame_1006","1060003","","","21","0","vo_minigame_1006_top_603"
