5b89932d0abfc95f3617e93e55dffec39091ef8bbe292f49b71c2402b25d08a2,208439518dbaf3a0f0290ef367bb5f4932b62532708ca45c77f26c33b02d4d87,11214384859e6f06e71d7ed81a9510b5ec0311b89da4918927137cdc7f41ad2f,5886570aab6c9f0a598d308fb5a7351560b29c31264299c232f7558bdf757030,a5e2b8bb56cd8d50f76c78d00ce5b2f48f1e1ba661addd186c34eb6417f4c9af
"1","4101101","18","11001001","750000"
"2","4101201","18","11001001","120000"
"3","4101202","18","11001001","120000"
"4","4101203","18","11001001","120000"
"5","4101251","18","11001001","120000"
"6","4101301","18","11001001","66374"
"7","4101302","18","11001001","66374"
"8","4101303","18","11001001","66374"
"9","4101351","18","11001001","66374"
"10","4101401","18","11001001","4500"
"11","4104101","18","11001001","750000"
"12","4104201","18","11001001","120000"
"13","4104202","18","11001001","120000"
"14","4104203","18","11001001","120000"
"15","4104251","18","11001001","120000"
"16","4104301","18","11001001","66374"
"17","4104302","18","11001001","66374"
"18","4104303","18","11001001","66374"
"19","4104351","18","11001001","66374"
"20","4104401","18","11001001","4500"
"21","4201101","18","11001001","333334"
"22","4201201","18","11001001","80000"
"23","4201202","18","11001001","80000"
"24","4201203","18","11001001","80000"
"25","4201301","18","11001001","44250"
"26","4201302","18","11001001","44250"
"27","4201303","18","11001001","44250"
"28","4201401","18","11001001","2000"
"29","4202101","18","11001001","333334"
"30","4202201","18","11001001","80000"
"31","4202202","18","11001001","80000"
"32","4202203","18","11001001","80000"
"33","4202301","18","11001001","44250"
"34","4202302","18","11001001","44250"
"35","4202303","18","11001001","44250"
"36","4202401","18","11001001","2000"
"37","4301101","18","11001001","333332"
"38","4301201","18","11001001","80000"
"39","4301202","18","11001001","80000"
"40","4301301","18","11001001","44250"
"41","4301302","18","11001001","44250"
"42","4301401","18","11001001","2000"
"43","99006","2","11001001","0"
"44","94002","12","11001001","0"
"45","90008","2","11001001","0"
"46","26201","2","11001001","0"
"47","23002","2","11001001","0"
"48","4106101","18","11001002","750000"
"49","4106201","18","11001002","120000"
"50","4106202","18","11001002","120000"
"51","4106203","18","11001002","120000"
"52","4106251","18","11001002","120000"
"53","4106301","18","11001002","66374"
"54","4106302","18","11001002","66374"
"55","4106303","18","11001002","66374"
"56","4106351","18","11001002","66374"
"57","4106401","18","11001002","4500"
"58","4110101","18","11001002","750000"
"59","4110201","18","11001002","120000"
"60","4110202","18","11001002","120000"
"61","4110203","18","11001002","120000"
"62","4110251","18","11001002","120000"
"63","4110301","18","11001002","66374"
"64","4110302","18","11001002","66374"
"65","4110303","18","11001002","66374"
"66","4110351","18","11001002","66374"
"67","4110401","18","11001002","4500"
"68","4203101","18","11001002","333334"
"69","4203201","18","11001002","80000"
"70","4203202","18","11001002","80000"
"71","4203203","18","11001002","80000"
"72","4203301","18","11001002","44250"
"73","4203302","18","11001002","44250"
"74","4203303","18","11001002","44250"
"75","4203401","18","11001002","2000"
"76","4204101","18","11001002","333334"
"77","4204201","18","11001002","80000"
