1b0ab9bd6c273c24afe0cee4be409839c133897a953342f2ce71d82b4242089e,4b1950d9867bd0d869cbc517ffa4d284ea37e5466a8407d99d141427eff9c1d6,327834a5262e5a72ad1a131a92ecd547cd874ba8e8061d6b4824adaec8a44690,2dc89b4d1cf11ca83ad438b192c0a7480ee717ecb397b538541ee2029043a317,2f7285b7a2df4cbe8760c79a4582a61735aaa06171b89fc9e60a4957ae2d2b44,825c57409f8e8321b0ca80b1e90249eb9cae1f42f28bf93e7287d81c9501688b,df2d4944cb7ac7ed8a437cfdd0bb8f3e707336deb31dcba2a8e3a20e648166fd,571c3b21f66fb160064a19fd99648c8eb70df4da07cb517479a28f9a7e4b1208,a034d1865d1b9ace56aa7246313494cf190f931456cd2a693f001e88fbda7ffc,ffcdfdf445149c884e3745ff61168b5102f11231a72dce48ab57dab04c191dc2,3eaaa3be3855ae99c765b264b3661d5a2ee31354788ae387ab6e73828a53c18b,7e9ecbf7ecdf3d419c2225f820f28504e93ba5686abae36141ad8d127b3a5cc7,389e9ef8bc15861e3c5f60a8a18b87d8e6dc27f548ea8f056599bf6b8d69798d,f43a2f58a55d549a834763f42b28cb88681e8b04fa285b62117f4eec886e7f35,6cc48a9fe7ff937069bff62352b0612b6442eee08f686e7d8568c54208161475,d117680f9cd1f1dc7e768341f64d5bf87df541a5204d1b4f31560d3758d163a0,ccf04b495879c8133d6694621a6f88cf8f0eadc9a51e2a9474f12e81764b93a0,2e63b1c492e30921dcfffdafa8192aaedcd79a34cf6eec4d2c33753174211c64,fb229c8b61e92d5a0809fd9dbe0dba4bf46c149fdf5a286ab2c5ed30ceb18d1f,d18a84499ce5c03bc81ed6618e3aea3c67293caedfc5e260c412a51727055db9,59fcb0fb6e1ddaeb4b64e1c4e9e515d194480fd105952f431824435eb7a3a39a
"0","1","30","100100101","0","2.4","單體物理傷害+{0}","0","30","對敵方單體造成{0}的物理傷害","1","1","0","0","1","0","0","1","-1","1","3"
"0","1","50","100100102","0","500","","0","0","","3","3","0","0","1","0","0","99","-1","1","3"
"0","1","13.5","100100103","0","1.08","範圍物理傷害+{0}","0","13.5","對範圍內的敵人造成{0}的物理傷害","1","1","0","0","1","0","0","99","400","2","3"
"0","1","20","100100201","0","1.6","物理傷害+{0}","0","20","對敵方單體造成{0}的物理傷害","1","1","0","0","1","0","0","1","-1","1","3"
"0","1","8","100100301","0","0.6","物理傷害+{0}","0","8","對敵方單體造成{0}的物理傷害","1","1","0","0","1","0","0","1","0","1","1"
"12","1","1","100100302","0","11","物理攻擊力提升+{0}","1","11","提升自身{0}的物理攻擊力","10","10","0","1","2","0","0","1","0","1","7"
"0","1","60","100101101","0","4.8","單體物理傷害+{0}","0","60","對敵方單體造成{0}的物理傷害","1","1","0","0","1","0","0","1","-1","1","3"
"0","1","45","100101102","0","3.6","範圍物理傷害+{0}","0","45","對範圍內的敵人造成{0}的物理傷害","1","1","0","0","1","0","0","99","600","2","3"
"0","1","20","100101201","0","1.6","單體物理傷害+{0}","0","20","對敵方單體造成{0}的物理傷害","1","1","0","0","1","0","0","1","-1","1","3"
"0","1","9","100101202","0","0.72","範圍物理傷害+{0}","0","9","對範圍內的敵人造成{0}的物理傷害","1","1","0","0","1","0","0","99","400","2","3"
"1","1","1","100150101","0","15","物理攻擊力提升+{0}","0","15","提升自身{0}的物理攻擊力","90","2","0","0","0","0","0","0","0","0","0"
"1","1","1","100151101","0","15","物理攻擊力提升+{0}","0","240","提升自身{0}的物理攻擊力","90","2","0","0","0","0","0","0","0","0","0"
"0.45","1","1","100200101","0","6","HP回復量+{0}","0","6","回復我方全體{0}的HP","4","2","0","0","2","0","0","99","2160","3","3"
"0","1","15","100200201","0","1.2","魔法傷害+{0}","0","15","對敵方單體造成{0}的魔法傷害","1","2","0","0","1","0","0","1","-1","1","3"
"12","1","1","100200301","0","0.23","物理防禦力提升+{0}","1","0.23","提升我方全體{0}的物理防禦力","10","20","0","1","2","0","0","99","2160","3","3"
"0.6","1","1","100201101","0","8","HP回復量+{0}","0","8","回復我方全體{0}的HP","4","2","0","0","2","0","0","99","2160","3","3"
"18","1","1","100201102","0","1.2","物理防禦力提升+{0}","1","1.2","提升我方全體{0}的物理防禦力","10","20","0","1","2","0","0","99","2160","3","3"
"0","1","45","100201103","0","18","無效傷害量+{0}","0","45","展開{0}傷害量的物理無效護盾","6","1","0","0","2","0","0","99","2160","3","3"
"0","1","2","100201104","0","18","","0","0","提升我方全體的行動速度100％","8","2","0","1","2","0","0","99","2160","3","3"
"0","1","20","100201201","0","1.6","魔法傷害+{0}","0","20","對敵方單體造成{0}的魔法傷害","1","2","0","0","1","0","0","1","-1","1","3"
"12","1","1","100201202","0","7.5","物理攻擊力降低+{0}","1","7.5","降低敵方單體{0}的物理攻擊力","10","11","0","1","1","0","0","1","-1","1","3"
"1","1","1","100250101","0","15","魔法攻擊力提升+{0}","0","15","提升自身{0}的魔法攻擊力","90","4","0","0","0","0","0","0","0","0","0"
"1","1","1","100251101","0","15","魔法攻擊力提升+{0}","0","15","提升自身{0}的魔法攻擊力","90","4","0","0","0","0","0","0","0","0","0"
"1","1","1","100251102","0","0","","0","30","提升自身{0}的魔法防禦力","90","5","0","0","0","0","0","0","0","0","0"
"0","1","60","100300101","0","4.8","物理傷害+{0}","0","60","對敵方單體造成{0}的物理傷害","1","1","0","0","1","0","0","1","-1","1","3"
"0","1","20","100300201","0","1.6","物理傷害+{0}","0","20","對敵方單體造成{0}的物理傷害","1","1","0","0","1","0","0","1","-1","1","3"
"0","1","0","100300301","0","0","","100300303","0","","28","677","100300302","0","2","0","0","1","0","1","7"
"0","1","0.5","100300302","0","1.8","","100300305","0","","18","1","0","0","1","0","0","1","4320","1","3"
"0","1","1","100300303","0","1.8","","100300306","0","","18","1","0","0","1","0","0","1","4320","1","3"
"0","1","0","100300304","0","0","","100300306","0","","28","677","100300305","0","2","0","0","1","0","1","7"
"0","1","20","100300305","0","1.6","物理傷害+{0}","0","20","對敵方單體造成{0}的物理傷害","1","1","0","0","1","0","0","1","-1","1","3"
"0","1","40","100300306","0","3.2","","0","40","","1","1","0","0","1","0","0","1","-1","1","3"
"0","1","120","100301101","0","9.6","物理傷害+{0}","0","120","對敵方單體造成{0}的物理傷害","1","1","0","0","1","0","0","1","-1","1","3"
"1","1","1","100301102","0","18","","0","77","將風之刃暫時纏繞於身","35","0","0","0","2","0","0","1","0","1","7"
"0","1","1","100301201","0","1","","100301203","2","","28","677","100301202","0","2","0","0","1","0","1","7"
"0","1","20","100301202","0","1.6","物理傷害+{0}","0","20","對敵方單體造成{0}的物理傷害","1","1","0","0","1","0","0","1","-1","1","3"
"0","1","40","100301203","0","3.2","","0","40","","1","1","0","0","1","0","0","1","-1","1","3"
"12","1","1","100301204","0","0.6","物理防禦力降低+{0}","1","0.6","降低敵方單體{0}的物理防禦力","10","21","0","1","1","0","0","1","-1","1","3"
"24","1","1","100301205","0","1.2","","1","1.2","","10","21","0","1","1","0","0","1","-1","1","3"
"0","1","0","100301301","0","0","","100301303","0","","28","677","100301302","0","2","0","0","1","0","1","7"
"0","1","40","100301302","0","3.2","物理傷害+{0}","0","40","對敵方單體造成{0}的物理傷害","1","1","0","0","1","0","0","1","-1","1","3"
"0","1","80","100301303","0","6.4","","0","80","","1","1","0","0","1","0","0","1","-1","1","3"
"0","1","0","100301304","0","0","","100301306","0","","28","677","100301305","0","2","0","0","1","0","1","7"
"0","1","40","100301305","0","3.2","物理傷害+{0}","0","40","對敵方單體造成{0}的物理傷害","1","1","0","0","1","0","0","1","-1","1","3"
"0","1","80","100301306","0","6.4","","0","80","","1","1","0","0","1","0","0","1","-1","1","3"
"0","1","0","100301307","0","0","","100301309","0","","28","677","100301308","0","2","0","0","1","0","1","7"
"0","1","1","100301308","0","12","","0","0","使自身受到的無法行動狀態無效１次","100","1","0","0","2","0","0","1","-1","1","7"
