4464194ffb089d9840a2ba01d2a1baca5e570bbfbfe6d4e99a5b349dc0c5f8fd,f3ec459cab336c4c8dd26f049369608910520d01198a7d97c72ada993d3f3a12,c1f81803fb15980dee95fa1dab6541f0c26459ae63961cc7726f56e2ee95e78d,125558154640b5bfdcdcc031d889e66ee1a96f1dd18fd76c5af885b6ad97f6a4,4cae0aa08c1c5fb392a60ceec18a9b69b94c6b7e9090e5ba52793a45f62163e3,7aad4fb01ce646e2a622247b2dc58bd080aef0dcbdaa3a53c43881c01ad06c06,b9b2c026787fe00b5bf786ea9678f9705606443e662444d853d8249ac98468ab,977ac4d420c844b40fd63986e80b072e563fba135b9b98924f0d92a5e543fd24,afce3a3787d95d327e77bf7febeb70d240c6eb4bb849c4e5efed35fb9768a7c3,960cdd5fb75390c2cfecdf070384e947c317ad1a16597223e0c48f9cfa5b3aed,f568722f853dc9524efe440f376b1d03d6a741bd2a85fea7e0922d7760fde4ca,a3ce43744acde2617c5465095ac8384f86033393abaa75092ba02b631a2f9025,bcc5bc67fe9739ecedf128757828b2d98e6ca4e20993834b590112fd3a7fcec7,96387b9abe6d1d8f932d076c8c157d4df2d3edf61d873f86a7f323afb83848a2,cb3eb9b1714e006eb70f7327184b312262a27856ee09c64cbba694168beb139d,4a5b5401fcfcb74f2c31fa35668fbf12d136ca2ea1f6679e4d703944683900cf,4543f97fccd029ea394fe34f605a8cd8ca9abed088960a257f7a79563c6624c9
"10","1","11001001","4104351","7200","100000","1","4201401","108","11001","4104401","43200","克梅利亞洞窟","11001001","4101401","-470","4101351"
"10","2","11001002","4110351","7200","100000","1","4203401","90","11001","4110401","43200","盧可拉諾大瀑布","11001002","4106401","-235","4106351"
"10","3","11001003","4105351","7200","100000","1","4201401","108","11001","4105401","43200","艾里巨木","11001003","4102401","0","4102351"
"10","4","11001004","4109351","7200","100000","1","4203401","90","11001","4109401","43200","伊雷亞溪谷","11001004","4108401","235","4108351"
"10","5","11001005","4107351","7200","100000","1","4201401","108","11001","4107401","43200","史達爾斷崖","11001005","4103401","470","4103351"
"10","6","11002003","4101401","7200","100000","1","4301401","108","11002","4201401","43200","阿爾巴岸堤","11002001","4104401","-470","4301351"
"10","7","11002002","4106401","7200","100000","1","4305401","90","11002","4203401","43200","撒達爾史朵\n沙灘","11002002","4110401","-235","4305351"
"10","8","11002001","4102401","7200","100000","1","4302401","108","11002","4201401","43200","達爾里克\n巨岩","11002003","4105401","0","4302351"
"10","9","11001005","4108401","7200","100000","1","4304401","90","11002","4203401","43200","安卡爾川","11002004","4109401","235","4304351"
"10","10","11001001","4103401","7200","100000","1","4303401","108","11002","4201401","43200","達克比亞\n森林","11002005","4107401","470","4303351"
"10","11","11003001","4201401","7200","100000","1","4109401","108","11003","4104401","43200","密瑪斯\n洞穴","11003001","4101401","-470","4201351"
"10","11","11003002","4202401","7200","100000","1","4110401","90","11003","4102401","43200","雷安特河","11003002","4108401","-155","4202351"
"10","11","11003003","4203401","7200","100000","1","4109401","108","11003","4105401","43200","刻蘭德\n廢墟","11003003","4103401","160","4203351"
"10","11","11003004","4204401","7200","100000","1","4110401","90","11003","4107401","43200","迪歐涅加\n冰海","11003004","4106401","470","4204351"
