30a85c4d1203b096b278b3d95e2fe17a2e7282b7fd9677730264a2da636d46df,f523c8fd760dd62bc942b6e480a1ef218ff8348548bef8dd7d55e2a357d8b22a
"100101","1"
"100201","1"
"100301","1"
"100401","3"
"100501","2"
"100701","3"
"100801","2"
"100901","2"
"101001","3"
"101101","2"
"101201","2"
"101301","2"
"101401","3"
"101501","3"
"101601","2"
"101801","3"
"102001","3"
"102101","3"
"102301","3"
"102501","3"
"102601","3"
"102801","3"
"102901","4"
"103001","2"
"103101","3"
"103201","1"
"103301","3"
"103601","3"
"103701","2"
"103801","2"
"104001","3"
"104201","4"
"104401","2"
"104501","2"
"104601","1"
"104701","3"
"104801","1"
"104901","2"
"105001","2"
"105201","3"
"105301","2"
"105401","4"
"105501","3"
"105801","1"
"105901","1"
"106001","1"
"107101","3"
"112401","1"
"112501","1"
"112601","1"
