74cb8c406df8040416735e237363d23dfbb34cb0daf8d2c01952b9f051b0306f,6aed13d018adf340815d207534f4b9d2728e2292b3ee7eb43809b5d6664234f1,14c2720c69ce3d0514a02038c10880107ec151cac0926ccaeae5c31ce957cba6,2d589cc019b4308dad49d78381bf39fbdb03f41771738e6bcaa48aa1480c52a1,4685fd1b6f4d3a1f1f4329a20f99f5ff85dff401c756c95c6e0be66f793edfd0,ebc7acaf045805b57bd1a573e7695f89a704837664639e739f0645317fec3978,646f0b96b28495868a07931971b6afa571f8a08425d3283d133da72fece30fb0,fdb27d134a9515fb587329ad3b1ac590e9541cee9b0f432886787afc68f7ae6b,70f9c2b4ad784f4f1b87a059944a0793a69b7f8a286354b9b2cb0c8351b0d5e7,c67bf3bfce52698475d3cf1ce935c9671f788428879a32f8b38b6a9c9aa074be,47e1a2ce811edce47fd1930f2e1ac9abe7cf4e00a5f291ffbc94eafcf3c15e16
"1","2","5","0","1010801001","-345","dsb_idle_normal","-165","70","10","1010801"
"2","2","5","1","1010801002","-345","dsb_idle_worry","165","70","4","1010801"
"99","2","5","0","1010801003","-350","dsb_lago","-215","70","10","1010801"
"1","1","31","","1010801004","1","","0","0","1","1010801"
"3","1","31","","1010801005","1","","0","0","3","1010801"
"4","1","31","","1010801006","1","","0","0","4","1010801"
"10","1","31","","1010801007","1","","0","0","14","1010801"
"20","1","31","","1010801008","1","","0","0","24","1010801"
"30","1","31","","1010801009","1","","-168","155","34","1010801"
"31","1","31","","1010801010","1","","-168","-155","34","1010801"
"32","1","31","","1010801011","1","","-175","-222","42","1010801"
"40","0","31","","1010801012","1","","0","0","40","1010801"
"170","","13","","1010801013","","","","","1","1010801"
"170","","13","","1010801014","","","","","2","1010801"
"","","91","","1010801015","","","","","0","1010801"
"se_10044200_cmn_amb","","23","","1010801016","","","","1","se_10044200","1010801"
"se_10044200_cmn_steam","","23","","1010801017","","","","0","se_10044200","1010801"
"0","","93","","1010801018","","","","","6","1010801"
"se_10044200_hotspring_04","","23","","1010801019","","","","1","se_10044200","1010801"
"0","","93","","1010801020","","","","","1.5","1010801"
"dsb_talk_anger_Ex8","0.5","3","","1010801021","","","","1","2","1010801"
"vo_dsb_1001","","21","","1010801022","","","0","0","vo_dsb_1010801","1010801"
"好、好燙～！！\n這裡的水溫很奇怪耶……\n老大，這是怎麼回事！？","0","11","0","1010801023","1","0.2","1","10","2","1010801"
"","","91","","1010801024","","","","","0","1010801"
"dsb_idle_worry","0.5","3","","1010801025","","","","1","2","1010801"
"dsb_talk_worry_Ex3","0.5","3","","1010801026","","","","1","1","1010801"
"vo_dsb_1002","","21","","1010801027","","","0","0","vo_dsb_1010801","1010801"
"現在別叫我老大，\n要叫我小老闆娘呀～？","0","11","0","1010801028","1","0.2","1","10","1","1010801"
"","","91","","1010801029","","","","","0","1010801"
"dsb_idle_normal","0.5","3","","1010801030","","","","1","1","1010801"
"dsb_talk_doya_sing","0.5","3","0.5","1010801031","1","","dsb_talk_doya_sing_loop","0","2","1010801"
"vo_dsb_1003","","21","","1010801032","","","0","0","vo_dsb_1010801","1010801"
"嘖。\n什～麼小老闆娘啊……\n明明就是性格扭曲的老太婆老闆娘。","0","11","0","1010801033","1","0.2","1","10","2","1010801"
"","","91","","1010801034","","","","","0","1010801"
"dsb_idle_doya_blink","0.5","3","","1010801035","","","","1","2","1010801"
"dsb_talk_sad2_talkjoy2","0.5","3","","1010801036","","","","1","1","1010801"
"vo_dsb_1004","","21","","1010801037","","","0","0","vo_dsb_1010801","1010801"
"祈梨……\n妳剛才說什麼？","0","11","0","1010801038","1","0.2","1","10","1","1010801"
"","","91","","1010801039","","","","","0","1010801"
"dsb_idle_normal","0.5","3","","1010801040","","","","1","1","1010801"
"dsb_surprise_inori","0.2","3","0.5","1010801041","1","","dsb_talk_surprise1_2","0","2","1010801"
