920f28dd1ce3a4a048c92bc32701a7991240d5ee37d7b884c17780a0b1071318,2bcc57525c18fabc4a28cef5793e1ed82e046744c245d578ca4f3449f24e2ccb,efafe011379c4e92989cebeaf95a88233a41345a5013f0fb7cc62d3bbabf0b8d,3f70b7b05150aa7fffb5615d83a915deade49ebcae2d545014fdaa78be533fc5,26b4acfce591d6f7f7b9e8d94ee9f066d2cc48a245148bcad481bbf6d22a8278
"1","小雞","26999","1","0"
"1","生手","26999","2","0"
"1","魚苗","26999","3","0"
"3","新手賽跑者","26999","4","0"
"1","小嬰兒","26999","5","0"
"1","寶寶","26999","6","0"
"1","小人物","26999","7","0"
"1","無用之人","26999","8","0"
"1","外行人","26999","9","0"
"1","小魚","33999","10","27000"
"1","新手","33999","11","27000"
"3","愉悅賽跑者","33999","12","27000"
"1","小輩","33999","13","27000"
"1","新人","33999","14","27000"
"1","女孩","33999","15","27000"
"1","期待之星","33999","16","27000"
"1","原石","33999","17","27000"
"2","新希望","33999","18","27000"
"1","探究者","50399","19","34000"
"1","暴徒","50399","20","34000"
"1","天才","50399","21","34000"
"1","奇才","50399","22","34000"
"1","大人物","50399","23","34000"
"1","麒麟兒","50399","24","34000"
"1","希望","50399","25","34000"
"1","新星","50399","26","34000"
"1","逸才","50399","27","34000"
"1","女僕","59999","28","50400"
"1","前輩","59999","29","50400"
"1","中級者","59999","30","50400"
"3","沙灘搶旗者","59999","31","50400"
"1","魚","59999","32","50400"
"1","領袖","59999","33","50400"
"1","主將","59999","34","50400"
"1","獨當一面","59999","35","50400"
"1","半職業","59999","36","50400"
"1","大型新人","59999","37","50400"
"1","流星","69999","38","60000"
"1","老師","69999","39","60000"
"1","海豚","69999","40","60000"
"1","職人","69999","41","60000"
"1","選手","69999","42","60000"
"1","金槍鮪","69999","43","60000"
"1","中等之中","69999","44","60000"
"2","知名人士","69999","45","60000"
"1","異才","69999","46","60000"
"1","精英","69999","47","60000"
"1","高手","69999","48","60000"
"1","行家","69999","49","60000"
"1","虎鯨","83999","50","70000"
"1","名人","83999","51","70000"
"1","魔術師","83999","52","70000"
"1","師傅","83999","53","70000"
"1","潛水艇","83999","54","70000"
"2","短跑選手","83999","55","70000"
"1","名手","83999","56","70000"
"2","王牌賽跑者","83999","57","70000"
"1","職業選手","83999","58","70000"
"1","看板選手","83999","59","70000"
"1","最高權威","83999","60","70000"
"1","教師","83999","61","70000"
"2","速度之星","99999","62","84000"
"1","豪傑","99999","63","84000"
"1","公主","99999","64","84000"
"1","女神","99999","65","84000"
"1","大師","99999","66","84000"
"2","頭號人物","99999","67","84000"
"1","寵兒","99999","68","84000"
"3","狂暴格里芬","99999","69","84000"
"1","飛龍","99999","70","84000"
"2","專家","99999","71","84000"
"2","頂尖賽跑者","99999","72","84000"
"1","飛毛腿","119999","73","100000"
"1","皇后","119999","74","100000"
"2","冠軍","119999","75","100000"
"2","天才賽跑者","119999","76","100000"
"3","紀錄保持人","119999","77","100000"
"1","極致","119999","78","100000"
"2","涅普堤利昂","119999","79","100000"
"2","希德雷克","119999","80","100000"
"1","女傑","119999","81","100000"
"1","革命家","119999","82","100000"
"2","巨星","119999","83","100000"
"2","幻想之星","999999","84","120000"
"2","超級巨星","999999","85","120000"
"3","世界冠軍","999999","86","120000"
"1","傳奇","999999","87","120000"
"1","超人","999999","88","120000"
"1","托爾披頓","999999","89","120000"
"1","加爾基諾司","999999","90","120000"
"2","水之里歐斯","999999","91","120000"
"1","至寶","999999","92","120000"
"3","宗師","999999","93","120000"
"1","英雄","999999","94","120000"
"1","統治天下","999999","95","120000"
