31c09434e6b00f24bff24a8b3068aa1f9a7661875ce88b72175a2ed96a6a592a,d72564814d4c1011c78488e042962326babe36d8e45c5e1a755659fb22f8dd45,19c7ce28b0852a548bdb991fe60529318790eb67364deef5fb1e65b032388510,83d828c4b26a815d8a69a8e16a89a0becae142930b1b5a712edced11c1f53eb7,a704927a3fdd514fe20ae9930d2f5f0c0e86776185c553965f2dc94210538ef0,e72087427c7553af332d1ab33f63db0cf72b3fb53fcbb00845a2ba5466de89b3,e89205182d603a05689233ee074a0d9606bb1a4c0c6a1bc705e63be8fc41cac4,f9b2ab28e0ee853f88ba4db67472b566aa6db9f0e7eee39049ea3197dbff4cfb,18821cbb01ca3d43a29130281ce4623d854da456dd3a00797847b1fe9be1517d,7c29dccd32cc0d1cb1eb2948a2542c7eb7b65c54ddea8b9c6e9fdd3bcf45d48a,2a46c911a78eae602e81c62ca6eb04f0e097ec1434e99cabeebcd1a313e3814f,f611bd543d167e5105bd971f9c982dc54dbc3f427875f5caedf599c9ca052c72,395cb5ab300e954ed7ac808caf5afee6f6c7fe876d6b1e388a33835d1dc8962f,1515e0bd4cb32a25d0c898f97672ffd74b4e741b63fdb7d5fcfdec8ef325f7c0,888878630af352040c55d758a138c16d23aadf14b73618fa1f06125ccb249df6,6287acf8c32ecc4312a29408c6937a3479948991cc8af7e765e05a572d4a7ef4,c817347a949ef0ab8c8def5747387670c5cfff5f923a1f97e1485c7022a4056c,9537b70bbf4b206eb8472f07dd4c3fdbb4a6cb7d34973bd21d2ea884e4f952d5,1b0f9266e1ad799121484867de8dc9f99cc95a49c1f2a53bb4105f070c2b6e79
"0","10","0","65","0","0","0","2","75","0","0","0","0","0","1","100101","16","1","0"
"0","30","0","185","0","0","0","3","125","0","0","0","0","0","2","100101","68","3","0"
"0","60","0","420","0","0","0","4","260","3","0","0","0","0","4","100101","158","7","0"
"0","100","0","810","0","0","0","5","420","7","0","0","0","0","7","100101","293","12","0"
"0","130","0","1340","0","0","0","6","630","11","0","0","0","0","11","100101","486","17","3"
"0","155","0","1660","0","0","0","7","1235","17","0","0","0","0","15","100101","731","26","6"
"9","180","0","2290","0","0","10","8","1795","24","0","0","0","0","15","100101","1030","35","9"
"23","205","0","2540","0","0","40","9","1795","27","5","0","0","0","16","100101","1459","46","9"
"37","205","0","2740","0","0","100","10","1795","35","10","10","0","0","16","100101","1941","51","9"
"37","205","0","3100","3","0","158","11","1795","44","15","20","0","0","16","100101","2439","55","9"
"37","205","0","3470","36","0","198","12","2045","46","15","20","0","0","18","100101","2871","66","9"
"37","230","0","3720","56","0","251","13","2045","54","15","20","0","0","18","100101","3345","79","9"
"37","255","0","3880","56","0","328","14","2045","68","15","20","0","0","20","100101","3840","97","9"
"37","255","0","3880","56","0","448","15","2045","82","15","20","0","0","20","100101","4412","111","9"
"37","255","0","3880","59","0","586","16","2045","94","15","20","0","0","20","100101","5015","124","9"
"37","255","0","3930","62","0","711","17","2045","103","15","20","0","0","20","100101","5656","142","9"
"37","255","0","3980","62","0","856","18","2045","119","15","20","0","0","20","100101","6351","157","9"
"37","255","0","4075","62","0","984","19","2045","135","15","20","0","0","20","100101","7154","173","9"
"37","255","0","4270","62","0","1065","20","2045","147","15","20","0","0","20","100101","8017","203","9"
