a67bb16839d66b7d683dc34687c42381ad7a7491c3dd343d638badd969dc814c,52951a0c7b755b4fc5a8182b111b0da68c16d7f5e6bb52ef0abeee7b9579e832,769f1a9ee58c2c156c9ac373d6d039d287648ce9bbcdd6298b6b28b0479a1670,076031140fd0b4644fffa58e02723201e5d1a535a11fa2dbeb81529afb5bd1d4,16289018a2ad21f4f6cb4c02bdffb36e108f51bfd716a31862a90bfc354baa2c,addd6d67eca2db8e4d1e37fbe1719df1892a8ecf3aaecabae8388aa5e631e8c1,b5a2bb8e2932353143f4bbc12d817c1a7074bb038919a3b14cc39de3d609aa74
"野豬雙胞胎 第1階段","0","0","0","401021505","401021506","401021507"
"大胃王 第1階段","401021908","0","0","401021905","401021906","401021907"
"人馬座 第1階段","0","0","0","401022105","401022106","401022107"
"水之里歐斯 第1階段","0","0","0","401022305","401022306","401022307"
"大胃王 第1階段 單人模式","401025908","0","0","401025905","401025906","401025907"
"人馬座 第1階段 單人模式","0","0","0","401026105","401026106","401026107"
"水之里歐斯 第1階段 單人模式","0","0","0","401026305","401026306","401026307"
"野豬雙胞胎 第2階段","0","0","0","401031505","401031506","401031507"
"大胃王 第2階段","401031908","0","0","401031905","401031906","401031907"
"人馬座 第2階段","0","0","0","401032105","401032106","401032107"
"水之里歐斯 第2階段","0","0","0","401032305","401032306","401032307"
"大胃王 第2階段 單人模式","401035908","0","0","401035905","401035906","401035907"
"人馬座 第2階段 單人模式","0","0","0","401036105","401036106","401036107"
"水之里歐斯 第2階段 單人模式","0","0","0","401036305","401036306","401036307"
"野豬雙胞胎 第3階段","0","0","0","401041505","401041506","401041507"
"大胃王 第3階段","401041908","0","0","401041905","401041906","401041907"
"人馬座 第3階段","0","0","0","401042105","401042106","401042107"
"水之里歐斯 第3階段","0","0","0","401042305","401042306","401042307"
"大胃王 第3階段 單人模式","401045908","0","0","401045905","401045906","401045907"
"人馬座 第3階段 單人模式","0","0","0","401046105","401046106","401046107"
"水之里歐斯 第3階段 單人模式","0","0","0","401046305","401046306","401046307"
"三重岩 第1階段","401304108","0","0","401304104","401304106","401304107"
"三重岩 第2階段","401304208","0","0","401304204","401304206","401304207"
"三重岩 第3階段","401304308","0","0","401304304","401304306","401304307"
"三重岩 第4階段","401304408","0","0","401304404","401304406","401304407"
"三重岩 第1階段 單人模式","401304508","0","0","401304504","401304506","401304507"
"三重岩 第2階段 單人模式","401304608","0","0","401304604","401304606","401304607"
"三重岩 第3階段 單人模式","401304708","0","0","401304704","401304706","401304707"
"野豬雙胞胎 第1階段","0","0","0","401305105","401305106","401305107"
"野豬雙胞胎 第2階段","0","0","0","401305205","401305206","401305207"
"野豬雙胞胎 第3階段","0","0","0","401305305","401305306","401305307"
"野豬雙胞胎 第4階段","0","0","0","401305405","401305406","401305407"
"野豬雙胞胎 第1階段 單人模式","0","0","0","401305505","401305506","401305507"
"野豬雙胞胎 第2階段 單人模式","0","0","0","401305605","401305606","401305607"
"野豬雙胞胎 第3階段 單人模式","0","0","0","401305705","401305706","401305707"
"泰坦龍龜 第1階段","0","0","0","401307104","401307106","401307107"
"泰坦龍龜 第2階段","0","0","0","401307204","401307206","401307207"
"泰坦龍龜 第3階段","0","0","0","401307304","401307306","401307307"
"泰坦龍龜 第4階段","0","0","0","401307404","401307406","401307407"
"泰坦龍龜 第1階段 單人模式","0","0","0","401307504","401307506","401307507"
"泰坦龍龜 第2階段 單人模式","0","0","0","401307604","401307606","401307607"
"泰坦龍龜 第3階段 單人模式","0","0","0","401307704","401307706","401307707"
"大胃王 第1階段","401309108","0","0","401309105","401309106","401309107"
"大胃王 第2階段","401309208","0","0","401309205","401309206","401309207"
"大胃王 第3階段","401309308","0","0","401309305","401309306","401309307"
"大胃王 第4階段","401309408","0","0","401309405","401309406","401309407"
"大胃王 第1階段 單人模式","401309508","0","0","401309505","401309506","401309507"
"大胃王 第2階段 單人模式","401309608","0","0","401309605","401309606","401309607"
"大胃王 第3階段 單人模式","401309708","0","0","401309705","401309706","401309707"
"黑曜飛龍 第1階段","401310107","0","0","401310104","401310105","401310106"
"黑曜飛龍 第2階段","401310207","0","0","401310204","401310205","401310206"
"黑曜飛龍 第3階段","401310307","0","0","401310304","401310305","401310306"
"黑曜飛龍 第4階段","401310407","0","0","401310404","401310405","401310406"
"黑曜飛龍 第1階段 單人模式","401310507","0","0","401310504","401310505","401310506"
"黑曜飛龍 第2階段 單人模式","401310607","0","0","401310604","401310605","401310606"
"黑曜飛龍 第3階段 單人模式","401310707","0","0","401310704","401310705","401310706"
"人馬座 第1階段","0","0","0","401311105","401311106","401311107"
"人馬座 第2階段","0","0","0","401311205","401311206","401311207"
"人馬座 第3階段","0","0","0","401311305","401311306","401311307"
"人馬座 第4階段","0","0","0","401311405","401311406","401311407"
"人馬座 第1階段 單人模式","0","0","0","401311505","401311506","401311507"
"人馬座 第2階段 單人模式","0","0","0","401311605","401311606","401311607"
"人馬座 第3階段 單人模式","0","0","0","401311705","401311706","401311707"
"三重岩 第1階段","401312107","0","0","401312104","401312105","401312106"
"三重岩 第2階段","401312207","0","0","401312204","401312205","401312206"
"三重岩 第3階段","401312307","0","0","401312304","401312305","401312306"
"三重岩 第4階段","401312407","0","0","401312404","401312405","401312406"
"三重岩 第5階段","401312507","0","0","401312504","401312505","401312506"
"三重岩 第1階段 單人模式","401312607","0","0","401312604","401312605","401312606"
"三重岩 第2階段 單人模式","401312707","0","0","401312704","401312705","401312706"
"三重岩 第3階段 單人模式","401312807","0","0","401312804","401312805","401312806"
"水之里歐斯 第1階段","0","0","0","401401105","401401106","401401107"
"水之里歐斯 第2階段","0","0","0","401401205","401401206","401401207"
"水之里歐斯 第3階段","0","0","0","401401305","401401306","401401307"
"水之里歐斯 第4階段","0","0","0","401401405","401401406","401401407"
"水之里歐斯 第5階段","0","0","0","401401505","401401506","401401507"
"水之里歐斯 第1階段 單人模式","0","0","0","401401605","401401606","401401607"
"水之里歐斯 第2階段 單人模式","0","0","0","401401705","401401706","401401707"
"水之里歐斯 第3階段 單人模式","0","0","0","401401805","401401806","401401807"
"黑曜飛龍 第1階段","401403107","0","0","401403104","401403105","401403106"
"黑曜飛龍 第2階段","401403207","0","0","401403204","401403205","401403206"
"黑曜飛龍 第3階段","401403307","0","0","401403304","401403305","401403306"
"黑曜飛龍 第4階段","401403407","0","0","401403404","401403405","401403406"
"黑曜飛龍 第5階段","401403507","0","0","401403504","401403505","401403506"
"黑曜飛龍 第1階段 單人模式","401403607","0","0","401403604","401403605","401403606"
"黑曜飛龍 第2階段 單人模式","401403707","0","0","401403704","401403705","401403706"
"黑曜飛龍 第3階段 單人模式","401403807","0","0","401403804","401403805","401403806"
"泰坦龍龜 第1階段","0","0","0","401404104","401404105","401404106"
"泰坦龍龜 第2階段","0","0","0","401404204","401404205","401404206"
"泰坦龍龜 第3階段","0","0","0","401404304","401404305","401404306"
"泰坦龍龜 第4階段","0","0","0","401404404","401404405","401404406"
"泰坦龍龜 第5階段","0","0","0","401404504","401404505","401404506"
"泰坦龍龜 第1階段 單人模式","0","0","0","401404604","401404605","401404606"
"泰坦龍龜 第2階段 單人模式","0","0","0","401404704","401404705","401404706"
"泰坦龍龜 第3階段 單人模式","0","0","0","401404804","401404805","401404806"
