803e3219f1e232ef253bd52f2a320d1906fe2b3fb5fbef0afc15a3f39ab099c9,58f96fd44ce6a63a40dbd9aa38f9f14caa5878cfcf1f927f9e8714173a262bb5,0ed1163ac6e50b0c28bc0d59bbe08e31ca913cc2e16f2c4c75e2b238a81f5f2f,3aa5d5f70c9a6adaa56cdf9762bfdf9e0140741a18fe149344f011b1c6783422,6b07460c509f1e9e70005b3d3699956680b5750d0f0c540095b88170e5c0b77c,81a530382516d80e977c485fdc989abfca497efaa98a479be84bbd46eac2bb38,71f5d3fa24f065edc3efa428488f9b95b04c5ec592c62fe29cd4040db4dee0f7,2e0cfbedc16787d75b4c7eea825cff420af2452951743893f0365d4462f17662,5612d5a4cd8db71d1804455a6bc7d06c46d4d9abac52598fab78b92f463d6bfd,f8b37563cb4d3d28cda923478fe24140e7f84efa069c74625ab732203f0cf706,ed348f3accea33b9f4bdd57bc7a858bfc3da385715c78b82443e3833e6e4f99f,20bebb5c40f600711f6f8a44be0d411063ebf36476b0cb6ce9aec349a50c992a,2c6c820562ca51fe137ddcb6880f0ac62db273b0fe0292d61bcce9cfdbd01f75,e4e87f084054f83ef71ddfb3c5b36fbfe1075e8df7ea777a1c004b874a8214e6,d7856a62b39fed011f40070f94ef0b3db1425540f6f0cca7c1e5ebcca57f0aa7,1d966ad19bd1d133818a91d5bedb497975869551e10707a78371527ab0897692,a05016dec7022fa94ad8e3604b485e13e2036d0f0b8d2d00098a60e9cd4e6fa9
"11001001","4104351","11001001","43200","4104401","4101351","1","100000","-470","10","4201401","1","11001","108","克梅利亞洞窟","4101401","7200"
"11001002","4110351","11001002","43200","4110401","4106351","1","100000","-235","10","4203401","2","11001","90","盧可拉諾大瀑布","4106401","7200"
"11001003","4105351","11001003","43200","4105401","4102351","1","100000","0","10","4201401","3","11001","108","艾里巨木","4102401","7200"
"11001004","4109351","11001004","43200","4109401","4108351","1","100000","235","10","4203401","4","11001","90","伊雷亞溪谷","4108401","7200"
"11001005","4107351","11001005","43200","4107401","4103351","1","100000","470","10","4201401","5","11001","108","史達爾斷崖","4103401","7200"
"11002003","4101401","11002001","43200","4201401","4301351","1","100000","-470","10","4301401","6","11002","108","阿爾巴岸堤","4104401","7200"
"11002002","4106401","11002002","43200","4203401","4305351","1","100000","-235","10","4305401","7","11002","90","撒達爾史朵\n沙灘","4110401","7200"
"11002001","4102401","11002003","43200","4201401","4302351","1","100000","0","10","4302401","8","11002","108","達爾里克\n巨岩","4105401","7200"
"11001005","4108401","11002004","43200","4203401","4304351","1","100000","235","10","4304401","9","11002","90","安卡爾川","4109401","7200"
"11001001","4103401","11002005","43200","4201401","4303351","1","100000","470","10","4303401","10","11002","108","達克比亞\n森林","4107401","7200"
"11003001","4201401","11003001","43200","4104401","4201351","1","100000","-470","10","4109401","11","11003","108","密瑪斯\n洞穴","4101401","7200"
"11003002","4202401","11003002","43200","4102401","4202351","1","100000","-155","10","4110401","11","11003","90","雷安特河","4108401","7200"
"11003003","4203401","11003003","43200","4105401","4203351","1","100000","160","10","4109401","11","11003","108","刻蘭德\n廢墟","4103401","7200"
"11003004","4204401","11003004","43200","4107401","4204351","1","100000","470","10","4110401","11","11003","90","迪歐涅加\n冰海","4106401","7200"
