832acdf3cd5f410d04e594ee9fbef08010595d227f60500a0c4d201e2fd6edd4,33f1edb068acbcf1af8f9707dae039a6171c284aba33bd2f09fe0d9818b7d3ed,95ac2e4ceae0124294950c02e44c1f98657ba5a22d891e20b30d9c3cdda8d106,0e62d9b6219268ddcfa7a1410125e99b97694604faefb53ca0691ef88d695897,0f8fe1266ddc2d279f81d41cbb0a60aff7883fa4a21c0ef646aadd331a69bc93,ca9be287244b580b719dcfc796933e9480ecb80563c0fcd98f500f343bc54e4f,3fb5a810e6aea3623b9816e7dd35c3cf2bd53dd787429e059cea3a0f45a7da10,57fa1a2014560f4d1f916b651d2950c9baab9c22d6be30101a39dc43928982c0,793b24671d5493a6755646b4bdb617b051601d6c335d3124e8cf9fa0e7d865ff,df5ef5dffc48346268eb3eb3d396526139eae45f571554bde8be809ffa2108b2,75e46086b5653b5d4af3802bf0ece5b672b153cb6638cb8ffbe70e566d46cc83,7a84d8ce25518e544161feeb394a493d78bf16e78b30fb53ac1b238c2a48cb7d
"0","1150001","1","0","15","2","0","vo_10011600","0","0","vo_10011600_1501","0"
"0","1150002","2","0.997402597402597","15","1","0","0","1","240","0","0"
"2.4974025974026","1150003","3","0","15","4","1","0","1","0","0","0"
"0","1150004","4","0","15","2","0","vo_10011600","0","0","vo_10011600_1502","0"
"0","1150005","5","0.748051948051948","15","1","0","0","2","118","0","0"
"0.848051948051948","1150006","6","0","15","4","1","0","2","0","0","0"
"0","1150007","7","0","15","2","0","vo_10011600","0","0","vo_10011600_1503","0"
"0","1150008","8","1.16363636363636","15","1","0","0","2","460","0","118"
"1.96363636363636","1150009","9","0","15","4","1","0","2","0","0","0"
"0","1150010","10","0","15","2","0","vo_10011600","0","0","vo_10011600_1504","0"
"0","1150011","11","2.07792207792208","15","1","0","0","3","500","0","0"
"3.47792207792208","1150012","12","0","15","4","1","0","3","0","0","0"
"0","1150013","13","0","15","2","0","vo_10011600","0","0","vo_10011600_1505","0"
"0","1150014","14","1.24675324675325","15","1","0","0","4","248","0","0"
"2.24675324675325","1150015","15","0","15","4","1","0","4","0","0","0"
"0","1150016","16","0","15","2","0","vo_10011600","0","0","vo_10011600_1506","0"
"0","1150017","17","1.95324675324675","15","1","0","0","4","770","0","248"
"1.95324675324675","1150018","18","0","15","4","1","0","4","0","0","0"
"0","1150019","19","0","15","2","0","vo_10011600","0","0","vo_10011600_1507","0"
"0","1150020","20","2.07792207792208","15","1","0","0","5","359","0","0"
"2.97792207792208","1150021","21","0","15","4","1","0","5","0","0","0"
"0","1150022","22","0","15","2","0","vo_10011600","0","0","vo_10011600_1508","0"
"0","1150023","23","1.12207792207792","15","1","0","0","5","770","0","359"
"2.02207792207792","1150024","24","0","15","4","1","0","5","0","0","0"
"0","1150025","25","0","15","2","0","vo_10011600","0","0","vo_10011600_1509","0"
"0","1150026","26","1.32987012987013","15","1","0","0","6","277","0","0"
"2.57987012987013","1150027","27","0","15","4","1","0","6","0","0","0"
"0","1150028","28","0","15","2","0","vo_10011600","0","0","vo_10011600_1510","0"
"0","1150029","29","1.87012987012987","15","1","0","0","6","770","0","277"
"2.87012987012987","1150030","30","0","15","4","1","0","6","0","0","0"
"0","1150031","31","0","15","2","0","vo_10011600","0","0","vo_10011600_1511","0"
"0","1150032","32","1.55844155844156","15","1","0","0","7","361","0","0"
"1.75844155844156","1150033","33","0","15","4","1","0","7","0","0","0"
"0","1150034","34","0","15","2","0","vo_10011600","0","0","vo_10011600_1512","0"
"0","1150035","35","1.26753246753247","15","1","0","0","7","726","0","361"
"2.51753246753247","1150036","36","0","15","4","1","0","7","0","0","0"
