73200df74d3514b0572a5affd9ec87837955c2af19b4b73a7549da5e6b859bc6,91ebdcf2f6f946bc1807b001084c3ac244cda7275c234b0b8392d74eb0a1c56f,994bf4cd5da063363e90bdd58ad1f24672799bc93dbad63a13cabedba0b4234b,287f1c93c9f6aa3ff9648dee05d5495253abd0891dd4d7eac4b9a8683e0d3bb6,50760763d62a50184b14aeb269ee8e447238a4fdb0b2d6e9428b92fa1f2f8461,cffec5125434351f4ff017cb3a3602af3eef1e793c497d44db4fb303a9ec31aa,2b8abd5384ba9e41c1e43034f82b6299c9a5888d82d804a5422c25558a1bd6b2,02a86fdf28b512b693a7be4df85ff4dbb2c1a0be98221645be44fdacf8973b9c,0b07a120c0c3070a1e1e42273d0e2310021e6bedfcdf60a873b42fe49ae8b9c0,bcb798fbf062a900101c04c7c51993f9cb3d3dc50b8348c5699f71bb9c0048c8,67272c2bb4497baad478a8c31aeadf0671c3a775266b864b21a5cde760505616,c575307bd83771731c0b0a5cc75b6cdf7fb338b5e432802f018539bbfd5d9a07,bfb1b70ce14a598615b55f30c5b48efc12490a87a638822d346efbbb59f7b6bc
"1","2","2018/08/19 22:59:00","0","8","1001","bgm_M90","1","2018/08/15 23:00:00","2018/08/20 22:59:00","2018/09/21 15:59:59","1","2018/08/22 16:00:00"
"1","2","2018/09/18 22:59:00","1001","9","1002","bgm_M97","1","2018/09/14 23:00:00","2018/09/19 22:59:00","2018/10/22 15:59:59","2","2018/09/21 16:00:00"
"1","2","2018/10/19 22:59:00","1002","10","1003","bgm_M104","1","2018/10/15 23:00:00","2018/10/20 22:59:00","2018/11/20 04:59:59","1","2018/10/22 16:00:00"
"1","2","2018/11/17 11:59:00","1003","11","1004","bgm_M115","1","2018/11/13 12:00:00","2018/11/18 11:59:00","2018/12/21 15:59:59","2","2018/11/20 05:00:00"
"1","2","2018/12/18 22:59:00","1004","12","1005","bgm_M119","1","2018/12/14 23:00:00","2018/12/19 22:59:00","2019/01/22 15:59:59","1","2018/12/21 16:00:00"
"1","2","2019/01/19 22:59:00","1005","1","1006","bgm_M132","1","2019/01/15 23:00:00","2019/01/20 22:59:00","2019/02/19 04:59:59","2","2019/01/22 16:00:00"
"1","2","2019/02/16 11:59:00","1006","2","1007","bgm_M139","1","2019/02/12 12:00:00","2019/02/17 11:59:00","2019/03/22 04:59:59","1","2019/02/19 05:00:00"
"1","2","2019/03/19 11:59:00","1007","3","1008","bgm_M166","1","2019/03/15 12:00:00","2019/03/20 11:59:00","2019/04/22 04:59:59","2","2019/03/22 05:00:00"
"1","2","2019/04/19 11:59:00","1008","4","1009","bgm_M175","1","2019/04/15 12:00:00","2019/04/20 11:59:00","2019/05/23 04:59:59","1","2019/04/22 05:00:00"
"1","2","2019/05/20 11:59:00","1009","5","1010","bgm_M181","1","2019/05/16 12:00:00","2019/05/21 11:59:00","2019/06/22 04:59:59","2","2019/05/23 05:00:00"
"1","2","2019/06/19 11:59:00","1010","6","1011","bgm_M186","1","2019/06/15 12:00:00","2019/06/20 11:59:00","2019/07/24 04:59:59","1","2019/06/22 05:00:00"
"1","2","2019/07/21 11:59:00","1011","7","1012","bgm_M205","1","2019/07/17 12:00:00","2019/07/22 11:59:00","2019/08/23 04:59:59","2","2019/07/24 05:00:00"
"1","2","2019/08/20 11:59:00","1012","8","1013","bgm_M90","1","2019/08/16 12:00:00","2019/08/21 11:59:00","2019/09/23 04:59:59","1","2019/08/23 05:00:00"
"1","2","2019/09/20 11:59:00","1013","9","1014","bgm_M97","1","2019/09/16 12:00:00","2019/09/21 11:59:00","2019/10/24 04:59:59","2","2019/09/23 05:00:00"
"1","2","2019/10/21 11:59:00","1014","10","1015","bgm_M104","1","2019/10/17 12:00:00","2019/10/22 11:59:00","2019/11/23 04:59:59","1","2019/10/24 05:00:00"
"1","2","2019/11/20 11:59:00","1015","11","1016","bgm_M115","1","2019/11/16 12:00:00","2019/11/21 11:59:00","2019/12/23 04:59:59","2","2019/11/23 05:00:00"
